entry_id	trans_english	Bulgarian_Phonemic
10.86	rudder	[kormílo]; [rúl]
10.87	mast	[máčta]
10.88	sail (noun)	kórabno platnó
10.89	anchor	kótva
10.91	harbor, port	pristánište
10.92	land (vb)	slízam/ sváljam na súša; [debarkíram]
11.11	have	ímam
11.12	own, possess	pritežávam; ímam
11.13	take	vzémam/ vzímam/ vzéma
11.14	seize, grasp	xváštam/ xvána; ulávjam; sgrábčvam/ sgrábča
11.15	hold	də́rža
11.16	get, obtain	dobívam/ dobíja
11.17	keep, retain	zapázvam/ zapázja; də́rža
11.18	thing	néšto; véšt; predmét
11.21	give	dávam/ dám
11.22	give back	vrə́štam/ və́rna
11.24	preserve, look after	zapázvam/ zapázja; də́rža; gríža se za
11.25	save, rescue	spasjávam/ spasjá
11.27	destroy	razrušávam/ ruzrušá
11.28	harm, injure, damage	vredjá na; povréždam/ povredjá
11.31	seek, look for	tə́rsja; potə́rsvam/ potə́rsja
11.32	find	namíram/ namérja
11.33	lose	gúbja; zagúbvam/ zagúbja
11.34	release, let go	púskam/ púštam/ púsna
11.43	money	[parí; pará]
11.44	coin	[monéta]
11.51	rich	bogát
11.52	poor	béden
11.53	beggar	prosják
11.54	avaricious, stingy	svidlív; srebroljubív; álčen; skəperníčeski; stístnat
11.61	lend	davám/ dám nazáem
11.62	borrow	vzémam nazáem
11.63	owe	dəlžá
11.64	debt	də́lg
11.65	pay (vb)	pláštam, zapláštam/ zaplatjá
11.66	account, reckoning	smétka; smjátane
11.69	tax, tribute	dánək; nalóg
11.77	hire	naémam/ naéma
11.78	wages	nádnic̷a; zapláta
11.79	earn	pečélja
11.81	buy	kupúvam/ kúpja
11.82	sell	prodávam/ prodám
11.83	trade, barter	tərgúvam
11.84	merchant	tərgóvec̷
11.85	market (place)	[pazár]; təržíšte
11.86	store, shop	[magazín]
11.87	price	c̷ená
11.88	dear (costly, expensive)	skə́p
11.89	cheap	[évtin]
11.91	share (distribute)	deljá, razdéljam
11.92	weigh	téglja (se), pretégljam/ pretéglja; mérja se
12.1	after	sled; pósle
12.11	behind	zad
12.2	beside	do; pri; pokráj
12.3	down, below	(na)dólu
12.4	before	préd; otpréd
12.41	front	prédna část; líceva straná/ část; [fasáda]
12.5	inside, in	və́tre, otvə́tre
12.6	outside	və́n ot; otvə́n
12.7	under	pod
12.8	up, above	góre (na); nad; otgóre
12.11	place	mjásto; slágam/ slóža; postávjam/ postávja
12.12	put	slágam/ slóža; postávjam/ postávja
12.13	sit	sedjá
12.14	lie down	ljágam/ légna si; ležá
12.15	stand	stávam/ stána; stojá
12.16	remain, stay	ostávam/ ostána
12.17	remains, left overs	ostánki
12.21	collect, gather	səbíram/ səberá (se); pribíram/ priberá
12.212	pick up	vzémam/ vzéma; vdígam/ vdígna; povdígam/ povdígna
12.213	pile up	trúpam (se); natrúpvam (se)
12.22	join, unite	svə́rzvam/ svə́rža; səedinjávam (se)
12.23	separate	otdéljam/ otdeljá; razdéljam/ razdeljá
12.232	divide	délja (se), razdéljam (se)/ razdeljá (se)
12.24	open	otvárjam/ otvórja (se)
12.25	shut, close	zatvárjam/ zatvórja (se)
12.26	cover	pokrívam/ pokríja
12.27	hide, conceal	kríja (se); skrívam/ skríja (se); ukrívam/ ukríva (se); prikrívam/ prikríja (se); zakrívam/ zakríja; pokrívam/ pokríja
12.31	high	visók; visóko; navisóko
12.32	low	nísək; nísko
12.33	top	vrə́x
12.34	bottom	də́no
12.35	end	kráj
12.352	pointed	óstər; izóstren; zaóstren
12.353	edge	ostrié; rə́b; kráj
12.36	side	straná
12.37	middle, center	sredá; [c̷éntər]
12.41	right (side)	désen; djásno; djásnata strána
12.42	left (side)	ljáv; ljávo; ljávata straná
12.43	near (adv)	blízo, nablízo
12.44	far (adv)	daléko/ daléč/ daléče; nadaléko/ nadaléč/ nadaléče
12.45	east	íztok
12.46	west	západ
12.47	north	séver
12.48	south	júg
12.53	grow	rastá, porástvam/ porásna; izrástvam/ izrásna; narástvam/ narásna; otgléždam/ otglédam; [kultivíram]
12.54	measure	mérja; izmérvam/ izmérja; mjárka, mjára
12.541	span, fathom	pédja; mjárka
12.55	large, big	goljám
12.56	small, little	málək
12.57	long	də́ləg
12.58	tall	visók
12.59	short	nísək; kə́s
12.61	wide, broad	širók
12.62	narrow	tésen
12.63	thick (in dimension)	debél
12.65	thin (in dimension)	tə́nək
12.67	deep	dəlbók
12.68	shallow	plítək
12.71	flat	plósək
12.73	straight	práv
12.74	crooked	krív; izkríven; izvít
12.75	hook	kúka; [čengél]
12.76	corner	ə́gəl
12.77	cross	krə́st
12.78	square	[kvadráten]; [kvadrát]
12.81	round	krə́gəl
12.82	circle	krə́g
12.83	sphere, ball	[sféra]; kəlbó
12.84	line	[línija]; čertá
12.85	hole	dúpka
12.92	like, similar	podóben; sxóden
12.93	change	menjá (se); izménjam/ izmenjá (se); proménjam/ promenjávam/ promenjá (se); sménjam/ smenjá
13.0	zero, nothing	[núla]; níšto
13.1	one	edín; ednó
13.2	two	dvá/ dvé; dvé
13.3	three	trí
13.4	four	čétiri
13.5	five	pét
13.6	six	šést
13.7	seven	sédem
13.8	eight	ósem
13.9	nine	dévet
13.10	ten	déset
13.101	eleven	edinádeset, edinájset
13.102	twelve	dvanádeset, dvanájset
13.103	fifteen	petnádeset, petnájset
13.104	twenty	dvádeset
13.105	hundred	stó
13.106	thousand	[xiljáda]
13.107	count	brojá
13.14	every, all	vséki; vsíčki
13.15	much, many	mnógo
13.16	more	póveče
13.17	little (quantity), few	málko; njákolko
13.18	enough	dostátəčno
13.181	some	málko; njákolko
13.19	multitude, crowd	mnóžestvo; təlpá
13.21	full	pə́len
13.22	empty	prázen
13.23	part, piece	část; parčé
13.24	half	polovína
13.33	alone, only	sám; edínstven; sámo
13.34	first	prə́v
13.35	last	posléden
13.36	second	vtóri
13.37	pair	[číft]; dvójka
13.38	two times	dvá pə́ti; dváž
13.42	third	tréti
13.44	three times	trí pə́ti; tríž
14.11	time	vréme
14.12	age	və́zrast
14.13	new	nóv
14.14	young	mlád
14.15	old	stár
14.16	early	ránen; ráno
14.17	late	kə́sen; kə́sno
14.18	now	segá
14.19	immediately	vednága, nezabávno
14.21	swift, fast, quick	bə́rz
14.22	slow	báven
14.23	hasten, hurry	bə́rzam
14.24	retard, delay	bávja (se); zabávjam/ zabávja
14.25	begin, beginning	póčvam/ póčna; zapóčvam/ zapóčna (se); načálo
14.252	last, endure	trája
14.26	end (temporal)	kráj
14.27	finish	svə́ršvam/ svə́rša
14.28	cease, stop	prestávam/ prestána; spíram/ sprá
14.29	ready	gotóv
14.31	always	vínagi
14.32	often	čésto
14.33	sometimes	ponjákoga
14.331	soon	skóro
14.332	long-time (for a)	də́lgo; za də́lgo vréme
14.34	never	níkoga
14.35	again	pák; otnóvo
14.41	day	dén
14.42	night	nóšt
14.43	dawn	zorá
14.44	morning	sútrin; útre
14.45	noon, midday	pládne; óbed
14.451	afternoon	sledóbed
14.46	evening	véčer
14.47	today	dnés
14.48	tomorrow	útre
14.481	day-after-tomorrow	vdrúgiden
14.49	yesterday	včéra
14.491	day-before-yesterday	závčera
14.51	hour	čás
14.53	clock, timepiece	časóvnik
14.61	week	sédmica
14.62	Sunday	nedélja
14.63	Monday	ponedélnik
14.64	Tuesday	vtórnik
14.65	Wednesday	srjáda
14.66	Thursday	četvə́rtək
14.67	Friday	pétək
14.68	Saturday	sə́bota
14.71	month	mésec
14.73	year	godína
14.74	winter	zíma
14.75	spring	prólet
14.76	summer	ljáto
14.77	autumn	ésen
14.78	season	godíšno vréme; [sezón]
15.21	smell (vb intrans)	[miríša]
15.212	sniff	dúša; [pomirísvam/ pomiríša]; [miríša]; podsmə́rčam/ podsmə́rkvam/ podsmə́rkna
15.22	smell (vb trans)	[pomirísvam/ pomiríša]; [miríša]
15.25	fragrant, good smelling	blagouxánen; [aromáten]; [aromatíčen]
15.26	stinking, bad smelling	vonjášt, zlovónen
15.31	taste	vkúsvam/ vkúsja
15.35	sweet	sládək
15.36	salty	solén
15.37	bitter	gorčív
15.38	acid, sour	kísel
15.39	brackish	və́zsolen
15.41	hear	čuvam/ čuja
15.42	listen	slúšam
15.44	sound, noise	zvúk; šúm
15.45	loud	sílen; šúmen
15.46	quiet, silence	tišiná; məlčánie
15.51	see	viždam/ vídja
15.52	look, look at	glédam
15.55	show	pokázvam/ pokáža
15.56	shine	svétja; blestjá
15.57	bright	járək; svétəl
15.61	color	c̷vját
15.62	light (in color)	svétəl
15.63	dark (in color)	tə́men
15.64	white	bjál
15.65	black	čéren
15.66	red	červén
15.67	blue	sín
15.68	green	zelén
15.69	yellow	žə́lt
15.71	touch	dokósvam/ dokósna (se do); pípam/ pípna
15.712	pinch	štípja; oštípvam/ oštípja
15.72	feel	opípvam/ opípam; uséštam/ usétja; čúvstvuvam (se)
15.74	hard	tvə́rd
15.75	soft	mék
15.76	rough	[grápav]; grúb
15.77	smooth	gládək
15.78	sharp	óstər
15.79	blunt, dull	tə́p; iztə́pen
15.81	heavy	téžək
15.82	light (in weight)	lék
15.83	wet, damp	mókər; vlážen
15.84	dry	súx
15.85	hot	goréšt
15.851	warm	tópəl
15.86	cold	studén
15.87	clean	číst
15.88	dirty, soiled	mrə́sen; izc̷ápan
15.89	wrinkled	sbrə́čkan
16.11	soul, spirit	dušá; dúx
16.15	surprised, astonished	iznenádan; učúden; udivén
16.18	good fortune, luck	[kəsmét]; štástie
16.19	misfortune, bad luck	lóš [kəsmét]; neštastie
16.23	joyful, glad, happy	rádosten; štastlív
16.25	laugh	sméja se
16.251	smile	usmíxvam/ usmíxna se
16.26	play	igrája; svírja
16.27	love	obíčam; óbič; ljubóv
16.29	kiss	c̷elúvam/ c̷elúna
16.3	embrace	pregrə́štam/ pregə́rna
16.31	pain	bólka
16.32	grief, sorrow, sadness	górest; skrə́b; žalost; pečál; žál
16.33	anxiety, worry	bezpokójstvie/ bezpokójstvo; zagríženost; trevóga; ugríženost
16.34	regret, be sorry	səžaljávam/ səžaljá
16.35	pity	žál; səstradánie; mílost; səžalénie; žalost
16.37	cry, weep	pláča
16.38	tear (noun)	səlzá
16.39	groan	pə́škam; sténa; óxkam
16.41	hate	mrázja; nenavíždam/ nenavídja
16.42	anger	jád; gnjáv
16.44	envy, jealousy	závist; révnost
16.45	shame (noun)	srám
16.48	proud	górd
16.51	dare	sméja; osmeljávam/ osmeljá se
16.52	brave	xrábər; smél
16.53	fear, fright	stráx; bojázən; upláxa
16.54	danger	opásnost
16.62	desire, want	želája; ískam
16.622	choose	izbíram/ izberá
16.63	hope	nadjávam se; nadéžda
16.65	faithful	véren
16.66	true	véren
16.67	lie, tell lies	lə́ža
16.68	deceit	izmáma
16.69	forgive	proštávam/ prostjá (na)
16.71	good	dobə́r
16.72	bad	lóš
16.73	right, correct	véren; právilen
16.74	wrong	nevéren; neprávilen
16.76	fault	gréška; viná
16.77	mistake, error	gréška, pogréška
16.78	blame	viná
16.79	praise	poxvála
16.81	beautiful	krasív; [xúbav]
16.82	ugly	grózen
16.83	greedy	lákom; álčen
16.84	clever	úmen; inteligénten; xítər;
17.11	mind	úm; rázum
17.13	think (= reflect)	míslja
17.14	think (= be of the opinion)	smjátam; míslja
17.15	believe	vjárvam
17.16	understand	razbíram/ razberá
17.17	know	znája
17.171	guess	gadája; nalúčvam/ nalúčkvam/ nalúčam/nalúčkam; predpolágam/ predpolóža
17.172	imitate	podražávam; [imitíram]
17.18	seem	izgléždam
17.19	idea, notion	ponjátie; predstáva; [idéja]; mísəl
17.21	wise	mə́dər
17.22	foolish, stupid	glúpav; tə́p
17.23	insane, crazy	lúd; (umo)pobə́rkan
17.24	learn	úča; úča se; naučávam/ naúčvam/ naúča; izúčvam/ izúča
17.242	study	úča se; úča; izučávam/ izúča; proúčvam/ proúča; slédvam
17.25	teach	úča; obučávam; naučávam/ naúčvam/ naúča; prepodávam
17.26	pupil	učeník
17.27	teacher	učítel; prepodavátel
17.28	school	učílište; [škóla]
17.31	remember	pómnja; zapómnjam/ zapómnja; spómnjam/ spómnja si; pripómnjam/ pripómnja si; spómnjam/ spómnja si
17.32	forget	zabrávjam/ zabrávja
17.34	clear, plain	jásen
17.35	obscure	nejásen; tə́men
17.36	secret	tájna
17.37	sure, certain	[síguren]; uvéren
17.38	explain	objasnjávam/ objasnjá
17.41	intention, purpose	namerénie; c̷él
17.42	cause	pričína
17.43	doubt	səmnjávam se
17.44	suspect	podozíram/ podozrá
17.441	betray	izdávam/ izdám; predávam/ predám; izménjam/ izmenjávam/ izmenjá
17.45	need, necessity	núžda; neobxodímost
17.46	easy	lésen
17.47	difficult	trúden; téžək
17.48	try, attempt	opítvam/ opítam (se); [próbvam]
17.49	way, manner	náčin; spósob
17.51	and	i; a
17.52	because	zaštóto
17.53	if	akó; dalí
17.54	or	íli
17.55	yes, affirmative	dá; utvərdítelen
17.56	no, negative	ne; otric̷átelen
17.61	how?	kák?
17.62	how many?	kólko?
17.63	how much?	kólko?
17.64	what?	kakvó?; štó?
17.65	when?	kogá?
17.66	where?	kədé?
17.67	which?	kój?
17.68	who?	kój?
17.69	why?	zaštó?
18.11	voice	glás
18.12	sing	péja
18.13	shout, cry out	víkam
18.15	whisper	šépna/ šeptjá
18.16	mumble	mə́nkam; smə́nkvam/ smə́nkam
18.17	whistle	svírkam; svírja
18.18	shriek, screech	píštjá; kreštjá
18.19	howl	víja
18.21	speak, talk	govórja; prikázvam
18.211	stutter, stammer	zaékvam/ zaékna; ečá; [peltéča]
18.22	say	kázvam/ káža
18.221	tell story	razkázvam/ razkáža; razprávjam/ razprávja
18.222	speech (make a)	(proiznásjam/ proiznesá) réč
18.23	silent (be)	məlčá
18.24	language	ezík
18.26	word	dúma
18.28	name	íme
18.31	ask (question, inquire)	pítam, popítvam/ popítam; zadávam vəprós
18.32	answer	otgovárjam/ otgovórja
18.33	admit, confess	priznávam/ priznája
18.34	deny	otríčam/ otreká; otxvə́rljam/ otxvə́rlja; oprovergávam/ oprovergája
18.35	ask, request	mólja; pomólvam/ pomólja
18.36	promise	obeštávam/ obeštája
18.37	refuse	otkázvam/ otkáža (na)
18.38	forbid	zabranjávam/ zabranjá (na)
18.39	rebuke, scold	ukorjávam/ ukorjá; uprékvam/ uprékna; mə́mrja; xókam
18.41	call (=summon)	povíkvam/ povíkam; prizovjávam/ prizovjá; izvíkvam/ izvíkam
18.42	call (=name)	naríčam/ nareká
18.43	announce	objávjávam/ objávja; razglasjávam/ razglasjá
18.44	threaten	zaplášvam/ zapláša; zastrašávam/ zastrašá
18.45	boast	xválja se
18.51	write	píša; napísvam/ napíša
18.52	read	četá
18.56	paper	[xartíja]
18.57	pen	pisálka; peró; [ximikálka]
18.61	book	kníga
18.67	poet	[poét]; stixotvórec̷
18.71	flute	[fléjta]; [kavál]
18.72	drum	[barabán]; tə́pan
18.73	horn, trumpet	[kórna]; [trompét]; [kornét]
18.74	rattle	drənkálka
19.11	country	straná
19.12	one's native country	ródina; otéčestvo
19.15	city, town	grád
19.16	village	sélo
19.17	boundary	gránic̷a
19.21	people (populace)	naród
19.23	tribe, clan	pléme; [klán]
19.24	chief, chieftain	vóžd; glavatár
19.25	staff, walking stick	tojága; [bastún]; prə́t
19.31	rule, govern	[upravljávam]
19.32	king, ruler	[c̷ár]; [král]
19.33	queen	caríca; kralíca
19.36	noble, nobleman	blagoródnik; [aristokrát]
19.37	citizen, subject	graždanín; [pódanik]
19.41	master	gospodár
19.42	slave	rób
19.43	servant	slúga
19.44	freeman	svobóden čovék; počéten čovék
19.45	command, order	zapovjádvam/ zapovjádam; [kománduvam]
19.46	obey	podčinjávam/ podčinjá se; pokorjávam/ pokorjá se; slédvam; slúšam
19.47	let, permit	pozvoljávam/ pozvoljá; razrešávam/ razrešá; púskam/ púštam/ púsna
19.51	friend, companion	prijátel; drugár
19.52	enemy	vrág; neprijátel
19.54	neighbor	səséd
19.55	stranger	nepoznát; čuždenéc
19.56	guest	góst
19.57	host	[domakín]
19.58	help, aid	pomágam/ pomógna
19.59	hinder, prevent	vəzprepjátstvuvam; préča
19.61	custom	običáj
19.62	strife, quarrel	[konflíkt]; [kavgá]; káranica; rázpra; spór
19.63	conspiracy, plot	zágovor; [konspirácija]
19.65	meet	sréštam/ sréštna (se s)
19.72	prostitute	[prostitútka]; [publíčna] žená
20.11	fight (vb)	sražávam se; bórja se; bíja se; vojúvam
20.13	war, battle	vojná; sražénie; bój
20.14	peace	mír
20.15	army	[ármija]; vojská
20.17	soldier	vojník; [voénen]; vóin
20.21	weapons, arms	orə́žija
20.22	club	tojága; prə́t; [sópa]
20.222	battle-ax	bójna [brádva]; topór
20.23	sling	práška
20.24	bow	lə́k
20.25	arrow	strelá
20.26	spear	kópie
20.27	sword	méč
20.28	gun, cannon	orə́die; púška; [tóp]
20.31	armor (defensive)	[brónja]; [dospéxi]; ríznic̷a
20.33	helmet	šlém; [káska]
20.34	shield	štít
20.35	fortress	[krépost]
20.36	tower	[kúla]
20.41	victory	pobéda
20.42	defeat	poražénie; pobéda
20.43	attack	napádam/ napádna
20.44	defend	zaštišávam/ zaštitávam/ zaštitjá
20.45	retreat	otstə́pvam/ otstə́pja; ottégljam/ ottéglja se; [otdrə́pvam/ otdrə́pna se]
20.46	surrender	predávam/ predám se; [kapitulíram]
20.47	captive, prisoner	plénnik; zatvórnik
20.471	guard, sentinel	[karaúl]; stráža; [časoví, časovój]; oxrána
20.48	booty, spoils	pljáčka; voénni [troféi]
20.49	ambush	zasáda; klópka; [kapán]
20.51	fisherman	ribár
20.52	fishhook	və́dic̷a
20.53	fishing line	[kórda]; vrə́v; [šnúr]
20.54	fishnet	ribárska mréža
20.55	fish trap	--
20.56	bait	strə́v
20.61	hunt	lóvja; xódja na lóv; lovúvam
20.62	shoot	stréljam; zastrélvam/ zastréljam; razstrélvam
20.63	miss (target)	ne ulúčvam/ ulúča
20.64	trap (noun)	[kapán]; klópka; prímka
20.65	trap (vb)	xváštam/ xvána v [kapán]; vprímčvam/ vprímča
21.11	law	právo; [jurisprudénc̷ija]; zakón
21.15	court	sə́d
21.16	judge (vb)	sə́dja
21.17	judgment	rešénie; prisəda
21.18	judge (noun)	sədijá
21.21	plaintiff	[ištéc]
21.22	defendant	podsədím; [otvétnik]
21.23	witness	svidétel
21.24	swear	zaklé̈vam/ zakəlná se; kəlná se
21.25	oath	klétva
21.31	accuse	obvinjávam/ obvinjá
21.32	condemn	osə́ždam/ osə́dja
21.33	convict (vb)	namíram/ namérja za vinóven; osə́ždam/ osə́dja
21.34	acquit	opravdávam/ opravdája
21.35	guilty	vinóven
21.36	innocent	nevínen
21.37	penalty, punishment	nakazánie
21.38	fine	glóba
21.39	prison, jail	zatvór; təmníca
21.42	murder	ubívam/ ubíja
21.43	adultery	preljubodejánie/ preljubodéjstvie; preljubodéjstvo
21.44	rape	iznasílvane
21.46	arson	paléž
21.47	perjury	ləžesvidételstvuvane
21.51	steal	kradá; otkrádvam/ otkrádna
21.52	thief	kradéc̷
22.11	religion	[relígija]; vjára
22.12	God	Bóg
22.13	temple, church	xrám; [c̷ə́rkva]; čérkva
22.14	altar	[oltár]
22.15	sacrifice, offering	[žértva]; žertvoprinošénie]
22.16	worship	preklánjam/ preklonjá se pred; obožávam
22.17	pray	mólja se
22.18	priest	svešténik; [póp]
22.19	holy, sacred	svját, sveštén
22.22	preach	[propovjádvam]
22.23	bless	[blagoslávjam]
22.24	curse	proklínam/ prokəlná; kəlná
22.26	fast (vb)	[póstja]
22.31	heaven	nebé; [ráj]
22.32	hell	[ád]; pə́kəl
22.35	demon (evil spirit)	[démon]; [djávol]
22.37	idol	[ídol]
22.42	magic, witchcraft, sorcery	[magíja]; mag'ósničestvo; [vəlšébstvo]
22.43	sorcerer, witch	[magjósnik]; [vəlšébnik]; čarodéec̷; [mag'ósnic̷a]; [véštic̷a]; [vəlšébnic̷a]; čarodéjka
22.44	fairy, elf	[féja]; [élf]; górski dúx; samodíva
22.45	ghost, phantom	dúx; prízrak
22.47	omen, portent	predznamenovánie; známenie
