entry_id	trans_english	Finnish_Phonemic
12.57	long	pitkæ
12.58	tall	pitkæ; kor̃kea
12.59	short	lühüt
12.61	wide, broad	laaya; leweæ
12.62	narrow	kapea; kaita
12.63	thick (in dimension)	paksu
12.65	thin (in dimension)	ohut; laiha
12.67	deep	süwæ
12.68	shallow	matala
12.71	flat	tasainen
12.73	straight	suor̃a
12.74	crooked	kæür̃æ; kier̃o
12.75	hook	koukko
12.76	corner	kulma; nur̃kka
12.77	cross	r̃isti
12.78	square	nelikulmio
12.81	round	püör̃eæ
12.82	circle	kehæ
12.83	sphere, ball	pallo
12.84	line	wiiwa; linya; r̃iwi
12.85	hole	aukko; r̃eikæ
12.92	like, similar	samanlainen
12.93	change	muuttaa; waihtaa
13.0	zero, nothing	nolla; ei mikææn
13.1	one	üksi
13.2	two	kaksi
13.3	three	kolme
13.4	four	nelyæ
13.5	five	wiisi
13.6	six	kuusi
13.7	seven	seitsemæn
13.8	eight	kahdeksan
13.9	nine	ühdeksæn
13.10	ten	kümmenen
13.101	eleven	üksitoista
13.102	twelve	kaksitoista
13.103	fifteen	wiisitoista
13.104	twenty	kaksikümmentæ
13.105	hundred	sata
13.106	thousand	tuhat
13.107	count	luetella; laskea
13.14	every, all	yokainen; kaikki
13.15	much, many	palyon
13.16	more	enemmæn, enempi
13.17	little (quantity), few	wæhæn
13.18	enough	külliksi; tar̃peeksi
13.181	some	yotkut; yonkinwer̃r̃an
13.19	multitude, crowd	youkko; palyous; (wæen)tungos
13.21	full	tæüsi
13.22	empty	tühyæ
13.23	part, piece	osa; kappale; pala
13.24	half	puoli
13.33	alone, only	üksin; ainoa; wain; ainoastaan
13.34	first	esimmæinen
13.35	last	wiimeinen
13.36	second	toinen
13.37	pair	par̃i
13.38	two times	kahdesti
13.42	third	kolmas
13.44	three times	kolmesti
14.11	time	aika
14.12	age	ikæ
14.13	new	uusi
14.14	young	nuor̃i
14.15	old	wanha
14.16	early	war̃hain; aikaisin
14.17	late	müöhææn
14.18	now	nüt
14.19	immediately	wælittömæsti; heti
14.21	swift, fast, quick	nopea; kiir̃e; kiir̃einen
14.22	slow	hidas
14.23	hasten, hurry	kiir̃ehtiæ; pitææ kiir̃ettæ
14.24	retard, delay	wiiwüttææ, hidastaa; wiiwütellæ, hidastella
14.25	begin, beginning	aloittaa; alkaa; r̃uweta; alku
14.252	last, endure	kestææ
14.26	end (temporal)	loppu; pæætös
14.27	finish	lopettaa; pæættææ
14.28	cease, stop	loppua; pæættüæ; püsæhtüæ
14.29	ready	walmis
14.31	always	aina
14.32	often	usein
14.33	sometimes	yoskus; silloin tællöin
14.331	soon	pian; heti; kohta
14.332	long-time (for a)	kauan
14.34	never	(ei) milloinkaan; koskaan; ikinæ
14.35	again	yælleen; taas; uudelleen
14.41	day	pæiwæ
14.42	night	üö
14.43	dawn	aamur̃usko
14.44	morning	aamu
14.45	noon, midday	keskipæiwæ
14.451	afternoon	iltapæiwæ
14.46	evening	ilta
14.47	today	tænææn
14.48	tomorrow	huomenna
14.481	day-after-tomorrow	ülihuomenna
14.49	yesterday	eilen
14.491	day-before-yesterday	toissa pæiwænæ
14.51	hour	tunti
14.53	clock, timepiece	kello
14.61	week	wiikko
14.62	Sunday	sunnuntai
14.63	Monday	maanantai
14.64	Tuesday	tiistai
14.65	Wednesday	keskiwiikko
14.66	Thursday	tor̃stai
14.67	Friday	peryantai
14.68	Saturday	lauantai
14.71	month	kuukausi
14.73	year	wuosi
14.74	winter	talwi
14.75	spring	kewæt
14.76	summer	kesæ
14.77	autumn	süksü
14.78	season	wuodenaika
15.21	smell (vb intrans)	haista; tuoksua
15.212	sniff	nuuskia
15.22	smell (vb trans)	haistaa; tuntea hayua
15.25	fragrant, good smelling	tuoksuwa; hüwænhayunen
15.26	stinking, bad smelling	haisewa; löühkææwæ
15.31	taste	maistaa; maistua
15.35	sweet	makea
15.36	salty	suolainen
15.37	bitter	kar̃was; kitker̃æ
15.38	acid, sour	hapan
15.39	brackish	suolapitoinen
15.41	hear	kuulla
15.42	listen	kuunnella
15.44	sound, noise	sæwel; sointu; ææni
15.45	loud	kowa; woimakas
15.46	quiet, silence	hilyaisuus
15.51	see	næhdæ
15.52	look, look at	katsoa; katsella
15.55	show	næüttææ
15.56	shine	paistaa; loistaa
15.57	bright	waalea; kir̃kas
15.61	color	wær̃i
15.62	light (in color)	waalea
15.63	dark (in color)	tumma
15.64	white	walkoinen
15.65	black	musta
15.66	red	punainen
15.67	blue	sininen
15.68	green	wihr̃eæ
15.69	yellow	keltainen
15.71	touch	koskettaa; koskea
15.712	pinch	nipistææ, næpistææ
15.72	feel	tuntea
15.74	hard	kowa; luya
15.75	soft	pehmeæ
15.76	rough	epætasainen; kar̃kea
15.77	smooth	sileæ; tasainen
15.78	sharp	ter̃æwæ
15.79	blunt, dull	tülsæ; tülppæ
15.81	heavy	r̃askas; painawa
15.82	light (in weight)	kewüt
15.83	wet, damp	mær̃kæ; kostea
15.84	dry	kuiwa
15.85	hot	kuuma; tulinen
15.851	warm	læmmin
15.86	cold	külmæ
15.87	clean	puhdas; siisti
15.88	dirty, soiled	likainen, likaantunut
15.89	wrinkled	r̃üüpüinen
16.11	soul, spirit	sielu; henki
16.15	surprised, astonished	hæmmæstünüt; üllættünüt
16.18	good fortune, luck	onni
16.19	misfortune, bad luck	huono onni; onnettomuus
16.23	joyful, glad, happy	iloinen; r̃iemukas; onnellinen
16.25	laugh	naur̃aa
16.251	smile	hümüillæ
16.26	play	leikkiæ; pelata; soittaa
16.27	love	r̃akkaus; r̃akastaa
16.29	kiss	suudella
16.3	embrace	süleillæ
16.31	pain	kipu; tuska
16.32	grief, sorrow, sadness	sur̃ullisuus, sur̃u
16.33	anxiety, worry	mur̃he; huoli
16.34	regret, be sorry	katua; pahoitella
16.35	pity	sææli
16.37	cry, weep	itkeæ
16.38	tear (noun)	küünel
16.39	groan	woihkia; waiker̃oida
16.41	hate	wihata; wiha
16.42	anger	wiha
16.44	envy, jealousy	kateus; mustasukkaisuus
16.45	shame (noun)	hæpeæ, hæpü
16.48	proud	ülpeæ; pöühkeæ
16.51	dare	uskaltaa; r̃ohyeta
16.52	brave	r̃ohkea
16.53	fear, fright	pelko; kauhu
16.54	danger	waar̃a
16.62	desire, want	toiwoa; haluta; tahtoa
16.622	choose	walita
16.63	hope	toiwo, toiwe
16.65	faithful	luotettawa; uskollinen
16.66	true	oikea; todellinen
16.67	lie, tell lies	walehdella
16.68	deceit	pettæminen; petos
16.69	forgive	antaa anteeksi
16.71	good	hüwæ
16.72	bad	huono; paha
16.73	right, correct	oikea
16.74	wrong	wæær̃æ
16.76	fault	süü; wika
16.77	mistake, error	wir̃he; er̃ehdüs
16.78	blame	moite; nuhde
16.79	praise	ülistüs
16.81	beautiful	kaunis
16.82	ugly	r̃uma
16.83	greedy	ahne
16.84	clever	wiisas; ælükæs
17.11	mind	yær̃ki; ælü
17.13	think (= reflect)	ayatella; miettiæ
17.14	think (= be of the opinion)	luulla
17.15	believe	uskoa
17.16	understand	ümmær̃tææ; kæsittææ
17.17	know	tietææ; tuntea
17.171	guess	ar̃wata; luulla; ar̃wella
17.172	imitate	yælyitellæ; matkia
17.18	seem	næüttææ; tuntua
17.19	idea, notion	ayatus; idea; mielikuwa
17.21	wise	wiisas; yær̃kewæ
17.22	foolish, stupid	tuhma, tühmæ; tüper̃æ
17.23	insane, crazy	mielenwikainen, mieletön
17.24	learn	oppia
17.242	study	opiskella; lukea
17.25	teach	opettaa
17.26	pupil	oppilas; koululainen
17.27	teacher	opettaya
17.28	school	koulu
17.31	remember	muistaa; pitææ mielessææn
17.32	forget	unohtaa
17.34	clear, plain	selwæ
17.35	obscure	epæselwæ; hæmær̃æ
17.36	secret	salainen
17.37	sure, certain	war̃ma
17.38	explain	selittææ, selwittææ
17.41	intention, purpose	aikomus; tar̃koitus
17.42	cause	aiheuttaa
17.43	doubt	epæillæ
17.44	suspect	epæillæ
17.441	betray	pettææ; kawaltaa
17.45	need, necessity	tar̃we
17.46	easy	helppo
17.47	difficult	waikea
17.48	try, attempt	ür̃ittææ; koettaa
17.49	way, manner	tapa; kæütös
17.51	and	ya
17.52	because	koska
17.53	if	yos
17.54	or	tai; wai
17.55	yes, affirmative	küllæ; niin; yaa; müöntæwæ
17.56	no, negative	ei; kieltæwæ, kielteinen
17.61	how?	kuinka?; miten?
17.62	how many?	kuinka palyon? ~ palyonko?
17.63	how much?	kuinka palyon? ~ palyonko?
17.64	what?	mikæ?; mitæ?
17.65	when?	milloin?; koska?
17.66	where?	missæ?; mihin?; minne?
17.67	which?	millainen?; minkælæinen?
17.68	who?	kuka?
17.69	why?	miksi?
18.11	voice	ææni
18.12	sing	laulaa
18.13	shout, cry out	huutaa; kar̃yua
18.15	whisper	kuiskata
18.16	mumble	mumista ~ mutista
18.17	whistle	wiheltææ
18.18	shriek, screech	kir̃kua; kilyua
18.19	howl	ulwoa
18.21	speak, talk	puhua
18.211	stutter, stammer	ænküttææ
18.22	say	sanoa
18.221	tell story	ker̃toa
18.222	speech (make a)	pitææ puhe
18.23	silent (be)	waieta ~ olla waiti
18.24	language	kieli
18.26	word	sana
18.28	name	nimi
18.31	ask (question, inquire)	küsüæ
18.32	answer	wastata
18.33	admit, confess	müöntææ; tunnustaa
18.34	deny	kieltææ
18.35	ask, request	püütææ; waatia
18.36	promise	luwata
18.37	refuse	kieltæütüæ
18.38	forbid	kieltææ
18.39	rebuke, scold	nuhdella; moittia
18.41	call (=summon)	kutsua
18.42	call (=name)	kutsua; nimittææ
18.43	announce	ilmoittaa
18.44	threaten	uhata
18.45	boast	ker̃skailla
18.51	write	kir̃yoittaa
18.52	read	lukea
18.56	paper	paper̃i
18.57	pen	künæ
18.61	book	kir̃ya
18.67	poet	r̃unoiliya
18.71	flute	huilu
18.72	drum	r̃umpu
18.73	horn, trumpet	tor̃wi; tr̃umpetti
18.74	rattle	mar̃akassi
19.11	country	maa
19.12	one's native country	kotimaa; isænmaa
19.15	city, town	kaupunki
19.16	village	külæ
19.17	boundary	r̃aya
19.21	people (populace)	kansa
19.23	tribe, clan	heimo; suku(kunta)
19.24	chief, chieftain	pæælikkö; yohtaya
19.25	staff, walking stick	keppi; sauwa; kæwelükeppi
19.31	rule, govern	hallita; yohtaa
19.32	king, ruler	kuningas; hallitsiya
19.33	queen	kuningatar̃
19.36	noble, nobleman	aatelinen
19.37	citizen, subject	kansalainen; alamainen
19.41	master	her̃r̃a; isæntæ
19.42	slave	or̃ya
19.43	servant	palweliya
19.44	freeman	wapaa (ihminen)
19.45	command, order	kæskeæ; komentaa
19.46	obey	totella
19.47	let, permit	sallia; pææstææ
19.51	friend, companion	üstæwæ; tower̃i; kumppani
19.52	enemy	wihollinen
19.54	neighbor	naapur̃i
19.55	stranger	muukalainen
19.56	guest	wier̃as
19.57	host	isæntæ
19.58	help, aid	auttaa
19.59	hinder, prevent	estææ; ehkæistæ
19.61	custom	tapa
19.62	strife, quarrel	r̃iita
19.63	conspiracy, plot	salaliitto
19.65	meet	tawata
19.72	prostitute	por̃tto; huor̃a
20.11	fight (vb)	taistella
20.13	war, battle	sota; taistelu
20.14	peace	r̃auha
20.15	army	ar̃meiya
20.17	soldier	sotilas
20.21	weapons, arms	aseet
20.22	club	nuiya
20.222	battle-ax	sotakir̃wes; tappar̃a
20.23	sling	linko
20.24	bow	kaar̃i; yousi
20.25	arrow	nuoli
20.26	spear	keihæs
20.27	sword	miekka
20.28	gun, cannon	kiwæær̃i; tykki
20.31	armor (defensive)	panssar̃i; haar̃niska
20.33	helmet	küpær̃æ
20.34	shield	kilpi
20.35	fortress	linnoitus
20.36	tower	tor̃ni
20.41	victory	woitto
20.42	defeat	tappio; hæwiö
20.43	attack	hüökkæüs
20.44	defend	puolustaa
20.45	retreat	per̃ææntüæ, per̃æütüæ
20.46	surrender	alistua; antautua
20.47	captive, prisoner	wangittu, wanki
20.471	guard, sentinel	wahti, war̃tiya
20.48	booty, spoils	saalis; sotasaalis
20.49	ambush	wæiyütüs
20.51	fisherman	kalastaya
20.52	fishhook	ongenkoukku
20.53	fishing line	ongensiima
20.54	fishnet	kalawer̃kko
20.55	fish trap	r̃üsæ
20.56	bait	süötti
20.61	hunt	metsæstææ
20.62	shoot	ampua
20.63	miss (target)	ampua ohi
20.64	trap (noun)	püüdüs; loukku
20.65	trap (vb)	püüdüstææ satimeen
21.11	law	oikeus; laki
21.15	court	oikeus
21.16	judge (vb)	tuomita
21.17	judgment	tuomio
21.18	judge (noun)	tuomar̃i
21.21	plaintiff	kantaya
21.22	defendant	süütettü
21.23	witness	todistaya
21.24	swear	wannoa
21.25	oath	wala
21.31	accuse	süüttææ
21.32	condemn	tuomita
21.33	convict (vb)	yulistaa süülliseksi ~ todistaa süülliseksi
21.34	acquit	yulistaa süüttömæksi
21.35	guilty	süüllinen
21.36	innocent	süütön
21.37	penalty, punishment	r̃angaistus
21.38	fine	sakko
21.39	prison, jail	wankila
21.42	murder	mur̃ha
21.43	adultery	awior̃ikos
21.44	rape	r̃aiskaaminen ~ r̃aiskaus
21.46	arson	tuhopoltto
21.47	perjury	wæær̃æ wala
21.51	steal	war̃astaa
21.52	thief	war̃as
22.11	religion	uskonto
22.12	God	yumala
22.13	temple, church	temppeli; kir̃kko
22.14	altar	alttar̃i
22.15	sacrifice, offering	uhr̃aus, uhr̃i
22.16	worship	palwoa
22.17	pray	r̃ukoilla
22.18	priest	pappi
22.19	holy, sacred	pühæ, pühitettü
22.22	preach	saar̃nata
22.23	bless	siunata
22.24	curse	kir̃ota
22.26	fast (vb)	paastota
22.31	heaven	taiwas
22.32	hell	helwetti
22.35	demon (evil spirit)	demoni; paholainen; paha henki
22.37	idol	epæyumala
22.42	magic, witchcraft, sorcery	taikuus; noituus
22.43	sorcerer, witch	noita; welho
22.44	fairy, elf	haltiya
22.45	ghost, phantom	kummitus; haamu; aawe
22.47	omen, portent	enne
