entry_id	trans_english	Lakkia_Phonemic
5.87	milk (vb)	mi:n.6.4 pa:u.1
5.88	cheese	mi:n.6.4 tuə:n.2
5.89	butter	cɛ:u.3 mi:n.6
5.9	beverage, drink	mi:n.6.4 fən.3
5.91	mead	ta:p.8
5.92	wine	nhɛ:n.1
5.93	beer	fa:i.5
5.94	fermented drink	tiŋ.1 nhɛ:n.1; tiŋ.1 muə.6
5.97	egg	kjən.3
5.971	egg yolk	tiŋ.1 tuə:i.5
6.11	put on (clothes)	mom.6
6.12	clothing, clothes	kja:i.3
6.13	tailor	tha:ŋ.1
6.21	cloth	wok.8
6.22	wool	tou.6 kwak.7
6.23	linen, flax	sa.1 niŋ.1
6.24	cotton	fuən.5
6.25	silk	jie:ŋ.4 thoŋ.1; thoŋ.1
6.27	felt	ti:u.1
6.28	fur	lak.8 ŋjie.2
6.29	leather	iŋ.2
6.31	spin	i.1
6.32	spindle	cie.6
6.33	weave	cu.2
6.34	loom	nam.5 cen.1
6.35	sew	chu:n.5
6.36	needle	lak.8 wa.2
6.37	awl	lak.8 i:t.7
6.38	thread	lak.8 khja.1
6.39	dye	ka:n.3 la:n.1
6.41	cloak	jɛu.2
6.411	poncho	ka:u.1
6.42	woman's dress	pu:i.2
6.43	coat	tiŋ.1
6.44	shirt	kjie.1
6.45	collar	huə.1 cɛ:u.1
6.46	skirt	huə.1 cɛ:u.1 kja.5
6.461	grass-skirt	tie:ŋ.2.4 mlet.8
6.48	trousers	tie:ŋ.2
6.49	stocking, sock	nɛ:n.3; num.4 nɛ:n.3
6.51	shoe	luə:t.8
6.52	boot	uə:ŋ.4 jɛu.2
6.54	shoemaker, cobbler	lak.7 ho:p.7; lak.7 cen
6.55	hat, cap	tie:ŋ.2.4 khja:u.3
6.57	belt, girdle	khja:u.3 lak.8 i:t.7
6.58	glove	phi.4 ci:u.1
6.59	veil	lo:m.6
6.61	pocket	lo:m.6 ŋhjie.5
6.62	button	tɛn.1
6.63	pin	na:ŋ.4
6.71	ornament, adornment	ca:i.4 foŋ.2
6.72	jewel	ku:i.5
6.73	ring (for finger)	ni.4
6.74	bracelet	wie.2
