entry_id	trans_english	Chiriguano_Phonemic
10.55	reach, arrive	upitɨ; wãẽ
10.56	approach	('a-)ǰa
10.57	enter	(a)ike
10.61	carry (bear)	raha; raa
10.612	carry-in-hand	(če-)po-pe (a-)raha; (a-)raa
10.613	carry-on-shoulder	atiɨ-re (a-)raha
10.614	carry-on-head	ãkã-re (a-)raha; (a-)raa
10.615	carry-underarm	yɨwa-gʷɨ-pe (a-)raha; (a-)raa
10.62	bring	ru
10.63	send	moⁿdo
10.64	lead (vb)	ᵐbɨ-hape
10.65	drive	ᵐbo-gʷata
10.66	ride	(a-)po [kawaǰu]-re
10.67	push, shove	moãɲa; mãɲa
10.71	road	t-ape; h-ape
10.72	path	t-ape i-pɨraɨ
10.74	bridge	ɨsapa
10.75	carriage, wagon, cart	
10.76	wheel	sɨpepe oǰere-ǰere-wa
10.77	axle	--
10.78	yoke	
10.81	ship	ɨtapa-wasu
10.83	boat	
10.831	canoe	[čaranⁿda]
10.832	outrigger	--
10.84	raft	ɨtapa
10.85	oar	ɨpɨgʷara
10.851	paddle (noun)	ɨ-pɨgʷara-ka
10.852	row (vb)	ɨ-pɨgʷara
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	
10.89	anchor	--
10.91	harbor, port	
10.92	land (vb)	(ã-)ẽ ɨtapa-gʷi
11.11	have	reko
11.12	own, possess	reko; nõi
11.13	take	pɨsɨ
11.14	seize, grasp	pɨsɨ
11.15	hold	pɨsɨ; nõi
11.16	get, obtain	ᵐbu-ǰeu
11.17	keep, retain	mo-iᵑgãtu
11.18	thing	ᵐbae
11.21	give	mẽẽ
11.22	give back	mẽẽ-ǰe
11.24	preserve, look after	ɲaᵑgareko; ǰaⁿdareko
11.25	save, rescue	pɨsɨ̃ro; pɨɨ̃ro
11.27	destroy	ᵐbai
11.28	harm, injure, damage	manai; marai apo
11.31	seek, look for	eka
11.32	find	wãẽ
11.33	lose	kãɲɨ
11.34	release, let go	poi
11.43	money	korepoti
11.44	coin	korepoti
11.51	rich	iko-katu
11.52	poor	parawete
11.53	beggar	
11.54	avaricious, stingy	(če-)r-akatẽi; h-akatẽi
11.61	lend	poru-ka
11.62	borrow	poru
11.63	owe	mẽe ǰewɨ wãera
11.64	debt	pɨa
11.65	pay (vb)	ᵐbo-epɨ; ᵐbu-epɨ
11.66	account, reckoning	ipapa-a
11.69	tax, tribute	
11.77	hire	poru
11.78	wages	ᵐbaapo hepɨ̃-ra
11.79	earn	ᵐbaapo-pe ᵐbu-ǰeu
11.81	buy	gʷa; wa
11.82	sell	hepɨ-pe mẽẽ; gʷa-ka
11.83	trade, barter	pepɨ-ka; ɲemu
11.84	merchant	ɲemũ-a
11.85	market (place)	teᵐbiu heⁿda
11.86	store, shop	temi-moⁿde-rɨru
11.87	price	hepɨ
11.88	dear (costly, expensive)	hepɨ
11.89	cheap	hepɨ-ete-a
11.91	share (distribute)	ᵐbu-ǰao
11.92	weigh	mɨaaᵑga
12.1	after	hae-ma; hokogʷi
12.11	behind	h-aɨkʷe
12.2	beside	-ɨke
12.3	down, below	ǰeᵐbɨ
12.4	before	ᵐboewe
12.41	front	(če-)rowai; howai
12.5	inside, in	ha-pɨpe
12.6	outside	oka-pe
12.7	under	i gʷɨ-pe
12.8	up, above	ɨwate; 'aramo
12.11	place	h-eⁿda; r-eⁿda
12.12	put	ɲõno
12.13	sit	gʷapɨ
12.14	lie down	(a)ǰapakʷa
12.15	stand	(a)ᵐbo-ǰeᵐboɨ; (a)ǰeᵐboɨ
12.16	remain, stay	pɨta
12.17	remains, left overs	h-eᵐbire; h-eᵐbire-kʷe
12.21	collect, gather	ᵐboatɨ; ᵐbatɨ
12.212	pick up	ipoo; monõo
12.213	pile up	ᵐboatɨ
12.22	join, unite	ᵐboatɨ
12.23	separate	mo-poi
12.232	divide	ᵐbu-ǰao; ᵐbo-wo
12.24	open	pea
12.25	shut, close	(ai-)okeⁿda
12.26	cover	ᵐbu-ǰasoi
12.27	hide, conceal	ɲomi; mo-kaɲɨ
12.31	high	ɨwate
12.32	low	miči; ɨwɨ̃i
12.33	top	apɨte
12.34	bottom	gʷɨ
12.35	end	taɨkʷete; apɨ
12.352	pointed	h-akʷa
12.353	edge	apɨ; h-eᵐbeɨ
12.36	side	ɨke
12.37	middle, center	ᵐbɨte
12.41	right (side)	aka'tua
12.42	left (side)	asu
12.43	near (adv)	ko; kõ-ɲõ; kõi
12.44	far (adv)	moᵐbɨrɨ
12.45	east	kʷarasɨ-õe-a
12.46	west	kʷarasɨ ike-a
12.47	north	
12.48	south	
12.53	grow	kʷakʷa; kʷakʷaa
12.54	measure	mi-a'aᵑga
12.541	span, fathom	
12.55	large, big	gʷasu; tuiča
12.56	small, little	miči
12.57	long	puku
12.58	tall	puku
12.59	short	čutu
12.61	wide, broad	pɨwasu
12.62	narrow	pɨraɨ
12.63	thick (in dimension)	po'wasu
12.65	thin (in dimension)	poi; piru
12.67	deep	tɨpɨ
12.68	shallow	tɨpɨ-a
12.71	flat	sɨmi
12.73	straight	sɨmi; sɨmi-kawi
12.74	crooked	(če-)apa
12.75	hook	tɨãi
12.76	corner	hugʷa
12.77	cross	[kurusu]
12.78	square	toroke
12.81	round	apua
12.82	circle	ama
12.83	sphere, ball	ᵐbae-rapua
12.84	line	ai
12.85	hole	kʷa
12.92	like, similar	-nuᵑga; -raminuᵑga
12.93	change	ɲemu
13.0	zero, nothing	ᵐbaetɨ ᵐbae
13.1	one	mo-pẽti
13.2	two	mõkoi
13.3	three	ᵐbapɨ
13.4	four	iruⁿdɨ
13.5	five	pa-ⁿde-po
13.6	six	owa
13.7	seven	čiu
13.8	eight	huri
13.9	nine	čao
13.10	ten	pa-yaⁿde-po
13.101	eleven	pẽti aramo-wa
13.102	twelve	pa-yaⁿde-po mõkoi aramo-wa
13.103	fifteen	(pa-yaⁿde-po) pa-ⁿde-po aramo-wa
13.104	twenty	mõkʷi-opa; mõkoi-pa-yaⁿde-po
13.105	hundred	pa-yaⁿde-po-pa aramo-wa
13.106	thousand	opa opa opa
13.107	count	(ai)papa
13.14	every, all	opa; ɲãwo
13.15	much, many	h-eta
13.16	more	
13.17	little (quantity), few	miči
13.18	enough	h-e'ta-ma
13.181	some	ᵐbae
13.19	multitude, crowd	atɨ; r-eta
13.21	full	tɨ-nẽe
13.22	empty	i-po-ᵐbae
13.23	part, piece	pɨseagʷe; haigʷe
13.24	half	ᵐbɨte
13.33	alone, only	-ɲo
13.34	first	(če-)renoⁿde; tenoⁿde-gʷa
13.35	last	taɨ'kʷe-wa
13.36	second	mõ'kʷi-a
13.37	pair	ĩru
13.38	two times	mõkoi ǰewɨ
13.42	third	ᵐba'pɨ-a
13.44	three times	ᵐbapɨ yewɨ
14.11	time	'ara
14.12	age	'ara
14.13	new	pɨau
14.14	young	taɨrusu
14.15	old	ⁿdeči
14.16	early	ⁿdeiᵐbowe
14.17	late	karu
14.18	now	aɲãwe
14.19	immediately	arẽa; h-areã-ɲo
14.21	swift, fast, quick	ãkʷa
14.22	slow	ᵐbegʷe
14.23	hasten, hurry	ɲemuᵐbae
14.24	retard, delay	arẽa; pɨta
14.25	begin, beginning	poko; ᵐbɨpɨ
14.252	last, endure	
14.26	end (temporal)	pa
14.27	finish	ᵐbuǰapɨ
14.28	cease, stop	ǰeᵐboɨ
14.29	ready	kɨrẽi
14.31	always	ǰepi-ɲo
14.32	often	pɨi; heta ǰewɨ ...ǰepi
14.33	sometimes	ǰepi; ãmo
14.331	soon	hae-'woi
14.332	long-time (for a)	heta 'ara-re
14.34	never	-a ...ǰepi
14.35	again	ǰewɨ
14.41	day	'ara
14.42	night	pɨ̃tu
14.43	dawn	kõe
14.44	morning	pɨa're
14.45	noon, midday	kʷarasɨ-ᵐbɨte
14.451	afternoon	karu
14.46	evening	'karu-ma
14.47	today	kʷa 'ara-pe; aɲãwe
14.48	tomorrow	pɨ(h)are
14.481	day-after-tomorrow	kuriye; kurii
14.49	yesterday	karumo
14.491	day-before-yesterday	'karumo ĩru-wae
14.51	hour	--
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	ǰasɨ
14.73	year	'ara; 'roɨ
14.74	winter	'ara 'roɨ
14.75	spring	maetĩa i'ara
14.76	summer	ar-aku
14.77	autumn	--
14.78	season	'ara
15.21	smell (vb intrans)	piče
15.212	sniff	(a)ẽtu
15.22	smell (vb trans)	(a)ẽtu
15.25	fragrant, good smelling	i-piče kawi-wa
15.26	stinking, bad smelling	i-ne
15.31	taste	(a)h-ãa
15.35	sweet	hẽe; he-ãsɨ
15.36	salty	hẽe
15.37	bitter	ro
15.38	acid, sour	haǰ-asɨ
15.39	brackish	
15.41	hear	(a)eⁿdu
15.42	listen	(aǰ)apɨsaka
15.44	sound, noise	pu
15.45	loud	
15.46	quiet, silence	kirĩi; kĩi
15.51	see	eča; esa
15.52	look, look at	mãe
15.55	show	eča-uka; esa-uka
15.56	shine	wera
15.57	bright	h-eᵐbipe
15.61	color	
15.62	light (in color)	h-esãka
15.63	dark (in color)	pɨ̃tu
15.64	white	tĩi
15.65	black	-hũu
15.66	red	pɨ̃ta
15.67	blue	howɨ
15.68	green	howɨ
15.69	yellow	(če-)ǰu; iǰu
15.71	touch	poko
15.712	pinch	pĩčai
15.72	feel	aⁿdu
15.74	hard	t-ãta
15.75	soft	pɨu; pu; pukai
15.76	rough	haiᵐbe
15.77	smooth	sĩi; ĩ-či
15.78	sharp	haiᵐbe
15.79	blunt, dull	
15.81	heavy	poɨ
15.82	light (in weight)	wewi
15.83	wet, damp	(če-)ãkɨ; iɲãkɨ
15.84	dry	(a)tĩni
15.85	hot	h-aku
15.851	warm	h-aku
15.86	cold	roɨ; rõɨsa
15.87	clean	kɨa-ᵐbae
15.88	dirty, soiled	kɨʔa
15.89	wrinkled	ɲini
16.11	soul, spirit	ã
16.15	surprised, astonished	esapɨa
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	h-orɨ
16.25	laugh	puka
16.251	smile	puka agʷe nũ
16.26	play	ǰuaᵑga
16.27	love	aɨu; (ai)pota
16.29	kiss	ẽtu
16.3	embrace	kʷãwa
16.31	pain	h-asi
16.32	grief, sorrow, sadness	pɨatɨtɨ
16.33	anxiety, worry	pɨaᵑgweko
16.34	regret, be sorry	ãpĩno
16.35	pity	pirerekʷa
16.37	cry, weep	(a)yaeo; (a)ǰaǰo
16.38	tear (noun)	t-esaɨ
16.39	groan	pɨãe
16.41	hate	amɨtãa; motarẽi
16.42	anger	počɨ
16.44	envy, jealousy	ǰe-mɨaᵑgwɨ̃ro
16.45	shame (noun)	mãra
16.48	proud	o-ǰe-ᵐboete-wa
16.51	dare	
16.52	brave	h-ataᵑgãtu
16.53	fear, fright	kɨǰe
16.54	danger	
16.62	desire, want	mõna
16.622	choose	parawo
16.63	hope	ǰe-rowia-ka
16.65	faithful	poro-ᵐbotawɨ-ᵐbae
16.66	true	aɲẽte-wa
16.67	lie, tell lies	(iǰ-)apu
16.68	deceit	ᵐbotawɨ
16.69	forgive	ᵐboasa; ɲɨ̃ro
16.71	good	katu; kawi
16.72	bad	katũ-a; kawĩ-a
16.73	right, correct	
16.74	wrong	
16.76	fault	t-ekopočɨ
16.77	mistake, error	tawɨ
16.78	blame	mãra
16.79	praise	momõra
16.81	beautiful	(i)põra
16.82	ugly	porã-a; kawĩ-a
16.83	greedy	
16.84	clever	arakʷaa-katu
17.11	mind	h-emiᵑgeta
17.13	think (= reflect)	ǰe-moᵑgeta
17.14	think (= be of the opinion)	rowia
17.15	believe	rowia
17.16	understand	upitɨ
17.17	know	kʷaa
17.171	guess	
17.172	imitate	ãa; h-ekoãa
17.18	seem	eča
17.19	idea, notion	
17.21	wise	akʷa; arakʷa
17.22	foolish, stupid	arakʷaᵐbae
17.23	insane, crazy	ɲe-ᵐbokere
17.24	learn	ǰe-ᵐboe
17.242	study	ǰe-ᵐboe
17.25	teach	(a)ᵐboe
17.26	pupil	t-emi-ᵐboe
17.27	teacher	poro-ᵐboe-a
17.28	school	ᵐboe-a
17.31	remember	maⁿdua
17.32	forget	kãɲɨ
17.34	clear, plain	h-esãka
17.35	obscure	h-esakã-a
17.36	secret	ǰe-kʷaku
17.37	sure, certain	aɲẽte
17.38	explain	mo-esãka
17.41	intention, purpose	ɲono pɨa-pe
17.42	cause	
17.43	doubt	ɲe-mõa
17.44	suspect	ɲe-mõa
17.441	betray	ᵐbotawɨ
17.45	need, necessity	
17.46	easy	iǰ-awai-ᵐbae
17.47	difficult	iǰ-awai
17.48	try, attempt	ãa
17.49	way, manner	
17.51	and	ha
17.52	because	-ramo
17.53	if	-ramo
17.54	or	
17.55	yes, affirmative	hãa; hõo
17.56	no, negative	ãni
17.61	how?	kerẽi-pa
17.62	how many?	ᵐbowɨ-pa
17.63	how much?	ᵐbowɨ-pa
17.64	what?	ᵐbae-pa
17.65	when?	kerẽi-ɲãwe-pa
17.66	where?	kea-pe-pa
17.67	which?	ᵐbae-pa
17.68	who?	kea-pa
17.69	why?	mãe-ra-pa
18.11	voice	asẽo
18.12	sing	purae
18.13	shout, cry out	h-ãse; sapɨkei
18.15	whisper	
18.16	mumble	ɲeeɲẽmi
18.17	whistle	ĩtuɲẽe
18.18	shriek, screech	čiririu hei
18.19	howl	ɲãro
18.21	speak, talk	(če-)miãri; (a)moᵐbeu; (a)ɲẽe
18.211	stutter, stammer	ɲẽepɨta
18.22	say	-e; -i
18.221	tell story	moᵐbeu
18.222	speech (make a)	moᵑgeta
18.23	silent (be)	kirĩi
18.24	language	ɲẽe
18.26	word	ɲẽe
18.28	name	h-ee
18.31	ask (question, inquire)	paraⁿdu
18.32	answer	ɲeeᵐbuǰewɨ
18.33	admit, confess	(a)ɲee hae
18.34	deny	ãni hae
18.35	ask, request	paraⁿdu
18.36	promise	
18.37	refuse	potã-a
18.38	forbid	ǰopia
18.39	rebuke, scold	ᵐburakʷaa
18.41	call (=summon)	-enei
18.42	call (=name)	(če)r-ee
18.43	announce	moᵐbeu
18.44	threaten	enõpua
18.45	boast	ǰerowia iǰee
18.51	write	(ai)kʷatia
18.52	read	kʷatiare ǰemoᵑgeta
18.56	paper	kʷatia
18.57	pen	
18.61	book	kʷatia
18.67	poet	
18.71	flute	(če-)remiᵐbɨ
18.72	drum	pĩ-pĩ; aᵑgua
18.73	horn, trumpet	
18.74	rattle	ᵐbarako
19.11	country	t-ẽta
19.12	one's native country	t-ẽta
19.15	city, town	tẽta (g)wasu
19.16	village	(če-)rẽta; hẽta; tẽta
19.17	boundary	t-eᵐbeɨ; apɨ
19.21	people (populace)	ᵐbɨa
19.23	tribe, clan	tẽta iatɨ
19.24	chief, chieftain	huwiča; uwiča
19.25	staff, walking stick	popoka
19.31	rule, govern	ǰokʷai
19.32	king, ruler	
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	(če-)ǰa; iǰa
19.42	slave	t-eᵐbiau
19.43	servant	t-eᵐbiǰokʷai
19.44	freeman	
19.45	command, order	ǰokʷai
19.46	obey	poro-gʷerowia
19.47	let, permit	-eǰa
19.51	friend, companion	ĩru
19.52	enemy	t-owaiču
19.54	neighbor	kõi
19.55	stranger	maⁿtigʷa
19.56	guest	ᵐbo-upa
19.57	host	ᵐbo-pɨta-a
19.58	help, aid	ᵐborɨ
19.59	hinder, prevent	ǰopia
19.61	custom	t-eko
19.62	strife, quarrel	ɲorãro
19.63	conspiracy, plot	
19.65	meet	owãiti
19.72	prostitute	kũɲa teko-awai
20.11	fight (vb)	ɲorãro
20.13	war, battle	ᵐbaemegʷa; gʷarini
20.14	peace	pɨa-gʷapɨ; t-eko kirĩi
20.15	army	[suⁿdaro-reta]
20.17	soldier	[suⁿdaro]
20.21	weapons, arms	
20.22	club	ɨwɨra-puᵑga
20.222	battle-ax	ǰɨ ɲorarõ-ra
20.23	sling	tamaᵐboka
20.24	bow	(če-)wɨrapa
20.25	arrow	uwɨ; (se-)ruwɨ
20.26	spear	mĩi
20.27	sword	kɨse-puku
20.28	gun, cannon	ᵐboka
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	gʷeᵐbi
20.36	tower	
20.41	victory	
20.42	defeat	mo-mãra
20.43	attack	
20.44	defend	pɨɨ̃ro
20.45	retreat	sɨrɨ; si
20.46	surrender	
20.47	captive, prisoner	t-eᵐbiau
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	mo-kʷatĩro
20.51	fisherman	pira iǰuka-a
20.52	fishhook	piⁿda
20.53	fishing line	piⁿda sã
20.54	fishnet	pɨsa
20.55	fish trap	pira hokai
20.56	bait	tawɨkãna
20.61	hunt	ᵐbae-ǰuka
20.62	shoot	(aǰ)api
20.63	miss (target)	ǰawɨ
20.64	trap (noun)	ɲoi
20.65	trap (vb)	pɨsɨ
21.11	law	teko tekoi
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	poro-eča-a; poro-eⁿdu-a
21.24	swear	
21.25	oath	
21.31	accuse	ᵐbeu; ǰampo
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	mãra-wa
21.36	innocent	mãra-ᵐbae
21.37	penalty, punishment	mae-nũpa
21.38	fine	
21.39	prison, jail	
21.42	murder	ǰuka
21.43	adultery	
21.44	rape	poro-kumegʷa
21.46	arson	tata-gʷasu
21.47	perjury	
21.51	steal	ɲõmi
21.52	thief	moⁿda; ɲomĩ-a
22.11	religion	rowia
22.12	God	tũpa; ɲaⁿde-ǰara
22.13	temple, church	tupa-o
22.14	altar	
22.15	sacrifice, offering	kʷaiwi
22.16	worship	
22.17	pray	ǰerure
22.18	priest	pai
22.19	holy, sacred	
22.22	preach	ɲe-mo-ɲẽe
22.23	bless	
22.24	curse	mo-ᵐburu; pɨpeǰu
22.26	fast (vb)	ǰekʷaku
22.31	heaven	ara
22.32	hell	
22.35	demon (evil spirit)	ãɲa
22.37	idol	
22.42	magic, witchcraft, sorcery	paǰe
22.43	sorcerer, witch	paǰe
22.44	fairy, elf	ᵐbai
22.45	ghost, phantom	tau
22.47	omen, portent	
