entry_id	trans_english	Nung-Ninbei_Phonemic
5.85	sugar	ŋa.2
5.86	milk (noun)	khəŋ.2
5.87	milk (vb)	theŋ.2
5.88	cheese	ki.2
5.89	butter	ma:k.7
5.9	beverage, drink	roi.4
5.91	mead	phu.2 tha:u.2
5.92	wine	ma:k.7 lək.8
5.93	beer	jou.2
5.94	fermented drink	la:u.2
5.97	egg	pi.2
5.971	egg yolk	cəŋ.1
6.11	put on (clothes)	ki.2
6.12	clothing, clothes	wo.2 ciu.1
6.13	tailor	thiŋ.2 thɔi.3
6.21	cloth	thiŋ.2
6.22	wool	nou.4
6.23	linen, flax	can.3
6.24	cotton	lau.3 thiŋ.2 thɔi.3
6.25	silk	lau.3 phu.2 tha:u.2
6.27	felt	khjai.6
6.28	fur	mjon.2 khjai.6
6.29	leather	nɨŋ.6
6.31	spin	si.3 khwa.6
6.32	spindle	śe.5 si.3 khwa.6
6.33	weave	phaŋ.2
6.34	loom	khɔn.2
6.35	sew	pha:i.3
6.36	needle	cou.2
6.37	awl	jɨŋ.2
6.38	thread	naŋ.1 khɔn.2
6.39	dye	naŋ.1
6.41	cloak	ʔjot.8 pha:i.3
6.411	poncho	an.2 ʔjot.8 pha:i.3; an.2 thau.6
6.42	woman's dress	tam.5 phaŋ.2
6.43	coat	an.2 thau.6
6.44	shirt	śe.5
6.45	collar	khjam.2
6.46	skirt	ńɨi.4
6.461	grass-skirt	mai.1
6.48	trousers	ʔja.2 ńom.4 phaŋ.2
6.49	stocking, sock	pha.2 pai.2
6.51	shoe	pha.2 pai.2
6.52	boot	kɨn.2
6.54	shoemaker, cobbler	si.3
6.55	hat, cap	si.3 ten.6
6.57	belt, girdle	ləŋ.5 si.3
6.58	glove	kɨn.2
6.59	veil	khwa.6
6.61	pocket	ma:t.8
6.62	button	ja:i.2
6.63	pin	ma:u.6
6.71	ornament, adornment	loŋ.2 khwa.6
6.72	jewel	ma:t.8 mɨŋ.2
6.73	ring (for finger)	kan.1 thu.2
6.74	bracelet	tai.6
6.75	necklace	kat.7
6.76	bead	kjok.7 mɨŋ.2
6.77	earring	khɔn.6
6.78	headband, headdress	wen.1 khou.2
6.79	tattoo	kan.1 thu.2
6.81	handkerchief, rag	khɨt.7 ʔda:ŋ.2
6.82	towel	kan.4 śou.1 kjən.3
6.91	comb	kan.1 sui.5 na.3
6.92	brush	an.2 wei.1
6.921	braid	wei.1
6.93	razor	śa:t.8
6.94	ointment	phan.3; tha:ŋ.2 ʔbeŋ.6
6.95	soap	mət.8 thai.6 thu.2
6.96	mirror	ka:n.3
7.11	dwell, live	kiŋ.5
7.12	house	ʔjou.6
7.13	hut	run.2
7.131	garden-house	pɨp.8
7.14	tent	run.2 i.5; run.2 eŋ.2
7.15	yard, court	śi.2 fa:ŋ.2
7.16	men's house	rɨk.8
