entry_id	trans_english	Trumai_Phonemic
12.12	put	(ha)-tsitsu
12.13	sit	ahaʔtsi
12.14	lie down	(ha) tsula
12.15	stand	ualala
12.16	remain, stay	kiuan
12.17	remains, left overs	tapša(-ake)
12.21	collect, gather	
12.212	pick up	
12.213	pile up	pukuru
12.22	join, unite	kotʔkan-e (haits)
12.23	separate	
12.232	divide	
12.24	open	(ha) analat̯-ka
12.25	shut, close	(haits pike xop) mahan
12.26	cover	mape mape
12.27	hide, conceal	(haits)-tsifan puma
12.31	high	atuk
12.32	low	kod-ke
12.33	top	taxmu-n
12.34	bottom	iia
12.35	end	
12.352	pointed	
12.353	edge	mala
12.36	side	aien
12.37	middle, center	
12.41	right (side)	kiʔta šɨ-k
12.42	left (side)	teponik
12.43	near (adv)	fuik; fuik-man
12.44	far (adv)	fuik-tak
12.45	east	atetla-lak-ta
12.46	west	atetɬa lak-mu-kuaš
12.47	north	kepek
12.48	south	lapo
12.53	grow	(ha) pɨt̯e
12.54	measure	
12.541	span, fathom	
12.55	large, big	daii
12.56	small, little	kod ~ kot; pat
12.57	long	atuk; atuk iii
12.58	tall	pɨx kain ha šɨ, pɨx iii
12.59	short	toxox (iii)
12.61	wide, broad	mata-e
12.62	narrow	ɨtkatla
12.63	thick (in dimension)	ɨrɨra, iie
12.65	thin (in dimension)	torek-ta
12.67	deep	
12.68	shallow	
12.71	flat	
12.73	straight	tsʔax (hit)
12.74	crooked	naša
12.75	hook	ɨuɨr olok
12.76	corner	
12.77	cross	
12.78	square	
12.81	round	tsiʔxumama ~ tsixoʔmama
12.82	circle	
12.83	sphere, ball	
12.84	line	
12.85	hole	ouou
12.92	like, similar	nauan
12.93	change	
13.0	zero, nothing	
13.1	one	mihin
13.2	two	uuš
13.3	three	uštaxme
13.4	four	uštaxme
13.5	five	nekatkelan
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	
13.15	much, many	paine; adɨ; pɨx
13.16	more	taš
13.17	little (quantity), few	
13.18	enough	iakadehen
13.181	some	adɨ iumane tak tenuk
13.19	multitude, crowd	
13.21	full	xol
13.22	empty	
13.23	part, piece	xot
13.24	half	
13.33	alone, only	
13.34	first	lapno
13.35	last	
13.36	second	
13.37	pair	
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	xodae (pike), xodae(-ake)
14.14	young	
14.15	old	tɨuai (pike), tɨuai-ake
14.16	early	
14.17	late	
14.18	now	
14.19	immediately	manlo, mlo
14.21	swift, fast, quick	
14.22	slow	kometani
14.23	hasten, hurry	
