entry_id	trans_english	Sanapaná_Dialect_Angaité_Phonemic
12.56	small, little	apkitsoi; apkitkitsoi
12.57	long	ahaoɬi; akwinaktima
12.58	tall	ahaoɬi; akwinaktima
12.59	short	anyakwatawoi
12.61	wide, broad	awanhi
12.62	narrow	anyima-awoi
12.63	thick (in dimension)	anyintiɬit
12.65	thin (in dimension)	anyimhoi
12.67	deep	atoni
12.68	shallow	mankatonak
12.71	flat	akpaihikamok
12.73	straight	ampiwawoi
12.74	crooked	aktakhima
12.75	hook	
12.76	corner	natakla
12.77	cross	yamit aktiniska
12.78	square	nimaa alanaia nikhawak
12.81	round	akyakyima
12.82	circle	mitki nikhawak
12.83	sphere, ball	akyakyima; [pelota]
12.84	line	
12.85	hole	maɬik
12.92	like, similar	anawoik mook
12.93	change	anyakmonkaski mook
13.0	zero, nothing	mitki kasik; ma
13.1	one	ɬima
13.2	two	apkanit; akanit
13.3	three	mitki amiɬma mook
13.4	four	amiɬmankoi mook
13.5	five	ɬima imik
13.6	six	antinyaa amiɬma; [seis]
13.7	seven	anyitniyi mitki amiɬma
13.8	eight	anyitnakhik nahan amiɬma
13.9	nine	
13.10	ten	apyokhoho imiyok
13.101	eleven	[onse]
13.102	twelve	[dose]
13.103	fifteen	[kinse]
13.104	twenty	[weinte]
13.105	hundred	[sien]
13.106	thousand	[mil]
13.107	count	apkilyitsitki
13.14	every, all	akyokhoho; akwankakhoho
13.15	much, many	anɬanyi
13.16	more	
13.17	little (quantity), few	ɬima-apaktoi; ɬima-aktoi
13.18	enough	akwanɬa
13.181	some	
13.19	multitude, crowd	
13.21	full	ampaksaski
13.22	empty	mitki
13.23	part, piece	atkitsoi nikha
13.24	half	nikha; nimpaɬkatki aisiksik
13.33	alone, only	ɬipkoi
13.34	first	apkimha apmanyi; amha amanyi
13.35	last	aɬayi; anɬiɬoi; aniɬa
13.36	second	apkinmaikamok
13.37	pair	
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	alipanki
14.14	young	aitkok
14.15	old	akwaniyam
14.16	early	atsosikhoi
14.17	late	taɬnakmoi
14.18	now	kiɬwoi nak
14.19	immediately	kiɬwoyi
14.21	swift, fast, quick	anyimoi
14.22	slow	ankamilankoi
14.23	hasten, hurry	apikhiski
14.24	retard, delay	anhaɬiɬkoi
14.25	begin, beginning	ampaiakha
14.252	last, endure	mitki aniɬa
14.26	end (temporal)	apmaskiyi
14.27	finish	apiniski; apsaohiɬkiyi
14.28	cease, stop	-maskiyi
14.29	ready	-piniski
14.31	always	akwankakhoho
14.32	often	mataa
14.33	sometimes	mook aknim
14.331	soon	kiɬwa
14.332	long-time (for a)	nanoi
14.34	never	(...)-i
14.35	again	anhan ~ nahan
14.41	day	aknim
14.42	night	piɬasip
14.43	dawn	atsaiɬma
14.44	morning	atsosikhoi
14.45	noon, midday	
14.451	afternoon	aktaɬnaam
14.46	evening	taɬnakmoi
14.47	today	aknim-anak
14.48	tomorrow	atsosikha
14.481	day-after-tomorrow	mook aknim hata
14.49	yesterday	aknim-aɬta
14.491	day-before-yesterday	mook aknim
14.51	hour	aknim
14.53	clock, timepiece	anani-aok aknim
14.61	week	mook [domiŋo]
14.62	Sunday	[domiŋo]
14.63	Monday	[lunes]
14.64	Tuesday	[martes]
14.65	Wednesday	[mi'erkoles]
14.66	Thursday	[hueves]
14.67	Friday	[wiernes]
14.68	Saturday	['sabado]
14.71	month	ɬima piɬtin
14.73	year	yantiɬkapa
14.74	winter	amaɬkawoi apyayam
14.75	spring	
14.76	summer	akmayahat
14.77	autumn	
14.78	season	(ninwamakhiɬa nak) (?)
15.21	smell (vb intrans)	antahapki
15.212	sniff	antakinkaski aɬwana
15.22	smell (vb trans)	antikhanki
15.25	fragrant, good smelling	atso aimis
15.26	stinking, bad smelling	anyatsik aimis
15.31	taste	anyipkonki
15.35	sweet	atsoho
15.36	salty	anyintiɬi yamayasik
15.37	bitter	askihi
15.38	acid, sour	askihi
15.39	brackish	
15.41	hear	apniŋayi
15.42	listen	aphaɬnawoi
15.44	sound, noise	naiwoma; naiwiyi
15.45	loud	amihi naiwoma
15.46	quiet, silence	anwanmaki
15.51	see	akwitayi
15.52	look, look at	apkilanawoi
15.55	show	(as)witaskiski; aptikmoski
15.56	shine	ankilyapopki
15.57	bright	
15.61	color	taɬimao
15.62	light (in color)	-mopaia
15.63	dark (in color)	-paisiyam
15.64	white	-mopaia
15.65	black	-paisiyam
15.66	red	akyiswasima
15.67	blue	akhanaktima
15.68	green	akhanaktima
15.69	yellow	akyitiktima
15.71	touch	akpaknimama; -pakninwakmi
15.712	pinch	akyinsipma
15.72	feel	(as)niyankoi
15.74	hard	amihi
15.75	soft	maɬa akyakhapomaa
15.76	rough	
15.77	smooth	ankaɬnawoi
15.78	sharp	ahantoho
15.79	blunt, dull	mitki ahantik
15.81	heavy	amopi
15.82	light (in weight)	ankilyiwa-awoi
15.83	wet, damp	anyinsimoi; alyinsimama
15.84	dry	anyima-awoi
15.85	hot	atihi; miɬniyi
15.851	warm	mankomiɬnawoho
15.86	cold	amaɬkawoi
15.87	clean	ankilyikwaayi; ankinmopawoi
15.88	dirty, soiled	ankiɬpaisakmoi
15.89	wrinkled	ankilasniyi
16.11	soul, spirit	[es'piritu]
16.15	surprised, astonished	
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	aliawoi akwaɬwok
16.25	laugh	ankaktimiyi
16.251	smile	
16.26	play	
16.27	love	apkamilakmi
16.29	kiss	antikhanki
16.3	embrace	apophitki; ampophitki mook
16.31	pain	askihi ayimpihik
16.32	grief, sorrow, sadness	mankoɬkak awaɬwok
16.33	anxiety, worry	awanhi alyikwiyam akwaɬwok
16.34	regret, be sorry	apyitnaak napaat
16.35	pity	apyitnaak napaat
16.37	cry, weep	akwiniyi
16.38	tear (noun)	aiminik aktik
16.39	groan	apkapintinki
16.41	hate	minyamilakmok
16.42	anger	aplawoki; aplaoki
16.44	envy, jealousy	apnathaiayi
16.45	shame (noun)	
16.48	proud	
16.51	dare	
16.52	brave	
16.53	fear, fright	apkak-ayi
16.54	danger	
16.62	desire, want	maak imok; (apkiɬtimo...)
16.622	choose	apkilyitsitki
16.63	hope	
16.65	faithful	antasik akwaɬwok
16.66	true	nakhoi
16.67	lie, tell lies	apmokwanko
16.68	deceit	anyiɬankiskama
16.69	forgive	takmiɬkasakhiyi
16.71	good	antasi
16.72	bad	asonkoi
16.73	right, correct	nakhoi
16.74	wrong	asonkoi
16.76	fault	
16.77	mistake, error	ankasonkaski
16.78	blame	
16.79	praise	
16.81	beautiful	antasi
16.82	ugly	asonkoi; asonkoyi
16.83	greedy	
16.84	clever	
17.11	mind	akwaɬwok
17.13	think (= reflect)	apɬinki akwaɬwok
17.14	think (= be of the opinion)	antahak -waɬwok
17.15	believe	apkimhanki
17.16	understand	apyasinkoi
17.17	know	apyasinkoi
17.171	guess	
17.172	imitate	
17.18	seem	maɬa nikhi
17.19	idea, notion	
17.21	wise	apyawoɬma
17.22	foolish, stupid	
17.23	insane, crazy	apyihama-aɬma
17.24	learn	-wanki
17.242	study	-kiɬkaski
17.25	teach	
17.26	pupil	awanki aktaɬiska
17.27	teacher	
17.28	school	
17.31	remember	ankolwok apninyik
17.32	forget	apkilwankakmi
17.34	clear, plain	
17.35	obscure	
17.36	secret	
17.37	sure, certain	
17.38	explain	apkiɬtinaski
17.41	intention, purpose	
17.42	cause	
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	ankaimiɬkiyi
17.46	easy	mankanyimok olana
17.47	difficult	mowawanak olana
17.48	try, attempt	-yipkonki
17.49	way, manner	aktimakha
17.51	and	anhan ~ nahan
17.52	because	
17.53	if	laa
17.54	or	aya...aya...
17.55	yes, affirmative	aha
17.56	no, negative	ama
17.61	how?	ikai aktaha
17.62	how many?	inkai akwaam
17.63	how much?	inkai akwaam
17.64	what?	inkai aktaha; sik...ki; siktoi
17.65	when?	inkai akwaam
17.66	where?	inkai
17.67	which?	
17.68	who?	sik inɬit ki
17.69	why?	siktimoi
18.11	voice	apaiwoma; akpaiwoma
18.12	sing	apkaikmaski
18.13	shout, cry out	akwinkiski
18.15	whisper	amalinwaski
18.16	mumble	
18.17	whistle	ampakmitki atoŋ; apmowiski
18.18	shriek, screech	
18.19	howl	akwinima
18.21	speak, talk	apkilaniao; ani[y]ao
18.211	stutter, stammer	
18.22	say	aptahak; antahak
18.221	tell story	apkiɬtinaski
18.222	speech (make a)	
18.23	silent (be)	akwanmaki
18.24	language	apaiwoma
18.26	word	apaiwoma
18.28	name	akwisaia
18.31	ask (question, inquire)	apkinmaɬnaki
18.32	answer	
18.33	admit, confess	
18.34	deny	
18.35	ask, request	apkanhima
18.36	promise	akpaiwoma akmiskama
18.37	refuse	
18.38	forbid	-mosmiyi
18.39	rebuke, scold	
18.41	call (=summon)	apkawayi
18.42	call (=name)	aptinyaski
18.43	announce	
18.44	threaten	
18.45	boast	
18.51	write	antaɬiski
18.52	read	
18.56	paper	wakahak
18.57	pen	aktakɬiska wakahak
18.61	book	wakahak
18.67	poet	
18.71	flute	
18.72	drum	
18.73	horn, trumpet	
18.74	rattle	
19.11	country	
19.12	one's native country	apkawakha; aplomakha
19.15	city, town	akyawakaɬma
19.16	village	akyawakaɬma; apkawakha
19.17	boundary	
19.21	people (populace)	inɬitaok
19.23	tribe, clan	ankaokasik
19.24	chief, chieftain	akwiski
19.25	staff, walking stick	yamit apmik
19.31	rule, govern	
19.32	king, ruler	akwiski
19.33	queen	awiski
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	akwiski
19.42	slave	
19.43	servant	apmaikamaha
19.44	freeman	
19.45	command, order	-kanaki
19.46	obey	
19.47	let, permit	apkiɬtimoi + ...
19.51	friend, companion	aɬiaɬma; imook
19.52	enemy	minyamilakmok pook
19.54	neighbor	-nimoɬima
19.55	stranger	
19.56	guest	(apyantimantik aɬankok)
19.57	host	
19.58	help, aid	akwanhanimaha
19.59	hinder, prevent	
19.61	custom	nintimakha
19.62	strife, quarrel	apyamonma pook
19.63	conspiracy, plot	
19.65	meet	aptanyawoi
19.72	prostitute	asonkoi akyaihikamaha
20.11	fight (vb)	apkinapikpiyi; apkinapomaap
20.13	war, battle	apkinapikpiɬa
20.14	peace	
20.15	army	
20.17	soldier	sopkilo
20.21	weapons, arms	
20.22	club	
20.222	battle-ax	
20.23	sling	aiwoma
20.24	bow	piɬpaɬ
20.25	arrow	yanka; yohon
20.26	spear	lahak
20.27	sword	lahak
20.28	gun, cannon	anmoama
20.31	armor (defensive)	
20.33	helmet	atkiska apkatik
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	sopkilo
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	
20.52	fishhook	niyaikamok kilasma
20.53	fishing line	
20.54	fishnet	
20.55	fish trap	kilasma yamit
20.56	bait	kilasma aktoma
20.61	hunt	apkiɬpakwakmi
20.62	shoot	apmoktayi
20.63	miss (target)	
20.64	trap (noun)	apkiɬanma
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	sopkilo apɬankok
21.42	murder	
21.43	adultery	aptiwaska aptawa
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	-minyiɬ
21.52	thief	-minyiɬma
22.11	religion	
22.12	God	Inyapoŋ nitin (~ nitiŋ)
22.13	temple, church	tupao
22.14	altar	[altar]; maɬa mitaimoŋ
22.15	sacrifice, offering	mitki akyanmoama
22.16	worship	-paiskasoho akwaɬwok
22.17	pray	-pakmitkaski
22.18	priest	[paʔi]
22.19	holy, sacred	
22.22	preach	
22.23	bless	apkamilakmoi
22.24	curse	ilyitnakpok napaktaa
22.26	fast (vb)	
22.31	heaven	Inyapoŋ nitiŋ apnakha
22.32	hell	mankosponiyakha taɬa
22.35	demon (evil spirit)	yikok
22.37	idol	[taaŋa]
22.42	magic, witchcraft, sorcery	apkamnima
22.43	sorcerer, witch	apyawoɬma; apyaoɬma
22.44	fairy, elf	
22.45	ghost, phantom	yikok
22.47	omen, portent	
