entry_id	trans_english	Chatino,_Zacatepec_Phonemic
7.18	meeting house	naʔã seʔẽ ndʸoʔ tiʔĩ
7.21	room	[kʷar'tu] niʔ ɲaʔã; lkaʔ naʔã
7.22	door, gate	tu-naʔã
7.221	doorpost, jamb	yka tu-naʔã
7.23	lock (noun)	čkʷã (nu nčkũʔ) tu-naʔã
7.231	latch, door-bolt	seʔẽ nu tʸihĩ yka ʔiã
7.24	key	yaʔ-
7.25	window	tu-naʔã ['wenta'nã]
7.26	floor	lʸū; lo yū
7.27	wall	siʔ naʔã
7.31	fireplace	tʸihi; tuʔ kīʔ
7.32	stove	
7.33	chimney	--
7.37	ladder	[s'le ra]
7.42	bed	kiʔʸã
7.421	pillow	teʔ ke kiʔʸã
7.422	blanket	teʔ kičā̃
7.43	chair	yka [šlʸa]
7.44	table	[msā]
7.45	lamp, torch	šā kitʸe
7.46	candle	ti-kiɲãʔ
7.47	shelf	kaʔ; lo kaʔ
7.48	trough	[ka'nuwa]
7.51	roof	ke naʔã
7.52	thatch	naʔã kī
7.53	ridgepole	yka ke naʔã
7.54	rafter	yka naʔã
7.55	beam	yka nnũ; ndunũ
7.56	post, pole	yka ndū̃
7.57	board	kaʔ
7.58	arch	kilʸa
7.61	mason	yu nu kʷiɲã naʔã
7.62	brick	tʸū nkēʔ
7.63	mortar	y-sī̃ tyoʔo
7.64	adobe	tʸū
8.11	farmer	nu nʔni tɲã niʔ kišĩʔ
8.12	field (for cultivation)	hʸã
8.13	garden	niʔ l-y-oʔō
8.15	cultivate, till	laʔa yū
8.16	fence	loʔō
8.17	ditch	sta
8.21	plow	laʔa yū
8.212	furrow	[čiku]
8.22	dig	kulu
8.23	spade	--
8.24	shovel	čkʷã pa'la
8.25	hoe	čkʷã ča; čkʷã ndlaʔa yū
8.26	fork	yka s-tãʔ
8.27	rake	--
8.31	sow	tukʷa kunẽ
8.311	seed	nguta ~ mta
8.32	mow, reap	kuʔni kʷa
8.33	sickle, scythe	--
8.34	thresh	suwi; hʷiʔĩ; sta
8.35	threshing-floor	yū seʔẽ hʷiʔĩ (nda)
8.41	crop, harvest	kʷa-; nã nu ka kʷa
8.42	grain (barley, oats etc)	nguti
8.43	wheat	nskʷaʔ ['trigu]
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	nskʷaʔ
8.48	rice	[rō]
8.51	grass	kī; kišĩʔ
8.52	hay	kišĩ; kī wtʸi
8.53	plant (noun)	kišĩʔ; yka šuwe
8.531	plant (vb)	kata
8.54	root	sū̃
8.55	branch	s-tãʔ yka
8.56	leaf	lkaʔ
8.57	flower	kē
8.6	tree	yka
8.61	oak	yka kala; yka yū; yka skʷaʔ; yka wčẽ
8.62	beech	--
8.63	birch	--
8.64	pine	yka kitʸē
8.65	fir	yka kitʸē
8.66	acorn	
8.67	vine	ti; lti
8.68	tobacco	lkaʔ kita
8.69	smoke (tobacco)	tikĩ kita
8.691	pipe	--
8.72	tree stump	siʔyā yka; sū̃ yka
8.73	tree trunk	siʔ yka
8.74	forked branch	s-tã̀ʔ yka
8.75	bark	ndahã yka
8.76	sap	stʸiʔ yka
8.81	palm tree	yka kiɲã
8.82	coconut	yka ngã; yka ngʷiʔʸa
8.83	citrus fruit	[li'mon] yka štiyeʔ
8.84	banana tree	yka huʔʷa
8.85	banyan	--
8.91	sweet potato	kū̃ ši
8.912	yam	kū̃ šɲã
8.92	tapioca, manioc, cassava	kū̃ yū
8.93	gourd	skaʔ; yka skaʔ
8.931	pumpkin, squash	kʸho; tʸoho
8.94	bamboo	yka kulā kutu
8.941	sugar cane	lihʸa
8.96	fish poison (root)	lti yan
8.97	nettle	
8.98	mushroom	kʷiyaʔ
9.11	do, make	kuʔni
9.12	work	kuʔni ...tɲã
9.14	bend	škĩ
9.15	fold	kʷaʔa ...niʔ
9.16	tie, bind	skãʔ
9.161	untie	štiʔ
9.18	chain	[kare 'nã]
9.19	rope, cord	[rta]
9.192	knot (noun)	tū̃
9.21	strike (hit, beat)	hʷiʔĩ; kiʔni
9.211	pound with fist	hʷiʔĩ ndukũʔ
9.22	cut	siʔʸu
9.221	cut down	šlʸū
9.222	chop, hew	tuwe; siʔʸu luwe
9.223	stab	kohoʔ
9.23	knife	[šlʸu]
9.24	scissors, shears	['šere]
9.25	ax	[ʔa'ča]
9.251	adze	--
9.26	break	kʷaʔa; kʷiča
9.261	broken	laʔa
9.27	split	kulo yuʔʷe; tʸoʔo yuʔʷe
9.28	tear	kusāʔ
9.29	flay, skin	kulo kihĩ-
9.31	rub, wipe	taʔã yaʔ-
9.32	stretch	kulo hɲi; kusī̃; šī̃
9.33	pull	hʷakī
9.34	spread out	hɲi štʸi; slā šī̃; wsnẽ
9.341	hang up	hi-tʸukʷi; tʸukʷi (kʷã)
9.342	press	sta
9.343	squeeze, wring	sta; kusī̃
9.35	pour	kʷaha; kalu
9.36	wash	hʸaʔã; katẽ
9.37	sweep	lkʷa
9.38	broom	kʷa
9.422	tool	yaʔ čkʷã
9.43	carpenter	kʷitʸi kaʔ
9.44	build	kʷiɲã
9.46	bore	kʷihʸu
9.461	hollow out	kulo laha ska nã
9.48	saw	čkʷã [si'yera]
9.49	hammer	čkʷã [marti'yu]
9.5	nail	['klawu]
9.56	glue	nã tihĩʔ
9.6	smith, blacksmith	kʷitʸi čkʷã
9.61	forge	msā kīʔ; kīʔ ndzuwiʔ
9.62	anvil	--
