entry_id	trans_english	Yaminahua_Phonemic
10.85	oar	βiti
10.851	paddle (noun)	βiti
10.852	row (vb)	toɨ-kĩ
10.86	rudder	čiβi-ti
10.87	mast	
10.88	sail (noun)	
10.89	anchor	ači-ma-ti
10.91	harbor, port	βai βototai
10.92	land (vb)	pakɨ-kĩ; ama iki-noaš ka-kĩ
11.11	have	-ya; a-ya
11.12	own, possess	iβo
11.13	take	c̷oma-kĩ; ači-kĩ
11.14	seize, grasp	ači-kĩ
11.15	hold	c̷oma-kĩ
11.16	get, obtain	βi-kĩ
11.17	keep, retain	βa-kĩ
11.18	thing	aβa-ra
11.21	give	inã-kĩ
11.22	give back	anã inã-kĩ
11.24	preserve, look after	kɨṣ̌ɨ-kĩ
11.25	save, rescue	iβi-kĩ; nɨṣ̌βi-kĩ
11.27	destroy	posa-kĩ
11.28	harm, injure, damage	čakana βa-kĩ
11.31	seek, look for	βɨ-na-kĩ
11.32	find	βiči-kĩ
11.33	lose	βɨno-kĩ
11.34	release, let go	ɨnɨ-kĩ
11.43	money	[kori]; [kori] pɨi
11.44	coin	[kori] ɨṣ̌ɨ
11.51	rich	aβa-ra-βo ičapa-ya
11.52	poor	aβa mais
11.53	beggar	yõka βãsa-βa-mis
11.54	avaricious, stingy	pic̷i; βĩškomĩc̷akĩ' yoaši-ki
11.61	lend	inã-kĩ
11.62	borrow	βĩayo-kĩ
11.63	owe	[nimi]-kĩ
11.64	debt	[nimi]-a
11.65	pay (vb)	kopi βa-kĩ
11.66	account, reckoning	tana-kĩ
11.69	tax, tribute	
11.77	hire	
11.78	wages	[kori] tana-ti
11.79	earn	[kori] [kanã]-kĩ
11.81	buy	βi-kĩ
11.82	sell	inã-kĩ; mini-kĩ
11.83	trade, barter	βɨc̷a anã-ka-kĩ
11.84	merchant	mini-mic̷a-mis
11.85	market (place)	[mĩrikanõ]
11.86	store, shop	[katinã]
11.87	price	aβɨ̃-kopi
11.88	dear (costly, expensive)	kopi kõi
11.89	cheap	kopi-ma
11.91	share (distribute)	βɨc̷akanã-kĩ; paṣ̌ka-kɨc̷a-kĩ
11.92	weigh	ɨβɨ tana-kĩ
12.1	after	čipo
12.11	behind	kačiori; čiβiri
12.2	beside	kɨtaṣ̌amɨ-kĩ
12.3	down, below	maikiri; nãmã
12.4	before	βɨ-sonã; βɨ-βotakĩ
12.41	front	rɨ̃kɨ
12.5	inside, in	okɨ-mɨ̃ra
12.6	outside	ɨmãiti
12.7	under	nãmã
12.8	up, above	βo-mã-kia; a mãnã-ori
12.11	place	ano
12.12	put	βa-kĩ
12.13	sit	c̷ao-kĩ
12.14	lie down	raka-kĩ; rata-kĩ
12.15	stand	taɨ ni-kĩ
12.16	remain, stay	nɨ̃tɨ-kĩ
12.17	remains, left overs	tɨṣ̌ɨ
12.21	collect, gather	topi-kĩ
12.212	pick up	βi-kĩ
12.213	pile up	mãči iki; mãči βa-kĩ
12.22	join, unite	iča-βa-kĩ
12.23	separate	paṣ̌ka-kĩ
12.232	divide	paṣ̌ka-kĩ; ato tii βa-kĩ
12.24	open	βɨpɨ-kĩ
12.25	shut, close	βɨpo-kĩ
12.26	cover	βɨpo-kĩ
12.27	hide, conceal	onɨ-kĩ
12.31	high	kɨya
12.32	low	nãmãš-tai
12.33	top	amãnão; kamaki
12.34	bottom	čiokomɨa
12.35	end	rɨβoki; rɨsoa
12.352	pointed	kɨno
12.353	edge	kɨša kamaki
12.36	side	takai
12.37	middle, center	naki; nɨ̃ṣ̌pakia
12.41	right (side)	kayakai ãori
12.42	left (side)	mĩškiori
12.43	near (adv)	čai-mašta
12.44	far (adv)	čai
12.45	east	ṣ̌ini oai ariri
12.46	west	ṣ̌ini kai ariri
12.47	north	
12.48	south	
12.53	grow	yosi-kĩ
12.54	measure	tanai-kĩ
12.541	span, fathom	
12.55	large, big	ɨβapa; -βa
12.56	small, little	pišta
12.57	long	čainipa
12.58	tall	kɨya
12.59	short	tiṣ̌o-pišta
12.61	wide, broad	aṣ̌βa; ãṣ̌βa-ta-βa; pɨta
12.62	narrow	ãc̷õ
12.63	thick (in dimension)	nami; nami ṣ̌ini
12.65	thin (in dimension)	βɨṣ̌ta; kaβa-šara
12.67	deep	noa; čaikõi okɨ-mɨ̃ra
12.68	shallow	čai-ma mɨc̷ama; noa-ma
12.71	flat	sapa
12.73	straight	mɨ̃stɨkõi
12.74	crooked	yõšto
12.75	hook	tɨtɨṣ̌-kɨrɨ-i-ti
12.76	corner	βai paṣ̌ka-kaina
12.77	cross	[koros]; iβi kõyaika
12.78	square	ṣ̌atɨ-sara
12.81	round	tokoro
12.82	circle	toroa
12.83	sphere, ball	tokoro; pirota
12.84	line	sĩo
12.85	hole	kini; ṣ̌oi; c̷ɨβɨ
12.92	like, similar	kɨskara
12.93	change	βɨc̷a-βa-kĩ
13.0	zero, nothing	aβa-ya-ma; aβa-ma
13.1	one	βisti
13.2	two	rãβɨ
13.3	three	[tiris]
13.4	four	[koatoro]
13.5	five	[sĩkko]
13.6	six	[sais]
13.7	seven	[siti]
13.8	eight	[očo]
13.9	nine	[nõβi]
13.10	ten	[niis]
13.101	eleven	[õsii]
13.102	twelve	[nosi]
13.103	fifteen	[kĩsi]
13.104	twenty	[miti]
13.105	hundred	[sitosii]; [sĩ]
13.106	thousand	[mĩri]
13.107	count	tana-kĩ
13.14	every, all	kɨyo-kõi
13.15	much, many	ičapa; kaya-kõi
13.16	more	anã βisti-ri
13.17	little (quantity), few	pišta; ičapa-ma
13.18	enough	
13.181	some	atiri
13.19	multitude, crowd	yora ičapa-kõi
13.21	full	βospia
13.22	empty	ṣ̌aka
13.23	part, piece	kaṣ̌kɨ-pišta
13.24	half	kaṣ̌kɨa
13.33	alone, only	a-rɨs; βisti
13.34	first	rɨ̃kɨ; taɨ βa-kĩ
13.35	last	rɨčoko-pišta
13.36	second	ãβɨ pɨβɨ-a
13.37	pair	[par]
13.38	two times	raβɨ βa-kĩ
13.42	third	raβɨ i-kai-no βisti
13.44	three times	raβɨ i-kai-no βisti βakĩ
14.11	time	
14.12	age	ṣ̌ini-ya
14.13	new	βɨna
14.14	young	pɨṣ̌ko; naɨtapa; naɨtaβa
14.15	old	ṣ̌ini
14.16	early	pɨna kaiyama
14.17	late	
14.18	now	iskaratĩa
14.19	immediately	iskaratĩa
14.21	swift, fast, quick	koši
14.22	slow	βɨnãmãšta
14.23	hasten, hurry	koši koši
14.24	retard, delay	samara-kai
14.25	begin, beginning	taɨ βa-kĩ
14.252	last, endure	mɨkɨšara-kĩ
14.26	end (temporal)	nãti
14.27	finish	mito-kĩ; kɨyo-kĩ
14.28	cease, stop	nišpa-kĩ; nɨsɨ-kĩ; ṣ̌atɨ-kĩ
14.29	ready	mã anaitia; mã itipinĩ
14.31	always	mɨ̃ṣ̌otaima
14.32	often	ičapa aki; kaya-kõi aki
14.33	sometimes	atii-βi a-ki-ma; ičapa a-ki-ma
14.331	soon	samama
14.332	long-time (for a)	aβa-tia-ma; βɨna a-ki-ma
14.34	never	a-mis-ma; -mis-ma
14.35	again	aβi-anã; anã
14.41	day	pɨna
14.42	night	βakiš; mã yamɨ-a
14.43	dawn	pɨnaino
14.44	morning	βakiš-pari
14.45	noon, midday	ṣ̌ini kɨya
14.451	afternoon	yãtapakɨ
14.46	evening	yamɨ-i; mã yamɨ-a
14.47	today	iskaratia
14.48	tomorrow	pɨna-ma
14.481	day-after-tomorrow	pɨna βɨc̷a
14.49	yesterday	i-βai-yamɨ-a
14.491	day-before-yesterday	pɨna-βɨc̷a ikita
14.51	hour	[ora]
14.53	clock, timepiece	ṣ̌ini tana-ti
14.61	week	[simãnã]
14.62	Sunday	pɨna tɨnɨ-ti; [tomĩko]
14.63	Monday	[ronĩs]
14.64	Tuesday	[mãratis]
14.65	Wednesday	[mĩrikoris]
14.66	Thursday	[βoimis]
14.67	Friday	[mirinĩs]
14.68	Saturday	[saβaro]
14.71	month	oṣ̌ɨ
14.73	year	ṣ̌ini-a
14.74	winter	mɨčakai
14.75	spring	
14.76	summer	ṣ̌ini-ai; nɨṣ̌ɨ too-aino
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	ṣ̌ɨtɨ-kĩ
15.212	sniff	ṣ̌ɨtɨ ṣ̌ɨtɨ a-ki
15.22	smell (vb trans)	ṣ̌ɨtɨ a-ki
15.25	fragrant, good smelling	nakas; inĩ
15.26	stinking, bad smelling	pisi-kĩ
15.31	taste	mɨɨ-kĩ
15.35	sweet	βata
15.36	salty	taši-ya
15.37	bitter	moka
15.38	acid, sour	kača
15.39	brackish	kac̷a-kĩ
15.41	hear	nika-kĩ
15.42	listen	nika-kĩ
15.44	sound, noise	pača
15.45	loud	pača-kõi
15.46	quiet, silence	too-ṣ̌iki-ma
15.51	see	õi-kĩ
15.52	look, look at	õi-kĩ
15.55	show	ispa-kĩ
15.56	shine	βaβɨ-kĩ
15.57	bright	βakkai βakkai sa-kĩ
15.61	color	
15.62	light (in color)	oṣ̌o
15.63	dark (in color)	βiso
15.64	white	oṣ̌o
15.65	black	βiso
15.66	red	õši
15.67	blue	nana
15.68	green	nana
15.69	yellow	čaṣ̌ta
15.71	touch	mɨ-kĩ
15.712	pinch	c̷omi-kĩ
15.72	feel	mɨɨ-kĩ
15.74	hard	kɨrɨṣ̌
15.75	soft	pači
15.76	rough	βɨṣ̌kɨ
15.77	smooth	yɨ̃βa
15.78	sharp	iškia
15.79	blunt, dull	mãta
15.81	heavy	ɨβɨ
15.82	light (in weight)	ṣ̌ãka
15.83	wet, damp	mɨča
15.84	dry	mɨto
15.85	hot	ṣ̌ana
15.851	warm	
15.86	cold	mac̷i
15.87	clean	čošta-ma
15.88	dirty, soiled	čošta
15.89	wrinkled	βačoa
16.11	soul, spirit	yõšĩ
16.15	surprised, astonished	inima-tan-i; ratɨ-tan-i
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	inima-kĩ
16.25	laugh	βic̷a-kĩ; õsa-kĩ
16.251	smile	βic̷a-kĩ
16.26	play	kaṣ̌ɨ-kĩ
16.27	love	βičipa-kĩ; noi-kĩ
16.29	kiss	c̷oo-a-kĩ
16.3	embrace	ĩko-kĩ
16.31	pain	paɨ
16.32	grief, sorrow, sadness	šinã-mic̷a-kĩ
16.33	anxiety, worry	šinã-čaka-kĩ
16.34	regret, be sorry	
16.35	pity	noi-kĩ; hoi mɨɨ-kõi-ki
16.37	cry, weep	õia-kĩ; ɨa-kĩ
16.38	tear (noun)	βɨ̃-o
16.39	groan	nõroi-kĩ
16.41	hate	mɨɨpai-kĩ; rɨtɨpai-kĩ
16.42	anger	õiti βiški-kĩ
16.44	envy, jealousy	βãši
16.45	shame (noun)	rãβi-kĩ
16.48	proud	kaka-pai-mis
16.51	dare	
16.52	brave	aβa šinã-misma; aβa mɨsɨ-misma
16.53	fear, fright	mɨsɨ-kĩ; ratɨ-kĩ
16.54	danger	mɨsɨ-ni sa-kĩ
16.62	desire, want	βičipai-kĩ
16.622	choose	kãto-kĩ
16.63	hope	
16.65	faithful	mɨ̃stɨ-kõi; kaya-kai-kõi
16.66	true	čanĩ-ma; čanĩ-ma-kõi
16.67	lie, tell lies	čanĩ-kĩ
16.68	deceit	pãra-kĩ
16.69	forgive	raɨβa-kĩ
16.71	good	šara
16.72	bad	čaka
16.73	right, correct	nãskara
16.74	wrong	askara-ma
16.76	fault	
16.77	mistake, error	yõši βa-kĩ
16.78	blame	kɨ̃ɨtapa-kĩ; yõa-kĩ; čaka-na βa-kĩ
16.79	praise	a-kiki yoi-šara-kõi
16.81	beautiful	šara-pišta
16.82	ugly	yõši
16.83	greedy	iča iča βa-pai
16.84	clever	mapo šara-ya-kõi
17.11	mind	õiti-nĩ šinãi
17.13	think (= reflect)	šinã-kĩ
17.14	think (= be of the opinion)	šinã-kĩ
17.15	believe	čanĩ-ma yoi-kĩ; čanĩ-ma-ra βaki
17.16	understand	nika-kĩ
17.17	know	tãpi-kĩ
17.171	guess	-ra
17.172	imitate	tɨnã-kĩ
17.18	seem	aa kɨskara
17.19	idea, notion	šinã-ya
17.21	wise	tapi βai ika
17.22	foolish, stupid	tati-ma
17.23	insane, crazy	βɨkaṣ̌tɨ-mis
17.24	learn	tãpi-kĩ
17.242	study	kirika tapi-kĩ
17.25	teach	tãpi-ma-kĩ
17.26	pupil	
17.27	teacher	[mãistoro]
17.28	school	[iskoira] i-ti
17.31	remember	šinã-ma-ni; šinã-ta-ni
17.32	forget	šinã-ma-kia
17.34	clear, plain	ṣ̌aβa-kõi
17.35	obscure	ṣ̌aβa-ma; βɨkaṣ̌-kõi
17.36	secret	tapi-yama-nõ
17.37	sure, certain	čanĩ-ma yoi-kĩ
17.38	explain	tapi-ma-kĩ
17.41	intention, purpose	
17.42	cause	-ma; -man
17.43	doubt	-ma-raki-kia
17.44	suspect	akiki pata-kĩ
17.441	betray	
17.45	need, necessity	yopa-kĩ
17.46	easy	atipinĩ
17.47	difficult	βɨkaṣ̌
17.48	try, attempt	mɨ-kĩ
17.49	way, manner	βɨro-ma; βɨro-mama
17.51	and	-nõ; yaβi
17.52	because	mãi
17.53	if	-βia
17.54	or	
17.55	yes, affirmative	ɨ̃hɨ̃; ia
17.56	no, negative	ma; -ma
17.61	how?	aβɨska...-mɨ̃
17.62	how many?	aβɨtii...-mɨ̃
17.63	how much?	aβɨtii...-mɨ̃
17.64	what?	aβaa...-mɨ̃
17.65	when?	aβɨtĩa...-mɨ̃
17.66	where?	βaki...-mɨ̃
17.67	which?	βato...-mɨ̃
17.68	who?	c̷oa...-mɨ̃
17.69	why?	aβɨskai...-mɨ̃
18.11	voice	oi
18.12	sing	βanãi-kĩ
18.13	shout, cry out	kɨna-kĩ; βɨɨ iki; βiisi iki
18.15	whisper	βaṣ̌aṣ̌a mɨka-kĩ
18.16	mumble	ačikka ačikka iki
18.17	whistle	sɨso-kĩ; βĩiš iki
18.18	shriek, screech	βiisi iki; taai iki
18.19	howl	oo iki
18.21	speak, talk	mɨka-kĩ
18.211	stutter, stammer	ačikka ačikka iki
18.22	say	yoi-kĩ
18.221	tell story	yoi-kĩ
18.222	speech (make a)	
18.23	silent (be)	tooṣ̌iki-ma; βama-kĩ; oino-ma
18.24	language	mɨka
18.26	word	mɨka
18.28	name	anɨ
18.31	ask (question, inquire)	yõka-kĩ
18.32	answer	kɨma-kĩ
18.33	admit, confess	
18.34	deny	
18.35	ask, request	yõka-kĩ; kĩβi-kĩ
18.36	promise	
18.37	refuse	
18.38	forbid	-timaβa-
18.39	rebuke, scold	βɨratɨ-kĩ
18.41	call (=summon)	kɨna-kĩ
18.42	call (=name)	anɨ βa-kĩ
18.43	announce	čani-kĩ
18.44	threaten	čaka-βa-kĩ mɨka βa-kĩ
18.45	boast	kaka-kĩ
18.51	write	kɨnɨ-kĩ
18.52	read	anɨ-kĩ
18.56	paper	kirika
18.57	pen	[rapisiro]
18.61	book	kirika
18.67	poet	
18.71	flute	ṣ̌ãi-ti
18.72	drum	[tãpori]
18.73	horn, trumpet	põo iti
18.74	rattle	sakka sakka iti
19.11	country	mai
19.12	one's native country	
19.15	city, town	yora mani nii; [siona]
19.16	village	nɨ̃tɨ
19.17	boundary	nono sɨnɨ no
19.21	people (populace)	yora
19.23	tribe, clan	kai-βo; yora
19.24	chief, chieftain	ṣ̌anĩ-βo
19.25	staff, walking stick	ṣ̌ɨβa-ti
19.31	rule, govern	ṣ̌anĩβo-kĩ
19.32	king, ruler	ṣ̌anĩ-βo-kõi
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	nɨ̃tɨ i-mis
19.41	master	iβo
19.42	slave	
19.43	servant	yono-ṣ̌o-mis
19.44	freeman	
19.45	command, order	nĩči-kĩ; yono-ma-kĩ
19.46	obey	nika-kĩ
19.47	let, permit	kama-kĩ
19.51	friend, companion	yama; raβi
19.52	enemy	raβi βamis
19.54	neighbor	čitimãnã ika
19.55	stranger	yora õi-mis-ma
19.56	guest	nokoma-mis; ãβɨ noko-mis
19.57	host	a ano noko-mis
19.58	help, aid	aṣ̌o-kĩ
19.59	hinder, prevent	ṣ̌ĩti-kĩ
19.61	custom	nãska-mis; aska-mis
19.62	strife, quarrel	βɨratɨ-nã-kĩ; βɨratɨ-nã-kan-i
19.63	conspiracy, plot	itipinĩ-kĩ
19.65	meet	noko-nõnã-nõ; ičanã-nõ
19.72	prostitute	rara ãβasa-mis; čota βɨro-ma
20.11	fight (vb)	mɨ̃nã-kĩ; sɨtɨnã-kĩ
20.13	war, battle	rɨtɨ-nã-kĩ
20.14	peace	tanaima
20.15	army	[soraro]-mis-βo
20.17	soldier	[soraro]
20.21	weapons, arms	aya kɨṣ̌ɨ-mis; aya rɨtɨ-mã-mis
20.22	club	βino
20.222	battle-ax	βiro taṣ̌o
20.23	sling	βiško βiško aṣ̌õ pota-ti
20.24	bow	kati
20.25	arrow	pia
20.26	spear	aši
20.27	sword	somõ
20.28	gun, cannon	[mara]; [kayõ]
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	[kanã]; paɨni-kõi
20.42	defeat	βinani-ma
20.43	attack	
20.44	defend	raɨ βa-kĩ
20.45	retreat	tɨɨ iki
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	[koarania]
20.48	booty, spoils	
20.49	ambush	čɨtɨnã-kĩ
20.51	fisherman	[taraβa]-nã βi-mis-βo
20.52	fishhook	mĩški-ma-ti-kõi
20.53	fishing line	[nãirõ]
20.54	fishnet	[taraβa]; [rini]
20.55	fish trap	βoɨ βɨta-ti
20.56	bait	
20.61	hunt	mɨ̃pɨnã-kĩ
20.62	shoot	too aki
20.63	miss (target)	mac̷ɨ-kĩ; kanɨ-kĩ
20.64	trap (noun)	[tarapa]
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	yõa-kĩ
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	omis-kõi-ma-kĩ
21.38	fine	
21.39	prison, jail	[karaṣ̌a]
21.42	murder	rɨtɨ-kĩ
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	yomɨc̷o-kĩ
21.52	thief	yomɨc̷o
22.11	religion	
22.12	God	[nios]
22.13	temple, church	[nios] pɨšɨ; [nios] yoi-ti pɨṣ̌ɨ
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	[nios] kĩβi-kĩ
22.18	priest	
22.19	holy, sacred	
22.22	preach	tapi-ma-kĩ
22.23	bless	
22.24	curse	yama βa-kĩ; yoi mɨc̷a-ma
22.26	fast (vb)	samakɨmɨ-kĩ
22.31	heaven	nai mɨ̃ra
22.32	hell	čii mɨ̃ra
22.35	demon (evil spirit)	niaβaka
22.37	idol	
22.42	magic, witchcraft, sorcery	yõβɨ-kõi
22.43	sorcerer, witch	yõβɨ
22.44	fairy, elf	
22.45	ghost, phantom	nia βaka
22.47	omen, portent	
