entry_id	trans_english	Mansi_Phonemic
8.45	rye	nos nʸanʸ kolas
8.46	oats	luw kolas
8.47	maize, corn	- -
8.48	rice	- -
8.51	grass	pum; wansɨ
8.52	hay	saɣr̃ʸim pum
8.53	plant (noun)	pum
8.531	plant (vb)	unttaŋkwʸe
8.54	root	tar̃
8.55	branch	tow ~ taɣ
8.56	leaf	lupta
8.57	flower	xor̃amɨŋ lupta
8.6	tree	yiw
8.61	oak	- -
8.62	beech	- -
8.63	birch	xalʸ
8.64	pine	tar̃ɨɣ
8.65	fir	xowt
8.66	acorn	- -
8.67	vine	- -
8.68	tobacco	sar̃
8.69	smoke (tobacco)	sar̃ xar̃tuŋkwʸe; xoxsa xar̃tuŋkwʸe
8.691	pipe	tur̃pka; yiw xoxsa
8.72	tree stump	yiw aŋkwal
8.73	tree trunk	yiw taɣatetal
8.74	forked branch	towaŋ taɣ
8.75	bark	yiw kʸer̃
8.76	sap	atɨŋ wʸit
8.81	palm tree	- -
8.82	coconut	- -
8.83	citrus fruit	- -
8.84	banana tree	- -
8.85	banyan	- -
8.91	sweet potato	- -
8.912	yam	- -
8.92	tapioca, manioc, cassava	- -
8.93	gourd	- -
8.931	pumpkin, squash	- -
8.94	bamboo	- -
8.941	sugar cane	- -
8.96	fish poison (root)	- -
8.97	nettle	xusxatne ponal
8.98	mushroom	laxɨs
9.11	do, make	war̃uŋkwʸe
9.12	work	r̃upitaŋkwʸe
9.14	bend	xutaltaŋkwʸe
9.15	fold	akw kann pʸintlantaŋkwʸe
9.16	tie, bind	akwan neɣuŋkwʸe
9.161	untie	losɨtaŋkwʸe
9.18	chain	ker̃kwalɨɣ
9.19	rope, cord	kwalɨɣ
9.192	knot (noun)	moxlɨl
9.21	strike (hit, beat)	yunɨɣtaŋkwʸe; r̃atuŋkwʸe
9.211	pound with fist	sʸaxnɨl yunɨɣtaŋkwʸe
9.22	cut	yaktuŋkwʸe; saɣr̃uŋkwʸe
9.221	cut down	xot yaktuŋkwʸe
9.222	chop, hew	saɣr̃uŋkwʸe
9.223	stab	tar̃a tusʸtaŋkwʸe; tar̃a puwtuŋkwʸe
9.23	knife	kasay
9.24	scissors, shears	kitelmʸip kasay
9.25	ax	saɣr̃ap
9.251	adze	- -
9.26	break	sakwataŋkwʸe
9.261	broken	sakwalup
9.27	split	puwtuŋkwʸe; saɣr̃uŋkwʸe; xaluŋkwʸe
9.28	tear	manɨɣtaŋkwʸe; manɣasʸlaŋkwʸe
9.29	flay, skin	xot nuyɣalaŋkwʸe
9.31	rub, wipe	sar̃tlaŋkwʸe
9.32	stretch	lakkwa xar̃tuŋkwʸe
9.33	pull	xar̃tuŋkwʸe
9.34	spread out	lepuŋkwʸe; par̃ŋaltaŋkwʸe; lakkwa nor̃tantaŋkwʸe
9.341	hang up	taɣataŋkwʸe; taɣtalaŋkwʸe
9.342	press	taŋar̃taŋkwʸe; pasʸir̃taŋkwʸe
9.343	squeeze, wring	akwan pasʸir̃talɨɣlaŋkwʸe
9.35	pour	sosuŋkwʸe; nʸor̃ɨɣtaŋkwʸe
9.36	wash	lowtuŋkwʸe; seɣuŋkwʸe
9.37	sweep	xosɣuŋkwʸe
9.38	broom	xossup; kur̃asʸ
9.422	tool	por̃mas
9.43	carpenter	kol unttan xotpa
9.44	build	unttuŋkwʸe
9.46	bore	pasɣuŋkwʸe
9.461	hollow out	tar̃a puwtuŋkwʸe
9.48	saw	yiw sar̃tne kʸer̃
9.49	hammer	yanɨɣ kʸer̃sʸak
9.5	nail	kʸer̃solʸ
9.56	glue	elʸum
9.6	smith, blacksmith	kʸer̃ r̃atne xotpa
9.61	forge	kʸer̃ r̃atuŋkwʸe
9.62	anvil	kʸer̃ r̃atne poŋxʸi
9.63	cast (metals)	kʸer̃ sosuŋkwʸe
9.64	gold	sor̃ni
9.65	silver	sʸalɨɣ oln
9.66	copper, bronze	ar̃ɣin
9.67	iron	kʸer̃
9.68	lead (noun)	axwtas
9.69	tin, tinplate	anax; wowta kʸer̃
9.71	potter	put-anɨ war̃ne xotpa
9.72	mold (clay etc)	posʸɣuŋkwʸe
9.73	clay	r̃akta
9.74	glass	kumɨska
9.75	weave, plait	saɣuŋkwʸe
9.76	basket	xunt; xasap
9.77	mat	lapʸi
9.771	rug	- -
9.78	netbag	xulp
9.79	fan (noun)	- -
9.791	fan (vb)	wotuŋkwʸe; wotlaliɣlaŋkwʸe
9.81	carve	posʸɣuŋkwʸe
9.82	sculptor	posʸɣane xum
9.83	statue	- -
9.84	chisel	tolat
9.88	paint (noun)	olʸp
9.89	paint (vb)	kellaŋkwʸe; olʸpɨl sar̃tuŋkwʸe
10.11	move	lakwtuŋkwʸe
10.12	turn over	mot nupɨl yoŋxɨɣtɨɣlaluŋkwʸe
10.13	turn around	yoŋxɨɣlaluŋkwʸe; pʸer̃ʸiɣtaŋkwʸe
10.14	wind, wrap	pʸer̃ʸiɣtaŋkwʸe; manʸiɣtaŋkwʸe
10.15	roll	lar̃ɣaltaŋkwʸe
10.16	drop (vb)	yol pattaŋkwʸe
10.17	twist	yoxtaŋkwʸe
10.21	rise	nox-lʸulʸuŋkwʸe, nox-kwaluŋkwʸe
10.22	raise, lift	nox almaŋkwʸe
10.23	fall	yol patuŋkwʸe
10.24	drip	pasɣuŋkwʸe; owuŋkwʸe
10.25	throw	wosʸkasaŋkwʸe
10.252	catch (ball)	puwuŋkwʸe
10.26	shake	tor̃ɣaltaŋkwʸe; par̃ɣaŋkwʸe
10.32	flow	owuŋkwʸe
10.33	sink	witn patuŋkwʸe
10.34	float	uyɣalaŋkwʸe
10.35	swim	uyɣalaŋkwʸe
10.351	dive	mur̃muŋkwʸe; witn waɣluŋkwʸe
10.352	splash	r̃awtxatuŋkwʸe
10.36	sail (vb)	usuŋkwʸe; usɨɣlaŋkwʸe
10.37	fly (vb)	tɨlamlaŋkwʸe
10.38	blow	wotuŋkwʸe; puwluŋkwʸe
10.41	creep, crawl	waŋksaŋkwʸe; nʸor̃saŋkwʸe
10.412	kneel	sans talʸixta lʸulʸuŋkwʸe
10.413	crouch	yola xutɨɣlaŋkwʸe
10.42	slide, slip	- -
10.43	jump, leap	por̃ɨɣmaŋkwʸe
10.431	kick	saŋxwatuŋkwʸe
10.44	dance	yikuŋkwʸe
10.45	walk	yiŋkwʸe; minuŋkwʸe; yalasaŋkwʸe
10.451	limp	noxuŋkwʸe
10.46	run	xaytuŋkwʸe; xaytɨɣtaŋkwʸe
