entry_id	trans_english	Armenian,_Eastern_Phonemic
5.97	egg	d͜zu
5.971	egg yolk	deɣnuc̷ʰ
6.11	put on (clothes)	hagnel
6.12	clothing, clothes	hagustˀeɣen, hagustˀ
6.13	tailor	derd͜zakˀ
6.21	cloth	gorc̷ˀ[ə]vac̷ˀkʰ, kˀ[ə]tˀor
6.22	wool	burd
6.23	linen, flax	kˀ[ə]tˀav, vuš
6.24	cotton	bampˀakˀ
6.25	silk	metˀakʰs
6.27	felt	tʰaɣikʰ
6.28	fur	mortʰi, muštˀakˀ
6.29	leather	kˀaši
6.31	spin	manel
6.32	spindle	il, ilikˀ
6.33	weave	(kˀ[ə]tˀav) gorc̷ˀel, hyusel
6.34	loom	ǰulhakˀi hastˀoc̷ʰ
6.35	sew	kˀarel
6.36	needle	aseɣ
6.37	awl	heryun, pˀiz
6.38	thread	derd͜zan, tʰel
6.39	dye	nerkˀ
6.41	cloak	tʰikˀnoc̷ʰ
6.411	poncho	usnoc̷ʰ
6.42	woman's dress	zgestˀ, hagustˀ
6.43	coat	verarkˀu
6.44	shirt	šapˀikˀ
6.45	collar	od͜zikʰ
6.46	skirt	pʰeš, š[ə]rǰazgestˀ
6.461	grass-skirt	--
6.48	trousers	tˀabatˀ, andravartˀikʰ
6.49	stocking, sock	gulpˀa
6.51	shoe	kˀošikˀ, votˀnaman
6.52	boot	yerkˀaračˀitˀkʰ kˀošikˀ, muykˀ
6.54	shoemaker, cobbler	kˀoškˀakˀar
6.55	hat, cap	g[ə]lxarkˀ
6.57	belt, girdle	gotˀi
6.58	glove	d͜zer̃noc̷ʰ
6.59	veil	kʰoɣ, š[ə]ɣarš
6.61	pocket	g[ə]rpˀan
6.62	button	kˀočˀakˀ
6.63	pin	g[ə]ndaseɣ
6.71	ornament, adornment	zard, pˀ[ə]čˀnankʰ
6.72	jewel	gohar
6.73	ring (for finger)	matˀani
6.74	bracelet	apˀaranǰan
6.75	necklace	v[ə]znoc̷ʰ
6.76	bead	ulunkʰ
6.77	earring	akˀanǰoɣ
6.78	headband, headdress	varsakˀapˀ, c̷ˀamakˀal
6.79	tattoo	vitˀum, vetˀkʰ
6.81	handkerchief, rag	tʰaškˀinakˀ, latʰ, kʰurǰ
6.82	towel	s[ə]rbičʰ, yeress[ə]rbičʰ
6.91	comb	san[ə]r
6.92	brush	xozanakˀ
6.921	braid	(c̷ˀamerə, mazerə) hyusel
6.93	razor	ac̷ˀeli
6.94	ointment	kʰ[ə]sukʰ
6.95	soap	očˀar̃
6.96	mirror	hayeli
7.11	dwell, live	b[ə]nakˀvel, apˀrel
7.12	house	tˀun
7.13	hut	x[ə]rčˀitʰ, hyuɣ(akˀ)
7.131	garden-house	tˀaɣavar
7.14	tent	v[ə]ran
7.15	yard, court	bakˀ
7.16	men's house	--
7.17	cookhouse	xohanoc̷ʰ
7.18	meeting house	havakʰatˀun
7.21	room	senyakˀ
7.22	door, gate	dur̃, darpˀas
7.221	doorpost, jamb	d[ə]ran kˀoɣapʰaytˀ
7.23	lock (noun)	kˀoɣpˀekʰ, pʰakˀankʰ
7.231	latch, door-bolt	soɣnakˀ, pʰakˀan
7.24	key	banali
7.25	window	pˀatˀuhan
7.26	floor	hatˀakˀ
7.27	wall	pˀatˀ
7.31	fireplace	kˀrakˀaran, oǰax, buxari
7.32	stove	pʰur̃, varar̃an
7.33	chimney	c̷ˀ[ə]xneluyz, buxari
7.37	ladder	sanduɣkʰ
7.42	bed	ankˀoɣin, mahčˀakˀal
7.421	pillow	bard͜z
7.422	blanket	c̷ˀac̷ˀkˀoc̷ʰ, vermakˀ
7.43	chair	atʰor̃
7.44	table	seɣan
7.45	lamp, torch	lampˀ, lapˀtˀer, čˀ[ə]rag
7.46	candle	mom
7.47	shelf	darakˀ, g[ə]radarakˀ
7.48	trough	tˀaštˀ
7.51	roof	kˀ[ə]tˀur
7.52	thatch	hardac̷ˀac̷ˀkˀ kˀ[ə]tˀur
7.53	ridgepole	--
7.54	rafter	c̷ˀ[ə]pˀeɣ, mardakˀ
7.55	beam	geran
7.56	post, pole	d͜zoɣ
7.57	board	tˀaxtˀakˀ
7.58	arch	kˀamar
7.61	mason	vormnadir
7.62	brick	aɣyus
7.63	mortar	šaɣax, kˀ[ə]rašaɣax
7.64	adobe	hum aɣyus
8.11	farmer	agarakˀatˀer
8.12	field (for cultivation)	daštˀ
8.13	garden	pˀartˀez, aygi
