entry_id	trans_english	Sanchong_Kelao_Phonemic
8.85	banyan	ʒe.13 (ʔuŋ.35)
8.91	sweet potato	ɣua.42 (wa.42)
8.912	yam	hue.13 ʔa.42 maŋ.42
8.92	tapioca, manioc, cassava	khui.35
8.93	gourd	ʒau.31
8.931	pumpkin, squash	ʒe.13
8.94	bamboo	tjo.13
8.941	sugar cane	ljo.13 ʔuŋ.35 łjuŋ.42
8.96	fish poison (root)	pjau.35 ćhi.42
8.97	nettle	łjaŋ.35 to.42 lo.42 ʔuŋ.35 (ŋ.35)
8.98	mushroom	ha.35 ʔuŋ.35
9.11	do, make	śy.13
9.12	work	ho.13
9.14	bend	ʔʒi.42
9.15	fold	pji.35 khuŋ.35
9.16	tie, bind	khu.31 ći.42
9.161	untie	ljau.31
9.18	chain	zo.13
9.19	rope, cord	nji.31
9.192	knot (noun)	hye.31 hən.42
9.21	strike (hit, beat)	suai.42
9.211	pound with fist	ʒəu.42
9.22	cut	pe.42 ʔe.42 hye.42
9.221	cut down	pe.42 ʔe.42 ʔʒi.42
9.222	chop, hew	pa.42 lƛu.31 hye.35
9.223	stab	ntjau.13 ʒəu.42
9.23	knife	sI.13
9.24	scissors, shears	luŋ.31
9.25	ax	tau.13 ncən.31 (dzen.31)
9.251	adze	ma.31 qha.42
9.26	break	ʒe.31 tau.42
9.261	broken	khe.13 hui.31
9.27	split	tau.42 thjo.35
9.28	tear	ʒe.31 kaŋ.13
9.29	flay, skin	thjuŋ.13
9.31	rub, wipe	chI.35
9.32	stretch	thai.31
9.33	pull	mpai.13
9.34	spread out	to.35 kho.13 ʔlau.13 ha.13
9.341	hang up	ća.13
9.342	press	pu.35
9.343	squeeze, wring	mpai.31
9.35	pour	hui.42 luŋ.31
9.36	wash	chI.35 ʒu.42
9.37	sweep	hui.42 hən.42
9.38	broom	nhe.35 (ńəu.42)
9.422	tool	chəu.42
9.43	carpenter	to.35 hən.42; to.35 hən.42 łjuŋ.42
9.44	build	to.35 hən.42 tja.42
9.46	bore	ma.42 tji.42
9.461	hollow out	che.35
9.48	saw	ʔa.42 va.13 lei.31
9.49	hammer	pha.35 cI.42
9.5	nail	ʔa.42
9.56	glue	mje.42; chi.35
9.6	smith, blacksmith	ńaŋ.13 ćhi.42
9.61	forge	ɣe.42
9.62	anvil	ɣi.13
9.63	cast (metals)	paŋ.13
9.64	gold	sI.55 naŋ.42
9.65	silver	ni.35
9.66	copper, bronze	cha.13
9.67	iron	cau.13 kuan.42
9.68	lead (noun)	ćiəu.13
9.69	tin, tinplate	kho.35
9.71	potter	kho.35 łai.13
9.72	mold (clay etc)	me.13 (pa.42 łja.13)
9.73	clay	me.13 paŋ.13
9.74	glass	ma.31 me.13 tjo.42
9.75	weave, plait	ɣa.31 ni.35 ʒəu.42
9.76	basket	ŋo.13 zai.31
9.77	mat	ʔa.42 hau.31 cI.42
9.771	rug	ʔa.42 ŋo.13 zai.31
9.78	netbag	səu.42
9.79	fan (noun)	pu.55 njau.42
9.791	fan (vb)	ʔa.42 ʔai.42 haŋ.42
9.81	carve	ncai.31 thjuŋ.13 ʒəu.42
9.82	sculptor	ncai.31 thuŋ.13 luŋ.31; ncai.31 ljŋ.31 lji.35
9.83	statue	cha.42
9.84	chisel	cha.35 ko.13 zai.31
9.88	paint (noun)	chI.35 ko.13 zai.31
9.89	paint (vb)	ne.13
10.11	move	ku.13
10.12	turn over	ko.13 zai.13
10.13	turn around	me.13 ko.13 zai.31
10.14	wind, wrap	chən.42
10.15	roll	hue.42
10.16	drop (vb)	chən.35 hue.35
10.17	twist	le.31 ʒe.35 śy.13
10.21	rise	ći.31 sI.13
10.22	raise, lift	ʔa.42 saŋ.33 tjan.13
10.23	fall	ljəu.42
10.24	drip	nto.42 haŋ.42
10.25	throw	sau.42
10.252	catch (ball)	ŋkaŋ.13
10.26	shake	pa.42 lin.31
10.32	flow	pa.42 lin.31
10.33	sink	ʒe.31 tau.42
10.34	float	pa.42 ləu.31
10.35	swim	ko.13 pa.42 khuai.42
10.351	dive	ko.13 ʔa.42 ŋkuai.42
10.352	splash	ko.13 lo.42 pja.42
10.36	sail (vb)	ko.13 pa.42 ləu.31
10.37	fly (vb)	ko.13 pe.42 ʔe.42
10.38	blow	pa.42 ljuŋ.42
10.41	creep, crawl	ɣa.31
10.412	kneel	śuai.13
10.413	crouch	ŋe.13
10.42	slide, slip	zau.31
10.43	jump, leap	ko.13; ʔaŋ.42
10.431	kick	ŋhau.42
10.44	dance	zai.31
10.45	walk	ʔe.35 ćhi.42
10.451	limp	mpai.31 ćhi.42
10.46	run	cai.42
10.47	go	təu.13 ʒe.31 kaŋ.13
10.471	go up	sau.42 maŋ.42
10.472	climb	sau.42
10.473	go down	ha.42
10.474	go out	ʔle.42 ćhi.42 pa.42 śəu.42
10.48	come	thjaŋ.42 (ŋhau.42); pi.13 (pa.42 mpai.13)
10.481	come back	ʔla.13 (pa.42 śəu.42)
10.49	go away, depart	thjaŋ.42
10.491	disappear	ʔe.35 ćhi.42
10.51	flee	ɣua.42
10.52	follow	śəu.35
10.53	pursue	lau.42 ha.13
10.55	reach, arrive	śəu.35
10.56	approach	ha.13 tin.42 tin.42
10.57	enter	hau.42
10.61	carry (bear)	ʔa.42 ɣo.13
10.612	carry-in-hand	ɣai.13
10.613	carry-on-shoulder	lau.42 təu.13
10.614	carry-on-head	ko.13 lau.42 təu.13
10.615	carry-underarm	pa.42 ŋkəu.13 (ŋəu.13)
10.62	bring	pa.42 mha.42
10.63	send	ʔaŋ.42 ljəu.42; ʔaŋ.42 lje.31
10.64	lead (vb)	tu.35
10.65	drive	mpai.31
10.66	ride	hi.31
10.67	push, shove	łjuŋ.42
10.71	road	ntja.42
10.72	path	ɣe.42
10.74	bridge	ɣua.31
10.75	carriage, wagon, cart	ńhaŋ.35
10.76	wheel	khuan.42
10.77	axle	cI.13
10.78	yoke	ləu.31
10.81	ship	ŋui.42
10.83	boat	ʔau.42
10.831	canoe	lja.13
10.832	outrigger	lən.42
10.84	raft	nto.42
10.85	oar	nco.31
10.851	paddle (noun)	ŋkau.42
10.852	row (vb)	ʔa.42 kəu.42 kəu.42
10.86	rudder	ve.31 ćhe.42
10.87	mast	ʔa.42 ćau.42 cha.42
10.88	sail (noun)	ʔa.42 sI.13 faŋ.42
10.89	anchor	yan.31
10.91	harbor, port	ʒ́i.13 (ći.13)
10.92	land (vb)	pa.42 puŋ.31
11.11	have	ŋka.31
11.12	own, possess	thjai.42
11.13	take	ma.31 ʔaŋ.42
11.14	seize, grasp	sI.55
11.15	hold	səu.42
11.16	get, obtain	tji.42
11.17	keep, retain	pau.42
11.18	thing	mau.31
11.21	give	mjaŋ.~́
11.22	give back	te.42
11.24	preserve, look after	ɣe.31
11.25	save, rescue	sau.31
11.27	destroy	hye.13
11.28	harm, injure, damage	sI.35 ma.42 śe.13
11.31	seek, look for	səu.42 ma.42 śe.13
11.32	find	mau.31 ma.42 śe.13
11.33	lose	səu.42 hue.13 ma.42
11.34	release, let go	sI.55 hai.42
11.43	money	sI.55 ŋen.31
11.44	coin	ləu.31
11.51	rich	ʒi.31 ha.13
11.52	poor	ʔe.13
11.53	beggar	ca.31 sI.31 ʔe.13
11.54	avaricious, stingy	ntja.42
11.61	lend	ʔaŋ.42
11.62	borrow	sI.55 ŋkui.42
11.63	owe	həŋ.35 ʔai.42
11.64	debt	tai.13
11.65	pay (vb)	se.13
11.66	account, reckoning	ma.31 ʔaŋ.42
11.69	tax, tribute	mpa.42
11.77	hire	sI.55 hən.42
11.78	wages	pa.42 lji.31
11.79	earn	zuai.31
11.81	buy	ŋkuai.31 lai.31
11.82	sell	pa.42  łjo.35
11.83	trade, barter	ŋkuai.31 lai.31 ntja.35
11.84	merchant	khe.13
11.85	market (place)	ʔjəu.35
11.86	store, shop	(ʔa.42 saŋ.42) ʔau.13
11.87	price	khuai.42
11.88	dear (costly, expensive)	lin.31
11.89	cheap	saŋ.55 naŋ.42
11.91	share (distribute)	hui.35
11.92	weigh	phi.31
12.1	after	khe.13 hui.35
12.11	behind	taŋ.33 ko.31
12.2	beside	ko.31 pa.42 khuai.42
12.3	down, below	sa.31 ko.31
12.4	before	ma.31 ʔaŋ.42 mo.42
12.41	front	thin.31
12.5	inside, in	(səu.33 sI.31) ʔie.42
12.6	outside	ćin.42 tau.42
12.7	under	ćin.33 saŋ.35
12.8	up, above	ʔaŋ.42 sI.55 ncai.31
12.11	place	ma.42 ʔaŋ.55 ʔe.13 tja.35 ncai.31
12.12	put	thai.13 ɣie.35
12.13	sit	chuŋ.31 lai.31 ma.31
12.14	lie down	cai.13 sI.42 pəi.42
12.15	stand	haŋ.42 ntjuŋ.31
12.16	remain, stay	vei.31 ntjuŋ.31
12.17	remains, left overs	haŋ.42 tjo.13
12.21	collect, gather	ńəu.31 ntjuŋ.31
12.212	pick up	sa.13 ńi.31
12.213	pile up	taŋ.35 haŋ.42; me.42 lin.31
12.22	join, unite	vei.31 ntjuŋ.31
12.23	separate	haŋ.42 naŋ.42
12.232	divide	han.42 ʔa.35 lin.31
12.24	open	ŋui.31 vei.31
12.25	shut, close	thi.35 hi.42
12.26	cover	səu.42 la.42
12.27	hide, conceal	ncai.31
12.31	high	cuŋ.42
12.32	low	lai.31
12.33	top	ŋkuai.31
12.34	bottom	ma.42 lei.31 lei.31
12.35	end	ma.42 pau.42 lai.31
12.352	pointed	ma.42 mjaŋ.31 lai.31
12.353	edge	ma.42 mjaŋ.31 lai.31
12.36	side	ma.31 haŋ.31 min.31
12.37	middle, center	me.31 ɣe.35 cI.13
12.41	right (side)	me.13 cI.13
12.42	left (side)	ŋhaŋ.33
12.43	near (adv)	me.13 cI.13
12.44	far (adv)	ma.31 ŋhaŋ.35
12.45	east	ńe.35
12.46	west	laŋ.13
12.47	north	haŋ.42
12.48	south	mja.42
12.53	grow	wei.13 tau.13 ma.31 ʔie.35
12.54	measure	ńhi.42
12.541	span, fathom	ńhi.42
12.55	large, big	ʔa.42 ɣuŋ.42 łjuŋ.42
12.56	small, little	qha.42
12.57	long	ɣən.31
12.58	tall	chI.35 ɣən.31
12.59	short	cau.13
12.61	wide, broad	ʔu.42
12.62	narrow	thai.13 tjai.13 haŋ.42
12.63	thick (in dimension)	lja.13
12.65	thin (in dimension)	ʔau.13
12.67	deep	ljaŋ.31
12.68	shallow	le.13
12.71	flat	ləu.31
12.73	straight	sai.42
12.74	crooked	wa.42
12.75	hook	phuŋ.13
12.76	corner	ɣe.42
12.77	cross	thjəu.35
12.78	square	ljəu.42
12.81	round	zuan.42
12.82	circle	zuan.42
12.83	sphere, ball	chu .35 chau.13
12.84	line	ʔlui.35
12.85	hole	khi.42
12.92	like, similar	ma.31 khi.42
12.93	change	hi.42 haŋ.42
13.0	zero, nothing	həu.35
13.1	one	ńha.35
13.2	two	həu.13; ʔla.35
13.3	three	śi.13 həu.13
13.4	four	łuŋ.35
13.5	five	tau.13 lei.31 ma.31 lei.31
13.6	six	se.13
13.7	seven	me.35 he.13
13.8	eight	ńa.13
13.9	nine	ńhuai.42
13.10	ten	lei.35 ŋau.31
13.101	eleven	jin.13 ćhi.13 ʔie.42
13.102	twelve	jin.13 ćhi.13 ma.31 ʔie.42
13.103	fifteen	kau.35 śin.13
13.104	twenty	sau.42
13.105	hundred	ʒi.31 sau.42 ʒi.31 sau.42
13.106	thousand	le.31 ɣau.31
13.107	count	ntuai.31
13.14	every, all	ləu.31 pa.41 mpai.13
13.15	much, many	ta.13 kaŋ.13
13.16	more	ɣa.42
13.17	little (quantity), few	saŋ.35 śi.33
13.18	enough	co.31 ći.31
13.181	some	kho.42 ljan.31
13.19	multitude, crowd	ńe.13
13.21	full	ʔuŋ.35 zəu.42
13.22	empty	ʔʒin.13
13.23	part, piece	so.35
13.24	half	ćhi.13
13.33	alone, only	ma.31 ʔla.35 ʔlai.42
13.34	first	tjau.35 ŋau.13
13.35	last	kaŋ.35
13.36	second	pa.42 ljəu.13 ɣau.42
13.37	pair	khe.13 hui.35
13.38	two times	ljəu.31 haŋ.42
13.42	third	wei.31 śan.42
13.44	three times	juan.13
14.11	time	lja.13
14.12	age	śi.35 waŋ.13
14.13	new	ŋəu.13
14.14	young	ʒuai.13 ja.31
14.15	old	ćhi.35 phjan.13
14.16	early	juan.31 ljaŋ.13
14.17	late	ʔie.35
14.18	now	ńćy.13
14.19	immediately	cən.13 ćho.31
14.21	swift, fast, quick	ja.31
14.22	slow	ja.31
14.23	hasten, hurry	kuai.13
14.24	retard, delay	tjo.35 ʔi.342
14.25	begin, beginning	ńćy.13
14.252	last, endure	than.13 śin.33
14.26	end (temporal)	ćhuŋ.33 min.31
14.27	finish	lau.42 ćin.35
14.28	cease, stop	ntjuai.31
14.29	ready	ɣən.13
14.31	always	śaŋ.35 śin.13
14.32	often	ʔla.35
14.33	sometimes	ʔla.35
14.331	soon	chai.42
14.332	long-time (for a)	ŋka.31
14.34	never	ɣen.13 ɣai.42
14.35	again	mpe.42 haŋ.42
14.41	day	ɣo.31
14.42	night	ʔla.31
14.43	dawn	thje.35 səu.42
14.44	morning	lei.35 śo.31 sən.35
14.45	noon, midday	pu.55 thje.35 səu.42
14.451	afternoon	ʔləu.35 tau.42
14.46	evening	ntja.13 ʔa.42 maŋ.42
14.47	today	ʔla.35 za.13
14.48	tomorrow	ma.31 ʔla.35 za.13
14.481	day-after-tomorrow	khən.42 tin.13
14.49	yesterday	kai.42 sI.31
14.491	day-before-yesterday	mu.31 ti.31
14.51	hour	ʔa.42 yan.31 jin.35
14.53	clock, timepiece	huai.31 ni.31
14.61	week	huai.31 ni.31
14.62	Sunday	mje.42
14.63	Monday	lan.31; khun.13 nan.31
14.64	Tuesday	sI.13 sa.42
14.65	Wednesday	chan.42
14.66	Thursday	tui.13
14.67	Friday	ma.31 ʔʒəu.42
14.68	Saturday	zu.31 ho.31
14.71	month	ʔaŋ.35 ʔe.13 ntja.42
14.73	year	ʔaŋ.35 ʔe.13 ntja.42
14.74	winter	ʔʒəu.35 he.42
14.75	spring	ʔʒəu.35 ncai.31 he.42
14.76	summer	ʔa.31 he.31
14.77	autumn	hən.31 naŋ.42
14.78	season	hən.31 naŋ.42
15.21	smell (vb intrans)	za.13 sI.55 hje.42
15.212	sniff	sI.55 na.42
15.22	smell (vb trans)	thaŋ.315 na.42
15.25	fragrant, good smelling	ʔa.42 vu.42
15.26	stinking, bad smelling	to.315 vu.42
15.31	taste	ɣuŋ.42
15.35	sweet	le.31
15.36	salty	zuŋ.42
15.37	bitter	hji.13
15.38	acid, sour	njaŋ.35 njaŋ.35 zuai.13
15.39	brackish	ho.13 hji.42
15.41	hear	ʔa.42 ɣuŋ.42 hau.42
15.42	listen	cai.13
15.44	sound, noise	ʒuai.13 ntji.31
15.45	loud	će.31 pa.35
15.46	quiet, silence	ʒuai.13
15.51	see	ma.31 ʒuai.13 ntji.31
15.52	look, look at	ntji.31
15.55	show	səu.42
15.56	shine	lei.35 ne.31
15.57	bright	za.13
15.61	color	ʔi.35
15.62	light (in color)	ćhiu.31 ćhi.13
15.63	dark (in color)	ʔi.35
15.64	white	hji.13
15.65	black	lau.42
15.66	red	ɣe.31
15.67	blue	ćo.42
15.68	green	thje.35
15.69	yellow	ma.42 he.35 səu.42
15.71	touch	pin.35 səu.42
15.712	pinch	laŋ.31 luŋ.31
15.72	feel	ʔa.42 la.42 śo.35
15.74	hard	lau.42 ljuŋ.13
15.75	soft	lau.42 wa.31
15.76	rough	ha.13
15.77	smooth	ma.42 će.13
15.78	sharp	pu.55 ɣue.13 he.42
15.79	blunt, dull	phuŋ.31 jəu.42
15.81	heavy	qhai.315 vu.42 ʔa.35 kai.35
15.82	light (in weight)	khəŋ.13
15.83	wet, damp	pu.55 ɣue.13 he.42
15.84	dry	ći.42 zI.31
15.85	hot	cai.13 kaŋ.13
15.851	warm	qha.42
15.86	cold	kho.35 kaŋ.13
15.87	clean	khən.42
15.88	dirty, soiled	ʔa.42 paŋ.31 paŋ.31
15.89	wrinkled	ʔa.42 ho.13 hye.42
16.11	soul, spirit	tha.31
16.15	surprised, astonished	tau.23 ncən.31
16.18	good fortune, luck	ńće.13 ćhi.42
16.19	misfortune, bad luck	kho.35 ma.42 ljəu.31
16.23	joyful, glad, happy	ʔa.42 kəu.42 kəu.42
16.25	laugh	ʔa.42 sa.42
16.251	smile	ʔa.42 za.13
16.26	play	ćy.13 ntjuŋ.13
16.27	love	ʔie.35 ʔie.35 mpai.31 ćhi.42
16.29	kiss	kho.35 ʔai.35
16.3	embrace	phan.13
16.31	pain	njo.13
16.32	grief, sorrow, sadness	ʔaŋ.42 łjaŋ.42
16.33	anxiety, worry	ma.31 ʔaŋ.42 łjaŋ.42
16.34	regret, be sorry	chən.42 fa.31
16.35	pity	fa.315 ŋu.13 zai.31
16.37	cry, weep	lau.31 faŋ.31
16.38	tear (noun)	ʔa.31 hye.42
16.39	groan	ljuŋ.42
16.41	hate	ncI.42
16.42	anger	pu.35 la.42 le.13
16.44	envy, jealousy	pu.35 hui.42
16.45	shame (noun)	hue.13
16.48	proud	pji.35 khuŋ.35
16.51	dare	le.31 ɣue.13
16.52	brave	səu.13
16.53	fear, fright	mha.42
16.54	danger	mi.13 cI.35
16.62	desire, want	pu.35 hue.42
16.622	choose	mha.42 ji.42 / mh.42 ŋau.31
16.63	hope
16.65	faithful
16.66	true
16.67	lie, tell lies
16.68	deceit
16.69	forgive
16.71	good
16.72	bad
16.73	right, correct
16.74	wrong
16.76	fault
16.77	mistake, error
16.78	blame
16.79	praise
16.81	beautiful
16.82	ugly
16.83	greedy
16.84	clever
17.11	mind
17.13	think (= reflect)
17.14	think (= be of the opinion)
17.15	believe
17.16	understand
17.17	know
17.171	guess
17.172	imitate
17.18	seem
17.19	idea, notion
17.21	wise
17.22	foolish, stupid
17.23	insane, crazy
17.24	learn
17.242	study
17.25	teach
17.26	pupil
17.27	teacher
17.28	school
17.31	remember
17.32	forget
17.34	clear, plain
17.35	obscure
17.36	secret
17.37	sure, certain
17.38	explain
17.41	intention, purpose
17.42	cause
17.43	doubt
17.44	suspect
17.441	betray
17.45	need, necessity
17.46	easy
17.47	difficult
17.48	try, attempt
17.49	way, manner
17.51	and
17.52	because
17.53	if
17.54	or
17.55	yes, affirmative
17.56	no, negative
17.61	how?
17.62	how many?
17.63	how much?
17.64	what?
17.65	when?
17.66	where?
17.67	which?
17.68	who?
17.69	why?
18.11	voice
18.12	sing
18.13	shout, cry out
18.15	whisper
18.16	mumble
18.17	whistle
18.18	shriek, screech
18.19	howl
18.21	speak, talk
18.211	stutter, stammer
18.22	say
18.221	tell story
18.222	speech (make a)
18.23	silent (be)
18.24	language
18.26	word
18.28	name
18.31	ask (question, inquire)
18.32	answer
18.33	admit, confess
18.34	deny
18.35	ask, request
18.36	promise
18.37	refuse
18.38	forbid
18.39	rebuke, scold
18.41	call (=summon)
18.42	call (=name)
18.43	announce
18.44	threaten
18.45	boast
18.51	write
18.52	read
18.56	paper
18.57	pen
18.61	book
18.67	poet
18.71	flute
18.72	drum
18.73	horn, trumpet
18.74	rattle
19.11	country
19.12	one's native country
19.15	city, town
19.16	village
19.17	boundary
19.21	people (populace)
19.23	tribe, clan
19.24	chief, chieftain
19.25	staff, walking stick
19.31	rule, govern
19.32	king, ruler
19.33	queen
19.36	noble, nobleman
19.37	citizen, subject
19.41	master
19.42	slave
19.43	servant
19.44	freeman
19.45	command, order
19.46	obey
19.47	let, permit
19.51	friend, companion
19.52	enemy
19.54	neighbor
19.55	stranger
19.56	guest
19.57	host
19.58	help, aid
19.59	hinder, prevent
19.61	custom
19.62	strife, quarrel
19.63	conspiracy, plot
19.65	meet
19.72	prostitute
20.11	fight (vb)
20.13	war, battle
20.14	peace
20.15	army
20.17	soldier
20.21	weapons, arms
20.22	club
20.222	battle-ax
20.23	sling
20.24	bow
20.25	arrow
20.26	spear
20.27	sword
20.28	gun, cannon
20.31	armor (defensive)
20.33	helmet
20.34	shield
20.35	fortress
20.36	tower
20.41	victory
20.42	defeat
20.43	attack
20.44	defend
20.45	retreat
20.46	surrender
20.47	captive, prisoner
20.471	guard, sentinel
20.48	booty, spoils
20.49	ambush
20.51	fisherman
20.52	fishhook
20.53	fishing line
20.54	fishnet
20.55	fish trap
20.56	bait
20.61	hunt
20.62	shoot
20.63	miss (target)
20.64	trap (noun)
20.65	trap (vb)
21.11	law
21.15	court
21.16	judge (vb)
21.17	judgment
21.18	judge (noun)
21.21	plaintiff
21.22	defendant
21.23	witness
21.24	swear
21.25	oath
21.31	accuse
21.32	condemn
21.33	convict (vb)
21.34	acquit
21.35	guilty
21.36	innocent
21.37	penalty, punishment
21.38	fine
21.39	prison, jail
21.42	murder
21.43	adultery
21.44	rape
21.46	arson
21.47	perjury
21.51	steal
21.52	thief
22.11	religion
22.12	God
22.13	temple, church
22.14	altar
22.15	sacrifice, offering
22.16	worship
22.17	pray
22.18	priest
22.19	holy, sacred
22.22	preach
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
