entry_id	trans_english	Pilagá_Phonemic
10.851	paddle (noun)	
10.852	row (vb)	yi-liyot
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	--
10.91	harbor, port	n-a'diy-aʁasom
10.92	land (vb)	
11.11	have	ʔwo
11.12	own, possess	∅-we-t-ʔot
11.13	take	y-akon-a
11.14	seize, grasp	d-oʁon-aʁan; n-apoken-a
11.15	hold	l-a'soḳ-ot-ʔa
11.16	get, obtain	na-ḳač-iɲi
11.17	keep, retain	l-a'soḳ-ot-ʔa
11.18	thing	
11.21	give	y-an
11.22	give back	y-ʔi'yilaʁ-at; n-ʔi'yilaʁ-at
11.24	preserve, look after	y-oden
11.25	save, rescue	ne-kʔal-aʁat-'eege
11.27	destroy	y-o'la-ʁač-iyi
11.28	harm, injure, damage	n-ʔ'a-ʁat
11.31	seek, look for	yi-'lo-ta-ake
11.32	find	y-awan-a
11.33	lose	ya-ḳa'te-tak
11.34	release, let go	yi-'so-iyi; y-aʁan-'eege
11.43	money	l-aikawa
11.44	coin	l-aikawa l-ai
11.51	rich	sali-aʁan-ek
11.52	poor	čoʁod-aḳ; 'pʔio-ʁoik
11.53	beggar	'sela-ʁan-aʁaik
11.54	avaricious, stingy	d-asemata
11.61	lend	'y-ʔaal-aʁan-aʁan
11.62	borrow	'd-ʔaal-aʁan
11.63	owe	d-awiyaḳ-taʁan
11.64	debt	l-a'wiyaʁa-sete
11.65	pay (vb)	yi-seeten
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	y-ʔonat-aʁan-aʁan
11.78	wages	l-asoʔwi
11.79	earn	n-awek
11.81	buy	ne-woden
11.82	sell	ne-men
11.83	trade, barter	ne-men-aʔt; ne-men-get
11.84	merchant	men-aʁaik
11.85	market (place)	men-ḳaʔ
11.86	store, shop	men-aʁan-aʁaki
11.87	price	l-asoʔwi
11.88	dear (costly, expensive)	ḳa'ya-ʔ-wo
11.89	cheap	sa ḳa'ya-ʔ-wo
11.91	share (distribute)	y-an-'eege
11.92	weigh	napo'goʁot
12.1	after	ḳomle
12.11	behind	∅-'pʔa-t-eege; 'pʔa-ta-iyi
12.2	beside	∅-we-t-ʔaget
12.3	down, below	∅-'we-ta-ʔ-ɲ-a
12.4	before	d-aso-t-ʔage
12.41	front	
12.5	inside, in	∅-'we-ta-awe
12.6	outside	'pʔa-iyi
12.7	under	∅-we-t-ʔot
12.8	up, above	∅-'we-ta-segem; ∅-we-ta-'lege
12.11	place	l-ʔa'čaḳaʔ
12.12	put	y-ač-'a-ʔ-ɲ-a
12.13	sit	∅-'ɲi-ɲi
12.14	lie down	ne-naa-ɲi
12.15	stand	ne-čaač-iɲi
12.16	remain, stay	∅-we-t-ʔe-di
12.17	remains, left overs	l-ʔiyo-ʁot
12.21	collect, gather	n-'ato
12.212	pick up	ne-pii-'segem
12.213	pile up	l-apoo-segem
12.22	join, unite	yi-waa-yaʁan-aʔt
12.23	separate	yi-yot-'a-i-ʔ-y-a
12.232	divide	yi-kolaʁ-ač-iyi
12.24	open	y-ʔo'wač-iyi
12.25	shut, close	y-apa'din-yi
12.26	cover	y-apadee-'lege
12.27	hide, conceal	y-oʁoč-iɲi
12.31	high	ḳa'ya-see-ʔ-m-ek
12.32	low	ḳoyo'ḳoč-iiɲi
12.33	top	le-milo
12.34	bottom	n-ateʔ
12.35	end	l-oikiaḳaʔ
12.352	pointed	set-et-ʔeget
12.353	edge	l-oʁo-ge
12.36	side	l-ai
12.37	middle, center	l-ai-ɲi
12.41	right (side)	l-oik
12.42	left (side)	n-ʔemaḳ
12.43	near (adv)	sa ḳa'ya-ake
12.44	far (adv)	ḳa'ya-ʔa
12.45	east	ta'yiɲi
12.46	west	ta'dewo
12.47	north	seʔw
12.48	south	koʔlia
12.53	grow	ni-čik
12.54	measure	n-alo-ḳten
12.541	span, fathom	n-alo-t-ʔata
12.55	large, big	ʔamaḳtaḳ; le-'tʔad-aik
12.56	small, little	katʔ-olek
12.57	long	halok
12.58	tall	lok-aik
12.59	short	saḳa-lok
12.61	wide, broad	le-kay-'iɲi
12.62	narrow	sa l-ka-ʔage
12.63	thick (in dimension)	
12.65	thin (in dimension)	
12.67	deep	ḳaya-ʔn-yi
12.68	shallow	sa ḳaya-ʔn-yi
12.71	flat	ʔe'meta
12.73	straight	yi-'lo-t-eege
12.74	crooked	namaḳ-aik
12.75	hook	le-kede
12.76	corner	lo-ḳote
12.77	cross	
12.78	square	
12.81	round	n-ʔon-aʔt
12.82	circle	n-ʔon-aʔt
12.83	sphere, ball	n-ʔon-aʔt
12.84	line	n-ed-ek
12.85	hole	l-awak
12.92	like, similar	ʔ-en-'a-ʔam
12.93	change	ni-'čiy-aʁat; n-a'dal-aʁat
13.0	zero, nothing	ḳaya; ḳaga
13.1	one	[ʔoon]-olek; [ʔoon]-ole
13.2	two	[doos]-olḳ-a
13.3	three	[trees]-olḳ-a
13.4	four	[kwaatr]-olḳ-a
13.5	five	
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	[ʔoons]olḳa; [ʔoonse] yʔaʁaik
13.102	twelve	[doose] yʔaʁaik
13.103	fifteen	[kiinse] yʔaʁaik
13.104	twenty	[weinte] yʔaʁaik
13.105	hundred	[sien] yʔaʁaik
13.106	thousand	[mil] yʔaʁaik
13.107	count	n-alo-ḳten
13.14	every, all	ʔe'naʔwak; yi-m-a
13.15	much, many	halkote
13.16	more	l-ayi
13.17	little (quantity), few	sa 'le-ka
13.18	enough	naʔči-di
13.181	some	sa l-ama-iʔ
13.19	multitude, crowd	halkote
13.21	full	sa'ḳa-či-yi
13.22	empty	kʔo'či-či-yi
13.23	part, piece	l-ai
13.24	half	l-ai-ɲi
13.33	alone, only	ne-do-t-ʔaʔt
13.34	first	∅-ʔ'wai-či-iɲi
13.35	last	∅-'pʔa-t-eege
13.36	second	ne-'kʔat-aʁan-a
13.37	pair	n-a'lo-ʁowa
13.38	two times	[dos] daʔ...
13.42	third	
13.44	three times	[tres] daʔ...
14.11	time	
14.12	age	'woʔe
14.13	new	'dala-ʁaik
14.14	young	saḳa yi
14.15	old	yi
14.16	early	'neteʔ-ta
14.17	late	'hawit
14.18	now	nayi
14.19	immediately	na'keta
14.21	swift, fast, quick	ʔenge
14.22	slow	sali-aʁad-aik
14.23	hasten, hurry	yi-yala-tapiyeʔt
14.24	retard, delay	wa'yaloḳ
14.25	begin, beginning	t-a-ɲi
14.252	last, endure	naʔči ʔ-ee-t-aʔt
14.26	end (temporal)	l-oikiaḳaʔ
14.27	finish	yi-mat; yi-m
14.28	cease, stop	y-aʁa-ɲi
14.29	ready	le-'wot-eta
14.31	always	naʔči ʔ-ee-t-aʔt
14.32	often	'naʁa
14.33	sometimes	ʔwo daʔ...
14.331	soon	sa wa'yaloḳ
14.332	long-time (for a)	sa kete'geʔ naʁak
14.34	never	ḳaya ʔte...; ḳaya daʔ...
14.35	again	ḳataʁa
14.41	day	noloʔ
14.42	night	'piʔyaḳ
14.43	dawn	yʔoʁo-ɲi
14.44	morning	'neteʔ-ta
14.45	noon, midday	noloʔ l-ai-ɲi
14.451	afternoon	'hawit
14.46	evening	netʔediam
14.47	today	'henhoʔ noloʔ
14.48	tomorrow	yʔoʁo-ɲi
14.481	day-after-tomorrow	yʔoʁo-ɲi la-'ḳaya
14.49	yesterday	sek-ait
14.491	day-before-yesterday	sek-ait la-'ḳaya
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	ʔa'woʁoik
14.73	year	'woʔe
14.74	winter	naḳawiaʁa
14.75	spring	n-awo-ʁo
14.76	summer	'woʔe
14.77	autumn	n-'ʔom-tapii-ɲi
14.78	season	
15.21	smell (vb intrans)	de-ta-ʁan
15.212	sniff	de-ta-ʁan
15.22	smell (vb trans)	yi-ta
15.25	fragrant, good smelling	hama naʔ l-aita
15.26	stinking, bad smelling	sa 'noʔin naʔ l-aita
15.31	taste	y-ʔiyen daʔ l-ama-ik
15.35	sweet	hama
15.36	salty	n-ʔowa
15.37	bitter	čim
15.38	acid, sour	čim-iyi
15.39	brackish	
15.41	hear	de-mači
15.42	listen	na-ki'aʁan
15.44	sound, noise	le-sam-aʁa
15.45	loud	yi-sam
15.46	quiet, silence	'toč-iiɲi
15.51	see	n-a'waa-či-iɲi
15.52	look, look at	yi-lo-t-ʔa
15.55	show	y-aloʁon
15.56	shine	∅-ʔed-'eta-n-yi
15.57	bright	ḳa'selg-aʁad-aik
15.61	color	l-'ʔoi-yaʁak
15.62	light (in color)	y-apagaḳ-a-'lege
15.63	dark (in color)	n-ʔala-'lege
15.64	white	y-apagaḳ
15.65	black	l-'eed-aʁaik
15.66	red	'toom-aʁad-aik
15.67	blue	'malaʁad-aik
15.68	green	d-a'dala
15.69	yellow	yo-ḳowi
15.71	touch	yi-pot
15.712	pinch	yi-čik
15.72	feel	∅-nom-ʔa
15.74	hard	d-ʔaɲi
15.75	soft	∅-'damita
15.76	rough	
15.77	smooth	yi-'sot-eta
15.78	sharp	y-aik
15.79	blunt, dull	sa yi
15.81	heavy	de-sali
15.82	light (in weight)	sa de-sali
15.83	wet, damp	y-akit
15.84	dry	∅-ḳaḳa-ta
15.85	hot	∅-pʔe
15.851	warm	∅-pʔi-či-yi
15.86	cold	'hoʔom
15.87	clean	yo-ḳo'wi-ta
15.88	dirty, soiled	pa'ʁačiyi
15.89	wrinkled	wiy-aʔt; wii-'lege
16.11	soul, spirit	li-'kiʔi; le-paḳal
16.15	surprised, astonished	y-ʔalaa'te-tak
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	∅-'ma-tak
16.25	laugh	l-a'saʁan
16.251	smile	l-a'saʁa-tak
16.26	play	de-'walaʁai
16.27	love	no-ḳpit-a
16.29	kiss	ne-kowoḳ
16.3	embrace	ne-soʁo-wo
16.31	pain	yi-kʔon
16.32	grief, sorrow, sadness	d-akiko
16.33	anxiety, worry	d-ačitata
16.34	regret, be sorry	ne-'lo-yi; ne-towen
16.35	pity	yi-čoʁoden
16.37	cry, weep	no-yen
16.38	tear (noun)	'l-ačiʔ
16.39	groan	w-ačot
16.41	hate	ni-ki'ya-ʔa
16.42	anger	d-alemata
16.44	envy, jealousy	yi-pʔagen
16.45	shame (noun)	le-pe'koʁ-o
16.48	proud	yʔoʁod-'en-aʁaik
16.51	dare	sa y-aden-a-'lege
16.52	brave	sa n-'damč-iyi l-awel
16.53	fear, fright	lo-ḳo'lan-aʁa
16.54	danger	ʔwo daʔ li-č-ik
16.62	desire, want	yi-diaḳ
16.622	choose	di-ki'ya-ʁan
16.63	hope	n-akit-'et-ʔa
16.65	faithful	ne-'peʔet
16.66	true	ʔee-sa
16.67	lie, tell lies	do-ḳo'win-aʁan
16.68	deceit	lo-ḳo'win-aʁan-aʁak
16.69	forgive	yi-čoʁoden
16.71	good	n-ʔ'oo-ta
16.72	bad	sa n-'oʔin
16.73	right, correct	'yataḳ-ta
16.74	wrong	saḳa 'yataḳ
16.76	fault	l-asow-aʁak
16.77	mistake, error	yi-samaḳ-'a-iyi
16.78	blame	ne-maʁ-a
16.79	praise	yi-ʔyoʁoden
16.81	beautiful	'ʔon-aʁaik
16.82	ugly	sa wam-aʁaik
16.83	greedy	ḳowk-aik
16.84	clever	sa n-ḳalaat-aʁaik
17.11	mind	l-eenat-aʁak
17.13	think (= reflect)	w-eenat
17.14	think (= be of the opinion)	yi-'pet-ʔa
17.15	believe	y-ʔamaḳten
17.16	understand	de-ma'či-ya
17.17	know	y-a'yaten
17.171	guess	yi-'pet-ʔa
17.172	imitate	y-a'denaʁat
17.18	seem	'ʔekeʔ
17.19	idea, notion	l-eenat-aʁak
17.21	wise	'yaten-aʁan-aʁaik
17.22	foolish, stupid	sa ni-yamaʁ-at-aʁaik
17.23	insane, crazy	ha'la-ʁaik
17.24	learn	n-apaʁagen
17.242	study	n-apaʁagen
17.25	teach	y-apaʁagen
17.26	pupil	l-apaʁagen-atak
17.27	teacher	paʁagen-ataʁan-aʁaik
17.28	school	napaʁagen-aʁaki l-apaʁagen-ataʁan-aʁaki
17.31	remember	ne-to'wen-ek
17.32	forget	sa ne-to'wen-ek
17.34	clear, plain	diʔyoḳ; yataḳ-te-ge
17.35	obscure	sa diʔyoḳ
17.36	secret	sa diʔyaʁ-a
17.37	sure, certain	ʔee-sa
17.38	explain	y-ʔa'ʁat-eta
17.41	intention, purpose	l-eenat-aʁak
17.42	cause	y-'ʔet-ek
17.43	doubt	yo-ḳolget
17.44	suspect	yi-'pet-ʔa
17.441	betray	ne-men
17.45	need, necessity	yi-wen
17.46	easy	le-wot-ete-'lege
17.47	difficult	ḳalaḳ
17.48	try, attempt	ne-pogoʁoin
17.49	way, manner	n-ʔonat-agek
17.51	and	ḳataʁa
17.52	because	'ḳaʔa
17.53	if	daʔ; daʔme
17.54	or	ḳalḳ-oʔ
17.55	yes, affirmative	'haʔa
17.56	no, negative	ʔaiʔ; ʔaʁaiʔ
17.61	how?	haiʔt-'ee-ta
17.62	how many?	haiʔči 'ka-ta
17.63	how much?	haiʔči 'ka-ta
17.64	what?	'haiʔčo-gamaʁa
17.65	when?	'haiʔči gaʔme noloʔ
17.66	where?	'hega
17.67	which?	'haiʔči naʔme
17.68	who?	'haiʔči naʔme
17.69	why?	'tooḳoʔči
18.11	voice	l-awili-'yaʁak
18.12	sing	'd-ʔon-aʁan; y-'oʔon
18.13	shout, cry out	y-ʔalaḳ
18.15	whisper	no'dii-tak
18.16	mumble	
18.17	whistle	de-ko'win-aʁan
18.18	shriek, screech	d-akiki
18.19	howl	d-alako
18.21	speak, talk	d-ʔaḳt-aʁan; de-taḳa
18.211	stutter, stammer	
18.22	say	y-ʔaʁat; ʔ-en-aak
18.221	tell story	
18.222	speech (make a)	d-ʔaḳt-aʁan
18.23	silent (be)	y-ʔi'maḳ-ta
18.24	language	na-wa-ʔ l-ʔaḳt-aḳa
18.26	word	l-ʔaḳt-ak
18.28	name	l-enaʁat
18.31	ask (question, inquire)	yi-nat
18.32	answer	y-ʔat
18.33	admit, confess	ne-so-laʔt; ne-čoʁot
18.34	deny	no-ḳolget
18.35	ask, request	y-a'sela
18.36	promise	y-alo'ʁoo-tak
18.37	refuse	sa y-akon-get
18.38	forbid	sa y-asen
18.39	rebuke, scold	ne-laʁa
18.41	call (=summon)	yi-'yaʁan-a
18.42	call (=name)	y-aʔwo l-enaʁat
18.43	announce	y-ʔa'ʁat-eege
18.44	threaten	y-a'dee-tapeg-a
18.45	boast	n-ag-aḳten
18.51	write	y-i'di-ɲi; d-ed-aʁan
18.52	read	yi-taʁa-yaʁan
18.56	paper	n-ed-e
18.57	pen	l-ed-'aʁan-aḳte
18.61	book	l-ed-e
18.67	poet	
18.71	flute	l-aseed-e
18.72	drum	l-aḳtaki
18.73	horn, trumpet	l-aseed-e
18.74	rattle	ne-pokete
19.11	country	l-ʔa'čaḳaʔ
19.12	one's native country	l-aɲo-ḳoʔ
19.15	city, town	noik 'tʔad-aik
19.16	village	noik
19.17	boundary	l-oʁo-ge
19.21	people (populace)	siyaʁa-dipi
19.23	tribe, clan	l-ayi
19.24	chief, chieftain	l-aso-ʁolaʔ
19.25	staff, walking stick	l-aseʔl
19.31	rule, govern	d-amaʁa-'soʁon-aak
19.32	king, ruler	le-tʔa
19.33	queen	l-atʔe
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	n-ʔakoʔ
19.42	slave	le-lat-ak
19.43	servant	l-amaʁa-sek
19.44	freeman	sa ne-lat-ak
19.45	command, order	y-amaḳ; n-amaḳ
19.46	obey	y-alaḳ
19.47	let, permit	y-a'see-t-ʔem
19.51	friend, companion	'n-eeg-aʁawa
19.52	enemy	ne-pʔa'gen-aʁawa
19.54	neighbor	le-seek
19.55	stranger	ya'ḳa-ʔa 'l-eʔek
19.56	guest	ne-sapč-aḳ
19.57	host	ne-sapč-aʁalaʔ
19.58	help, aid	yi-koči-ya
19.59	hinder, prevent	de-ʔwo-tapee-get
19.61	custom	n-ʔonat-agek
19.62	strife, quarrel	ne-kota-ʁak
19.63	conspiracy, plot	
19.65	meet	n-atee-t-ʔeget
19.72	prostitute	ke'seeget-aʁai
20.11	fight (vb)	ne-ʔwa'ʁa-ʔ-n-e
20.13	war, battle	laat-aḳ
20.14	peace	le-lag-aʁad-ik; n-ʔe'maʁ-ak
20.15	army	ne-'leʔem-pi
20.17	soldier	ne-soʁon-ek
20.21	weapons, arms	l-ʔe'woʁon-aʁat-pi
20.22	club	ne-pon
20.222	battle-ax	
20.23	sling	n-ʔe'saamama
20.24	bow	li-či'ken-ek
20.25	arrow	li-či'ken-a
20.26	spear	ni-miyoʁo
20.27	sword	l-eg-aʁan-aʁat
20.28	gun, cannon	l-ʔe'woʁon-aḳte
20.31	armor (defensive)	ne-kesaʁan-aʁai
20.33	helmet	n-aʁaʔdo n-alaat-aʁaki
20.34	shield	le-ke'paḳt-aʁan-aḳte
20.35	fortress	l-ʔiin-aʁaki
20.36	tower	le-wawe
20.41	victory	le-mat-aʁan-aʁak
20.42	defeat	l-oʁon-aʁan-aʁak; n-oʁon-agek
20.43	attack	n-aḳpaʁan-ot
20.44	defend	ne-kepaʁat-e'lege
20.45	retreat	∅-ḳose; ∅-ʔet
20.46	surrender	n-aɲ-an
20.47	captive, prisoner	l-oʁon-ek
20.471	guard, sentinel	wat-aʁan-aḳ
20.48	booty, spoils	le-wot-'aʁan-aʁat
20.49	ambush	n-a'waa-tak
20.51	fisherman	'yʔako-ʁoik
20.52	fishhook	'l-een-a
20.53	fishing line	le-ket
20.54	fishnet	le-ʔ'waan-aʁan-aʁat
20.55	fish trap	n-a'seelaʁai
20.56	bait	n-anoḳ
20.61	hunt	n-ʔepe; de-mači
20.62	shoot	y-ayin
20.63	miss (target)	ne-'paten
20.64	trap (noun)	'l-een-a
20.65	trap (vb)	no-ḳowin
21.11	law	l-amaʁa-'soʁon-aʁak
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	ne-maʁa
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	w-asoi-'lege
21.36	innocent	ḳaya ʔte l-asow-aʁaset
21.37	penalty, punishment	ne-ʔwa'ʁan-agek; le-ʔwa'ʁan-aʁan-aʁak
21.38	fine	
21.39	prison, jail	le-koint-'aʁan-aʁaki; ne-koint-'aʁaki
21.42	murder	l-alaat-aʁan-aʁak; n-alaat-agek
21.43	adultery	
21.44	rape	lo-'kat-aʁan-aʁak; no-'kat-aʁak
21.46	arson	
21.47	perjury	
21.51	steal	de-kači
21.52	thief	kač-'aʁaik
22.11	religion	l-ʔamaḳ'ten-ataʁan-aʁak
22.12	God	ne-tamn-aʁalaʔ
22.13	temple, church	ne-tamn-aʁaki
22.14	altar	le-kʔoy-oʁon-aʁalate; ne-kʔoy-oʁolate
22.15	sacrifice, offering	
22.16	worship	'd-ʔon-aʁan
22.17	pray	ne-tamen
22.18	priest	
22.19	holy, sacred	
22.22	preach	d-ʔaḳt-aʁan
22.23	bless	yi-čoʁoden
22.24	curse	yi-sen-a'pii-ɲi
22.26	fast (vb)	no-ḳowa-ḳte-laʔt
22.31	heaven	piyem
22.32	hell	
22.35	demon (evil spirit)	paiyak
22.37	idol	
22.42	magic, witchcraft, sorcery	l-akon-'aʁan-aʁak; n-akon-'agek
22.43	sorcerer, witch	kon-'aʁan-aʁaik
22.44	fairy, elf	
22.45	ghost, phantom	ni-'kiʔi
22.47	omen, portent	le-do
