entry_id	trans_english	Polci_Phonemic
15.83	wet, damp	dəghi
15.84	dry	kuuni
15.85	hot	ŋaani
15.851	warm	ŋaani
15.86	cold	rəp shimti; [sanyi]
15.87	clean	tsapta
15.88	dirty, soiled	dusəkin; dzuntun
15.89	wrinkled	nughur
16.11	soul, spirit	səghəntə
16.15	surprised, astonished	--
16.18	good fortune, luck	[saa]
16.19	misfortune, bad luck	saaʔaarəŋ
16.23	joyful, glad, happy	faltu
16.25	laugh	gaatlə
16.251	smile	pur bəgaam dler
16.26	play	baatə; sur
16.27	love	ndəkti
16.29	kiss	--
16.3	embrace	ruŋguma
16.31	pain	ciwo
16.32	grief, sorrow, sadness	dzuŋtu
16.33	anxiety, worry	tlakkən
16.34	regret, be sorry	sannu
16.35	pity	[tausayi]
16.37	cry, weep	naagha
16.38	tear (noun)	lum
16.39	groan	[surutu]
16.41	hate	ŋgeetə
16.42	anger	maŋtə
16.44	envy, jealousy	bəstu
16.45	shame (noun)	kwamlə
16.48	proud	gərtə
16.51	dare	[kalubalanta]
16.52	brave	laghəmani
16.53	fear, fright	bərtə
16.54	danger	karo
16.62	desire, want	ndək
16.622	choose	kən
16.63	hope	[paataa]
16.65	faithful	--
16.66	true	gaskiya
16.67	lie, tell lies	loghabi
16.68	deceit	loghabi
16.69	forgive	[yaafee]
16.71	good	mbon
16.72	bad	bəsi
16.73	right, correct	deidei
16.74	wrong	deideiraŋ
16.76	fault	[laifi]
16.77	mistake, error	maləghən
16.78	blame	yen yiri
16.79	praise	[yaabaa]
16.81	beautiful	mbon
16.82	ugly	bəsi
16.83	greedy	[haɗama]
16.84	clever	azanci
17.11	mind	ɓurgo gaam
17.13	think (= reflect)	[sammani]
17.14	think (= be of the opinion)	[sammani]
17.15	believe	yarda
17.16	understand	womwa
17.17	know	nəmi
17.171	guess	dak am faɗi
17.172	imitate	kumtə
17.18	seem	eeca
17.19	idea, notion	[dabaara]
17.21	wise	kwaikwai
17.22	foolish, stupid	suuru
17.23	insane, crazy	suuru
17.24	learn	kwaləm
17.242	study	--
17.25	teach	kwaləm
17.26	pupil	wun kwalləmi
17.27	teacher	--
17.28	school	[makaranta]
17.31	remember	taŋ
17.32	forget	məsəŋ
17.34	clear, plain	apiili
17.35	obscure	vundiri
17.36	secret	[asiri]
17.37	sure, certain	tabbata
17.38	explain	tsul
17.41	intention, purpose	nupi, nufi
17.42	cause	daliili
17.43	doubt	shakka
17.44	suspect	--
17.441	betray	[ci ama ana]
17.45	need, necessity	--
17.46	easy	[sauki]
17.47	difficult	eeŋan
17.48	try, attempt	[gwada]
17.49	way, manner	tsop
17.51	and	maa
17.52	because	waagii caa; sabo tee bə
17.53	if	an
17.54	or	[ko]
17.55	yes, affirmative	waa gii ghən
17.56	no, negative	aaʔaa
17.61	how?	nii ghənə
17.62	how many?	maniighənə; mani
17.63	how much?	mani-mani
17.64	what?	noghən no
17.65	when?	te rəpni
17.66	where?	ani
17.67	which?	bəgya ghənə
17.68	who?	geenəghənə
17.69	why?	noghən saa
18.11	voice	yuwar
18.12	sing	waasər
18.13	shout, cry out	dəŋ yuwar
18.15	whisper	shige
18.16	mumble	pur bada bada
18.17	whistle	fifiyaatə
18.18	shriek, screech	dəŋ yuwar
18.19	howl	naktə
18.21	speak, talk	mambur
18.211	stutter, stammer	zham; zhamtə
18.22	say	woli
18.221	tell story	bə labaari
18.222	speech (make a)	[jawaabi]
18.23	silent (be)	yoghən
18.24	language	bii
18.26	word	mambur
18.28	name	suŋ
18.31	ask (question, inquire)	dzoni
18.32	answer	kaɓə
18.33	admit, confess	yarda
18.34	deny	ŋgee
18.35	ask, request	kam
18.36	promise	[alkawari]
18.37	refuse	ŋgee
18.38	forbid	ləmtə
18.39	rebuke, scold	--
18.41	call (=summon)	[saamaci]
18.42	call (=name)	ŋgaabə
18.43	announce	fowur
18.44	threaten	[barazana]
18.45	boast	kas(ə)ban
18.51	write	njar
18.52	read	[karanta]
18.56	paper	[warka]
18.57	pen	--
18.61	book	--
18.67	poet	kon sər
18.71	flute	mbuzhar
18.72	drum	gaŋga
18.73	horn, trumpet	mbee
18.74	rattle	--
19.11	country	atl
19.12	one's native country	--
19.15	city, town	bən
19.16	village	bən
19.17	boundary	liŋ
19.21	people (populace)	mbaam
19.23	tribe, clan	[zuuriya]
19.24	chief, chieftain	goŋ
19.25	staff, walking stick	meelaŋ
19.31	rule, govern	--
19.32	king, ruler	goŋ
19.33	queen	--
19.36	noble, nobleman	daŋ mbaam
19.37	citizen, subject	mun atl; mun bən
19.41	master	baa keen
19.42	slave	ɓyak
19.43	servant	--
19.44	freeman	--
19.45	command, order	--
19.46	obey	[ladabi]
19.47	let, permit	tər
19.51	friend, companion	yerim
19.52	enemy	ŋgaasha
19.54	neighbor	[makwabcii]
19.55	stranger	maɗak
19.56	guest	maɗak
19.57	host	rəpgi wun meese
19.58	help, aid	səmtire
19.59	hinder, prevent	ɗak
19.61	custom	gaado
19.62	strife, quarrel	tleridlaŋ
19.63	conspiracy, plot	moŋabi
19.65	meet	maŋ; jaŋ tee tsop
19.72	prostitute	pur məŋtə
20.11	fight (vb)	dlaŋ
20.13	war, battle	maŋtə
20.14	peace	shikkən laafiya
20.15	army	[soja]
20.17	soldier	[soja]
20.21	weapons, arms	ərəm maŋti
20.22	club	ndoktlum
20.222	battle-ax	adda
20.23	sling	tlim baaro
20.24	bow	məəm
20.25	arrow	pyas
20.26	spear	gas
20.27	sword	adda
20.28	gun, cannon	--
20.31	armor (defensive)	loghət val
20.33	helmet	taagiya kwaano
20.34	shield	koptəŋ
20.35	fortress	--
20.36	tower	--
20.41	victory	--
20.42	defeat	
20.43	attack	yoor maŋtə
20.44	defend	dləghəbi
20.45	retreat	mənakar
20.46	surrender	tərə yuwar
20.47	captive, prisoner	ɓyak
20.471	guard, sentinel	gaadi
20.48	booty, spoils	--
20.49	ambush	--
20.51	fisherman	[suu]
20.52	fishhook	ŋgar kugiya
20.53	fishing line	--
20.54	fishnet	
20.55	fish trap	--
20.56	bait	--
20.61	hunt	ləəp
20.62	shoot	mbok
20.63	miss (target)	baala
20.64	trap (noun)	[kapito]
20.65	trap (vb)	--
21.11	law	[shariy'a]; [doka]
21.15	court	[kotu]
21.16	judge (vb)	[yankˀe]; [hukunci]
21.17	judgment	[hukunci]
21.18	judge (noun)	[alkˀali]
21.21	plaintiff	[mai kara]
21.22	defendant	[wanda ake kara]
21.23	witness	[saida]
21.24	swear	[rantsuwa]
21.25	oath	[daukan alkawari]
21.31	accuse	[zargi]
21.32	condemn	[hukuncin kisa]
21.33	convict (vb)	[zartar da hukuncin]
21.34	acquit	[saki]
21.35	guilty	[laifi]
21.36	innocent	[maras laifi]
21.37	penalty, punishment	hooroo
21.38	fine	[tara]
21.39	prison, jail	[gidan yari]
21.42	murder	[kashe]
21.43	adultery	[farka]
21.44	rape	[fyaɗee]
21.46	arson	[kone-kone]
21.47	perjury	loghabi
21.51	steal	məghər
21.52	thief	məghər
22.11	religion	caapi
22.12	God	leyam
22.13	temple, church	rəp bauta
22.14	altar	--
22.15	sacrifice, offering	--
22.16	worship	[bauta]
22.17	pray	kan bi
22.18	priest	buwaarə
22.19	holy, sacred	--
22.22	preach	--
22.23	bless	[albarka]
22.24	curse	--
22.26	fast (vb)	[azumi]
22.31	heaven	aljanna
22.32	hell	wuutu
22.35	demon (evil spirit)	[sheetan]
22.37	idol	waarə
22.42	magic, witchcraft, sorcery	məŋti
22.43	sorcerer, witch	koni məŋtə; ger məŋtə
22.44	fairy, elf	loɗi
22.45	ghost, phantom	waal
22.47	omen, portent	--
