entry_id	trans_english	Marquesan_Phonemic
6.71	ornament, adornment	tapi
6.72	jewel	
6.73	ring (for finger)	e hakatu ííma; e oka ííma
6.74	bracelet	hakatu ííma; e topepu
6.75	necklace	hei; e hei pipi
6.76	bead	kakano
6.77	earring	e ivi ika
6.78	headband, headdress	paé; fitií upoó
6.79	tattoo	tiki; patu tiki
6.81	handkerchief, rag	kahu pepe
6.82	towel	
6.91	comb	koheú; paheú
6.92	brush	e huú puaá ukui kahu; e mea haá menia kahu; e mea ukui kahu
6.921	braid	aáka
6.93	razor	
6.94	ointment	apau kakaá
6.95	soap	
6.96	mirror	
7.11	dwell, live	noho; ihi; taihi; tanoho
7.12	house	haé (faé)
7.13	hut	faé iti; haé nouo
7.131	garden-house	e faé (e haé)
7.14	tent	
7.15	yard, court	papua
7.16	men's house	
7.17	cookhouse	faé tumaú (haé komaú); faé ahi
7.18	meeting house	
7.21	room	apana; apena; pahe
7.22	door, gate	puta; poho; papapoho
7.221	doorpost, jamb	
7.23	lock (noun)	e kiri
7.231	latch, door-bolt	
7.24	key	kiri
7.25	window	puta haámaáma
7.26	floor	papahua
7.27	wall	paá; pa
7.31	fireplace	tahuna ahi (e tahuka ahi); ahi
7.32	stove	fanaipani; nunu fanaipani
7.33	chimney	puta auahi; pukohe auahi
7.37	ladder	piína (piki ia); haá tumatuma
7.42	bed	peti (e oki); moena; taha
7.421	pillow	patiétié; paépaé
7.422	blanket	kahu uhi pu; kahu pu
7.43	chair	nohona
7.44	table	kaiia kai; tapu kaikai
7.45	lamp, torch	hue áma; áma; hue kao áma
7.46	candle	e ama; e áma; áma óópaáva; áma tikaué
7.47	shelf	fataá (hataá) (hateka)
7.48	trough	úa vai; hoana; papa; koóka; umete; toto; tahake
7.51	roof	úka o te haé (úna o te faé)
7.52	thatch	tumu faraoa
7.53	ridgepole	pou
7.54	rafter	oka; e oka titatita
7.55	beam	pou
7.56	post, pole	pou
7.57	board	papapoho (e papaóa)
7.58	arch	e araka
7.61	mason	tuhuka haé upe
7.62	brick	tohiana épo tao
7.63	mortar	paémo; taémo
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	keke fenua; e piáo fenuacga
8.13	garden	papua
8.15	cultivate, till	
8.16	fence	pa
8.17	ditch	úa
8.21	plow	patiti kei épo
8.212	furrow	ava; koava
8.22	dig	kei í te épo
8.23	spade	e kei épo; e ko
8.24	shovel	miti épo; kapu épo; mea kapu í te épo; tohi épo
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	úú; tutu
8.311	seed	kakano
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	
8.48	rice	
8.51	grass	mutie (punie; teita; éita)
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	nanu (tanu)
8.54	root	áka
8.55	branch	e mana; e manamana
8.56	leaf	áu; óu
8.57	flower	tiaé
8.6	tree	tumu ákau; e tumu kaáu; e tumu
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	tumu
8.73	tree trunk	tumu; koói
8.74	forked branch	
8.75	bark	kií
8.76	sap	epau; vai
8.81	palm tree	vahake; vahane
8.82	coconut	áma
8.83	citrus fruit	
8.84	banana tree	tumu meika; meiá; e meika
8.85	banyan	e aoa
8.91	sweet potato	úmaá; kumaá
8.912	yam	puauhi
8.92	tapioca, manioc, cassava	aihuka; manioka
8.93	gourd	e hue maoí
8.931	pumpkin, squash	hue kai
8.94	bamboo	kohe; kohe maoí
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	onaona; okaoka
8.98	mushroom	puaina veine hae (e puaika veinehae); haápaupau
9.11	do, make	
9.12	work	
9.14	bend	pikao
9.15	fold	pokai; pokao
9.16	tie, bind	e haá mau; e humu
9.161	untie	
9.18	chain	tuítuí kioé
9.19	rope, cord	touá
9.192	knot (noun)	pona; pona huhu
9.21	strike (hit, beat)	
9.211	pound with fist	
9.22	cut	
9.221	cut down	e tua
9.222	chop, hew	
9.223	stab	oka me te oka
9.23	knife	kohe
9.24	scissors, shears	
9.25	ax	toí; toki
9.251	adze	toki peheu
9.26	break	e motu; e fati; fefati; e mamape; e momope; e haátiati; e haáfati
9.261	broken	
9.27	split	
9.28	tear	
9.29	flay, skin	taki te kií
9.31	rub, wipe	hoói
9.32	stretch	
9.33	pull	
9.34	spread out	
9.341	hang up	haáéva
9.342	press	piíí; e toko; e haá mau; e toko í te pa
9.343	squeeze, wring	
9.35	pour	
9.36	wash	hoói; hoói me te vai
9.37	sweep	e hoé í te épo; e purumi; e hoé
9.38	broom	hoe épo; e tupe épo (e purumi)
9.422	tool	
9.43	carpenter	tuhuna ato faé
9.44	build	e hakatu; e ato; e upe í te paépaé
9.46	bore	tiputa; hou; oka; tuí
9.461	hollow out	
9.48	saw	
9.49	hammer	
9.5	nail	
9.56	glue	piípií; pipií; haátiá; e ao; e mau; e mau ia; epau; e mea pipíí
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	e épo; e one pahu
9.74	glass	
9.75	weave, plait	aáka; keana (éana)
9.76	basket	
9.77	mat	moena
9.771	rug	maiki; maií; haií; haiki; moeka (moena); faií
9.78	netbag	
9.79	fan (noun)	tahií
9.791	fan (vb)	
9.81	carve	ketu
9.82	sculptor	tuhuka ketu
9.83	statue	
9.84	chisel	toki; kiri; nutupahi
9.88	paint (noun)	
9.89	paint (vb)	
10.11	move	e keu
10.12	turn over	
10.13	turn around	
10.14	wind, wrap	kavií í úna; pokao me te tuú
10.15	roll	
10.16	drop (vb)	
10.17	twist	
10.21	rise	e fitina; (e hiti ia; e piki ia)
10.22	raise, lift	tiétié
10.23	fall	topa
10.24	drip	
10.25	throw	titii
10.252	catch (ball)	tikoe; tióe
10.26	shake	haá keue
10.32	flow	tahe
10.33	sink	
10.34	float	ána (áka)
10.35	swim	kau; kaukau
10.351	dive	úku
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	kamo; toó pu; ona
10.38	blow	puhi
10.41	creep, crawl	
10.412	kneel	
10.413	crouch	
10.42	slide, slip	paheke
10.43	jump, leap	keétu; éépao; keépao
10.431	kick	
10.44	dance	haka; heva
10.45	walk	heé; taha; hiti; heke; éé
10.451	limp	heé kohipa; e heé koki; e kopa; e koki; e típikoki; e timoé
10.46	run	tohuti
10.47	go	e hiti (e fiti); e heke; e heé
10.471	go up	
10.472	climb	
10.473	go down	
10.474	go out	
10.48	come	
10.481	come back	
10.49	go away, depart	
10.491	disappear	íó
10.51	flee	
10.52	follow	
10.53	pursue	aúaú
10.55	reach, arrive	e tihe; e puta
10.56	approach	e haátata
10.57	enter	uú
10.61	carry (bear)	
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	e aáhi; e káve; e ave; e haí maí
10.63	send	keéé
10.64	lead (vb)	
10.65	drive	
10.66	ride	
10.67	push, shove	
10.71	road	aánui; vaánui; purumi
10.72	path	áánui; puta; puta kakena; puta nekai
10.74	bridge	úapu
10.75	carriage, wagon, cart	patiti; pipi; pariri
10.76	wheel	pipi; patiti
10.77	axle	
10.78	yoke	
10.81	ship	vaka; vaá; poti
10.83	boat	vaka; vaá; poti; poti iti
10.831	canoe	vaá
10.832	outrigger	pakeka; e pateka; e paápaá avai pu
10.84	raft	hataá (fataá)
10.85	oar	mea haámau
10.851	paddle (noun)	hoe
10.852	row (vb)	toko me te kaáu
10.86	rudder	
10.87	mast	tiá
10.88	sail (noun)	á (ka)
10.89	anchor	e katau
10.91	harbor, port	
10.92	land (vb)	
11.11	have	aína; haina; e taetae
11.12	own, possess	
11.13	take	toó
11.14	seize, grasp	haátikoe; haátipaí
11.15	hold	
11.16	get, obtain	
11.17	keep, retain	taí
11.18	thing	mea
11.21	give	tuú
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	
11.31	seek, look for	
11.32	find	
11.33	lose	
11.34	release, let go	
11.43	money	
11.44	coin	
11.51	rich	
11.52	poor	
11.53	beggar	
11.54	avaricious, stingy	
11.61	lend	
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	hoko; e hoko pupa
11.82	sell	
11.83	trade, barter	
11.84	merchant	e énata áko
11.85	market (place)	
11.86	store, shop	faé puéna taetae; e faé avaina taetae; e faé hoko
11.87	price	
11.88	dear (costly, expensive)	kaié a
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	
12.1	after	í mui; í muí ho; í muí mai
12.11	behind	e hope; tua
12.2	beside	kaokao
12.3	down, below	papaú (papaku) poto; áó; í áó iho
12.4	before	aia i mua; ómua (komua) mamua; no mua
12.41	front	
12.5	inside, in	í oto
12.6	outside	vaho
12.7	under	áó
12.8	up, above	úna; í úka; uo; o; no
12.11	place	taha (vahi)
12.12	put	
12.13	sit	haá noho
12.14	lie down	haá moe
12.15	stand	
