entry_id	trans_english	Russian_Phonemic
13.0	zero, nothing	nol ́; nul
13.1	one	odin, odna, odno
13.2	two	dva, dve, dva
13.3	three	tri
13.4	four	četyre
13.5	five	pjat
13.6	six	šest
13.7	seven	sem
13.8	eight	vosem
13.9	nine	devjat
13.10	ten	desjat
13.101	eleven	odinnadcat
13.102	twelve	dvenadcat
13.103	fifteen	pjatnadcat
13.104	twenty	dvadcat
13.105	hundred	sto
13.106	thousand	tysjača
13.107	count	sčitat
13.14	every, all	každyj; vsjakij; vse
13.15	much, many	mnogo
13.16	more	bol ́še
13.17	little (quantity), few	malo
13.18	enough	dovol ́no
13.181	some	neskol ́ko
13.19	multitude, crowd	množestvo; tolpa
13.21	full	polnyj
13.22	empty	pustoj
13.23	part, piece	čast ́
13.24	half	pol-(polu-); polovina
13.33	alone, only	odin; jedinstvennyj; tol ́ko
13.34	first	pervyj
13.35	last	poslednij
13.36	second	vtoroj
13.37	pair	para
13.38	two times	dva raza; dvaždy
13.42	third	tretij
13.44	three times	triždy; tri raza
14.11	time	vremja
14.12	age	vozrast
14.13	new	novyj
14.14	young	molodoj; junyj
14.15	old	staryj; vetxij
14.16	early	rano
14.17	late	pozdno
14.18	now	teper
14.19	immediately	srazu; totčas
14.21	swift, fast, quick	bystryj; skoryj; šibkij
