entry_id	trans_english	Wayampi_Phonemic
11.84	merchant	mamaʔɛ-mɛ̃ʔɛ̃-ĩŋa
11.85	market (place)	pila-lɛna
11.86	store, shop	[makasɛ̃]
11.87	price	pɨɨ
11.88	dear (costly, expensive)	ɛpɨ
11.89	cheap	na-ɛpɨ-y
11.91	share (distribute)	-mɔ-sãsãy
11.92	weigh	-aʔã
12.1	after	lilɛ
12.11	behind	kupɛy; apɛ-kɨtɨ
12.2	beside	pɨlɨwɔ
12.3	down, below	ɨwɨ-kɨtɨ-lɛ
12.4	before	ɨpɨ
12.41	front	ɛnɔnɛ
12.5	inside, in	pupɛ; pɛ
12.6	outside	wɨi
12.7	under	wɨpɛ
12.8	up, above	alu
12.11	place	-l-ɛna
12.12	put	-y-nũ
12.13	sit	-apɨ
12.14	lie down	-tɔlɛ
12.15	stand	-puʔã
12.16	remain, stay	-pɨta
12.17	remains, left overs	kulɛ
12.21	collect, gather	-amulutu; -maatɨ
12.212	pick up	-mɔwɨ
12.213	pile up	-maatɨ
12.22	join, unite	-amulutu
12.23	separate	-mɔ-wɔ; -pɛʔa
12.232	divide	-mɔ-sãsãy
12.24	open	-pɔpila
12.25	shut, close	-wapɨ
12.26	cover	-mɔ-ãnã
12.27	hide, conceal	-palã; -yɛmi
12.31	high	ɨwatɛ̃
12.32	low	ɨwɨ-kɨtɨ-lɛ
12.33	top	watɛʔɛ
12.34	bottom	ɨpɨ
12.35	end	tutũ; tawɨka
12.352	pointed	ãsĩ
12.353	edge	puʔã; pɔpɨ
12.36	side	ɨkɛ
12.37	middle, center	mɨtɛ
12.41	right (side)	ɛʔɛ-katu
12.42	left (side)	ɛyau
12.43	near (adv)	pɨi
12.44	far (adv)	kɔipɛ
12.45	east	kwalaɨ-lapɛ-ɨpɨ
12.46	west	kwalaʔɨ-ɔʔa-ɔɔ
12.47	north	ɛyau-kɛkɨtɨ-lɛ
12.48	south	ɛʔɛkatu-kɛkɨtɨ-lɛ
12.53	grow	-yɔ̃ĩ; -wɛ̃
12.54	measure	-aʔã
12.541	span, fathom	pɔkɔ
12.55	large, big	taʔɨ-luwã
12.56	small, little	kiãwĩ; taʔɨ; -miti; -sisi
12.57	long	puku
12.58	tall	tulu
12.59	short	atu
12.61	wide, broad	pɛwu
12.62	narrow	kwaʔi; pɔʔi
12.63	thick (in dimension)	anã
12.65	thin (in dimension)	salala; sili
12.67	deep	tɨpɨ
12.68	shallow	na-tɨpɨ-y
12.71	flat	pɛ; mɛ
12.73	straight	tɛlɛ̃
12.74	crooked	palĩ
12.75	hook	tɨʔãy
12.76	corner	
12.77	cross	yɔwaka; [kulusa]
12.78	square	kalɛ
12.81	round	talãwã
12.82	circle	ãpɛ̃
12.83	sphere, ball	kanapua
12.84	line	esai; yɛsa-puku
12.85	hole	kwa
12.92	like, similar	wɔsɔ
12.93	change	-ɛkɔyalũ
13.0	zero, nothing	na-ikɔ-y
13.1	one	pɛ̃ʔĩ
13.2	two	mɔkɔ̃y
13.3	three	maapɨ
13.4	four	i-lũ-tɛ
13.5	five	yanɛ-pɔ-pa-katu
13.6	six	ilũ-ilũ-tɛ
13.7	seven	yanɛ-pɔ-lɔwaya-lɛwa
13.8	eight	yanɛ-pɔ-mɨtɛ
13.9	nine	yanɛ-pɔ-mɨtɛ-lɛwa
13.10	ten	ɔ-mɔ-ma-yanɛ-pɔ-kɛ
13.101	eleven	--
13.102	twelve	--
13.103	fifteen	--
13.104	twenty	[vɛ̃]
13.105	hundred	[sã]
13.106	thousand	[mil]
13.107	count	-papa
13.14	every, all	pilu; piluyĩ
13.15	much, many	yatɨ
13.16	more	ãmũ; wɛyĩ
13.17	little (quantity), few	au; miti
13.18	enough	saʔu
13.181	some	yatɨ-saʔu
13.19	multitude, crowd	yatɨ
13.21	full	tɨnɛ̃; ɛtãlũ
13.22	empty	pɔɨ̃
13.23	part, piece	pɛ̃; pɛ̃ŋɛ
13.24	half	aɨkɛ
13.33	alone, only	aʔɛ-itɛ
13.34	first	ɨpɨ
13.35	last	ɔtɛ
13.36	second	ilũ-lũmua
13.37	pair	ilũ
13.38	two times	mɔkɔ̃ya
13.42	third	
13.44	three times	maapɨya
14.11	time	a
14.12	age	
14.13	new	pɨau
14.14	young	kɨkɨ
14.15	old	kalakuwa
14.16	early	n-i-kalamaɛ-y
14.17	late	kalamaɛ
14.18	now	ãŋɛʔɛ; kɨʔɨ
14.19	immediately	yĩsĩ
14.21	swift, fast, quick	kɨsɛ̃ʔɛ̃
14.22	slow	mɛwɛ
14.23	hasten, hurry	-ata kɨsɛ̃ʔɛ̃
14.24	retard, delay	kwapa
14.25	begin, beginning	-pɨlũ
14.252	last, endure	n-i-kɨ-y
14.26	end (temporal)	-pa
14.27	finish	awɨyɛ-pa
14.28	cease, stop	-pɨtɛ
14.29	ready	awɨyɛ-pa
14.31	always	tɛyĩ; yĩwɛ̃
14.32	often	kɔʔɛ̃-kɔʔɛ̃-wɛ
14.33	sometimes	ãmũ-lɛmɛ̃
14.331	soon	kɔlɔmũ-luwã
14.332	long-time (for a)	kɔlɔmũ
14.34	never	wɛ̃lĩ; pawa
14.35	again	ãmũ; wɔyĩ
14.41	day	aa; alɨwɔ
14.42	night	ɨpɨa
14.43	dawn	kɔ̃ʔɛ̃ ~ kɔʔɛ̃
14.44	morning	yɛiwɛ
14.45	noon, midday	yanɛ-alu-katu
14.451	afternoon	
14.46	evening	kaalu
14.47	today	ãŋɛʔɛ
14.48	tomorrow	kɔwi
14.481	day-after-tomorrow	wɨi-kɔwi
14.49	yesterday	kwɛ
14.491	day-before-yesterday	wɨi-kwɛ; kwɛ-lɛmɛ̃
14.51	hour	lɔwa-kwalaɨ
14.53	clock, timepiece	kwalaɨ-laãŋa
14.61	week	yɛ̃ŋaʔa
14.62	Sunday	--
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	yaɨ
14.73	year	kwalaɨ
14.74	winter	amã
14.75	spring	--
14.76	summer	kwalaɨ
14.77	autumn	--
14.78	season	aa
15.21	smell (vb intrans)	piyɛ
15.212	sniff	-yapɨĩ-mɔnɔ-mɔnɔ
15.22	smell (vb trans)	-ɛ̃tɔ̃; -tũ
15.25	fragrant, good smelling	piyɛ-katu
15.26	stinking, bad smelling	nɛ̃; sãlɛ̃
15.31	taste	
15.35	sweet	ɛ̃ʔɛ̃-ŋatu
15.36	salty	ɛ̃ʔɛ̃
15.37	bitter	lɔ
15.38	acid, sour	hay
15.39	brackish	
15.41	hear	-apɨa
15.42	listen	-y-apɨa-ka
15.44	sound, noise	apɛpu
15.45	loud	-y-apɛpu
15.46	quiet, silence	yãlĩ; wiya; wɔyĩ
15.51	see	-ɛsa
15.52	look, look at	-mãɛ̃; -mayã
15.55	show	-mɔ-mɛʔu
15.56	shine	-pɛla
15.57	bright	sɛlɛnɨnɨ; tɛtɛyĩ
15.61	color	tɛ
15.62	light (in color)	sukɨ
15.63	dark (in color)	umɨ
15.64	white	sĩ; yu
15.65	black	piyũ; -ũ
15.66	red	pilã; pɨtã
15.67	blue	sɔ̃wɨ̃
15.68	green	
15.69	yellow	tawa
15.71	touch	-pɔkɔ
15.712	pinch	piyã
15.72	feel	-yũŋa
15.74	hard	ãtã
15.75	soft	pɨ; mɨ
15.76	rough	kalala
15.77	smooth	sɨlɨ
15.78	sharp	aimɛ
15.79	blunt, dull	n-aimɛ-y
15.81	heavy	pɔwɨ
15.82	light (in weight)	wɛwɨy
15.83	wet, damp	suʔũ; -mɔ-ɨ
15.84	dry	sini; -tala; -sikã
15.85	hot	aku
15.851	warm	aku
15.86	cold	luwã; -l-ɔʔɨ
15.87	clean	ni-kɨʔa-y
15.88	dirty, soiled	kɨʔa
15.89	wrinkled	kala
16.11	soul, spirit	laɨwɛ; ã; ãŋɛ
16.15	surprised, astonished	lɛmisaʔɨ̃
16.18	good fortune, luck	pɔlã
16.19	misfortune, bad luck	panɛ
16.23	joyful, glad, happy	-y-malala-katu; ɔlɨ
16.25	laugh	nupi
16.251	smile	yulu-ɔlɨ
16.26	play	-malay
16.27	love	-y-tupi
16.29	kiss	-yuwɨ
16.3	embrace	-pɔpɨɨ
16.31	pain	aɨ
16.32	grief, sorrow, sadness	ãŋɨɔ; mãŋɨɔka
16.33	anxiety, worry	-y-mɔnɨi
16.34	regret, be sorry	-pɔlɔɛlɔwiyay
16.35	pity	-pɔlĩyauɛsa
16.37	cry, weep	-yaɔ
16.38	tear (noun)	lɛa-lɨ
16.39	groan	-yalũ
16.41	hate	-pɔtay
16.42	anger	-y-kɔ̃ʔɔ̃
16.44	envy, jealousy	ɛmu
16.45	shame (noun)	ãsĩ
16.48	proud	-ikɔ-ikɔ-pa
16.51	dare	
16.52	brave	wɛ
16.53	fear, fright	-kɨyɛ
16.54	danger	pɔyɨ
16.62	desire, want	-pɔta; ɛmu
16.622	choose	-palawɔ
16.63	hope	mawɔ; ipi
16.65	faithful	aɛwɔkatu
16.66	true	ɛʔɛ
16.67	lie, tell lies	wali
16.68	deceit	-y-maiwɛ
16.69	forgive	-y-tɨ
16.71	good	katu; i-wɔtɛ
16.72	bad	ni-katu-i
16.73	right, correct	wɔtɛ
16.74	wrong	ni-katu-i
16.76	fault	pɛwa
16.77	mistake, error	luwã
16.78	blame	-mɔ-malãkuwa
16.79	praise	lɔlɨ
16.81	beautiful	katu-ali; ɔwasɔ
16.82	ugly	yaiwɛ
16.83	greedy	tɨa
16.84	clever	malãkuwa-katu
17.11	mind	malãkuwa
17.13	think (= reflect)	-yaʔa
17.14	think (= be of the opinion)	-malãkuwa
17.15	believe	
17.16	understand	-ɛnu
17.17	know	-kuwa
17.171	guess	
17.172	imitate	-aʔã
17.18	seem	wɔwɛ
17.19	idea, notion	
17.21	wise	malãŋatu
17.22	foolish, stupid	mamaʔɛtɛ
17.23	insane, crazy	-manɔ̃-manɔ̃
17.24	learn	-y-mɔɛ
17.242	study	-y-mɔɛ
17.25	teach	-mɔɛ
17.26	pupil	yɛ-mɔɛ-ʔa
17.27	teacher	mɔɛʔa; [lɛkɔ]-ya
17.28	school	[lɛkɔ]
17.31	remember	-kuwa-wiya
17.32	forget	alay
17.34	clear, plain	ãã
17.35	obscure	luwã mawɔ
17.36	secret	niyakuway
17.37	sure, certain	-yu
17.38	explain	-mɔɛ
17.41	intention, purpose	lãmũ
17.42	cause	lɛwamũ
17.43	doubt	mawɔ
17.44	suspect	ipi
17.441	betray	-mɔsiɔ̃ka
17.45	need, necessity	pɔta
17.46	easy	ni-waɨpɛ-y
17.47	difficult	waɨpɛ-tɛ
17.48	try, attempt	ãʔã
17.49	way, manner	minu; -nũŋa
17.51	and	lɛwɛ
17.52	because	lɛwamũ
17.53	if	lɛmɛkaipɔ
17.54	or	pɔlɔmɛ
17.55	yes, affirmative	ɔ̃ʔɔ̃
17.56	no, negative	ãnĩ
17.61	how?	manɨwɔ
17.62	how many?	mapɛyɔ̃
17.63	how much?	mapɛyɔ̃
17.64	what?	mɔmaʔɛ
17.65	when?	manɨwɔ-lɛmɛ̃
17.66	where?	mapɛ
17.67	which?	mɔmaʔɛ; mãã
17.68	who?	awa
17.69	why?	manɨwɔ-lɛwamũ
18.11	voice	mɔlɛ̃ŋɛta
18.12	sing	-yɛ̃ŋa
18.13	shout, cry out	-apukay
18.15	whisper	yaɨwu wɛwɨi
18.16	mumble	-y-kɔ̃ʔɔ̃
18.17	whistle	-pɨ
18.18	shriek, screech	-apukay
18.19	howl	-apukay
18.21	speak, talk	-pɔlɛ̃ŋɛta
18.211	stutter, stammer	-pɔlɛ̃ŋɛta-pɨta-pɨta
18.22	say	-ʔɛ
18.221	tell story	-malãŋatu
18.222	speech (make a)	-mɔ̃ŋɛta
18.23	silent (be)	-pi
18.24	language	aɨwu
18.26	word	ya
18.28	name	ɛɛ
18.31	ask (question, inquire)	-pɔlanũ
18.32	answer	-waya
18.33	admit, confess	
18.34	deny	
18.35	ask, request	-pɔlanũ
18.36	promise	-ʔɛmatɛ
18.37	refuse	n-a-ʔɛ-y
18.38	forbid	manɨwɔnaikɔy
18.39	rebuke, scold	-aka
18.41	call (=summon)	-apukay
18.42	call (=name)	-ɛnɔ̃y
18.43	announce	-mɔmɛʔu
18.44	threaten	-mɔ̃ŋɨyɛ
18.45	boast	-y-nuka; ɛʔi pɨasɔ
18.51	write	-kusiwa
18.52	read	-papa
18.56	paper	[kalɛta]
18.57	pen	[kɨyɔ̃]
18.61	book	[kalɛta]
18.67	poet	--
18.71	flute	yɛmiʔa
18.72	drum	[tapɔ̃]
18.73	horn, trumpet	amaʔɨpɔkɔ; tilu-tilu
18.74	rattle	[malaka]
19.11	country	ɛna
19.12	one's native country	ɛna
19.15	city, town	taa-wasu
19.16	village	ta
19.17	boundary	pɔpɨ; ɨwɨ-tawɨka
19.21	people (populace)	wã-kũ
19.23	tribe, clan	mɨãwãŋɛ
19.24	chief, chieftain	-l-uwiyã
19.25	staff, walking stick	
19.31	rule, govern	-ɔkway
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	--
19.37	citizen, subject	wã
19.41	master	-ya
19.42	slave	ɛmiau
19.43	servant	-l-ɛmĩŋway
19.44	freeman	
19.45	command, order	-ɔkway
19.46	obey	-aɛwɔkatu
19.47	let, permit	
19.51	friend, companion	mɔlɨpa; lũ
19.52	enemy	ɔwaya
19.54	neighbor	ãmũ
19.55	stranger	apã; mɔlɔupã
19.56	guest	kaʔuwã
19.57	host	kasiliya
19.58	help, aid	pɨtɨwɔ̃
19.59	hinder, prevent	piya
19.61	custom	wɔtɛ ɛkɔy
19.62	strife, quarrel	kaʔuai
19.63	conspiracy, plot	
19.65	meet	waĩsĩ
19.72	prostitute	
20.11	fight (vb)	-yapisi; -pilili
20.13	war, battle	wanini
20.14	peace	yanɛ-katu
20.15	army	
20.17	soldier	-l-ɔwayã
20.21	weapons, arms	wɨlapa
20.22	club	[kapalu]
20.222	battle-ax	
20.23	sling	[palata]
20.24	bow	wɨlapa-ma
20.25	arrow	wɨlapa
20.26	spear	-asa
20.27	sword	
20.28	gun, cannon	mɔka
20.31	armor (defensive)	apɛla
20.33	helmet	
20.34	shield	walakapa
20.35	fortress	pali
20.36	tower	
20.41	victory	yanɛ-yĩ
20.42	defeat	mɔɛnaɛ
20.43	attack	pala
20.44	defend	-yɛpɨ
20.45	retreat	-nulu; -pũ
20.46	surrender	
20.47	captive, prisoner	ɛmiau
20.471	guard, sentinel	lãlũ
20.48	booty, spoils	yawa-mɔna
20.49	ambush	walɔ̃
20.51	fisherman	pila-lɛwa
20.52	fishhook	pina
20.53	fishing line	pinã-ã; ukɨ-ã
20.54	fishnet	[tɨlamay]
20.55	fish trap	[masiwa]
20.56	bait	pɔta; pina-pɔta
20.61	hunt	-wɛla
20.62	shoot	-mɔ̃ɛ̃; -mɔtĩ
20.63	miss (target)	-yawɨ
20.64	trap (noun)	kulala
20.65	trap (vb)	-ɛkɨi
21.11	law	wɔtɛ ɛkɔy
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	malãkuwa
21.38	fine	
21.39	prison, jail	yɛmɔnɔka; [lasɔ]
21.42	murder	-yuka
21.43	adultery	
21.44	rape	-yapisi
21.46	arson	tata-wasu
21.47	perjury	
21.51	steal	mɔna
21.52	thief	mɔnaa
22.11	religion	
22.12	God	yanɛya
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	
22.18	priest	[mɔpɛ]
22.19	holy, sacred	
22.22	preach	
22.23	bless	
22.24	curse	
22.26	fast (vb)	yɛkwaku
22.31	heaven	ɨwa
22.32	hell	
22.35	demon (evil spirit)	ayã
22.37	idol	
22.42	magic, witchcraft, sorcery	mayu
22.43	sorcerer, witch	payɛ
22.44	fairy, elf	ayã-pɔlɔsuʔu; ɨpɔ
22.45	ghost, phantom	ãŋɛ
22.47	omen, portent	mɔlãwã
