entry_id	trans_english	Li_of_Baoding_Phonemic
4.58	bite	ʔu:k.7 zɨ:m.1
4.59	lick	naŋ.2
4.591	dribble	chu:ŋ.3 thai.3
4.61	sleep	ran.3 ceɨ.1
4.612	snore	ka:u.1
4.62	dream	ʔɨk.8
4.63	wake up	gia.1
4.64	break wind	dań.1
4.65	urinate	thɨ:n.1 nom.3 ʔom.3
4.66	defecate	nom.3 ło:i.1
4.67	have sexual intercourse	phi.2 nom.3 ha:k.7
4.68	shiver	fe:k.7
4.69	bathe	ka:ń.3; thom.3
4.71	beget (of father)	ze.3 łi:n.3
4.72	born (to be)	zi:m.2
4.73	pregnant	re:u.1 nom.3 ło:i.1
4.732	conceive	co:n.1
4.74	live, living, life	ro:ŋ.1 va:n.1
4.75	die, dead	fan.1
4.751	drowned	łɨ:n.1
4.76	kill	teɨ.1
4.77	corpse	thu:t.7
4.78	bury (the dead)	dou.1; łom.1
4.79	grave, tomb	ha:i.3
4.81	strong, mighty, powerful	ʔe.2; ʔe.2 tho:ŋ.3
4.82	weak	ńan.1
4.83	well, health	ʔa:p.7 nom.3
4.84	sick, sickness	łou.1
4.841	fever	łou.1
4.842	goiter	ʔwe:ŋ.1
4.843	cold (catarrh)	ʔo:m.1
4.85	wound, sore	ʔo:m.1
4.852	bruise	łou.1
4.853	swelling	hɨt.7; ła:u.2
4.854	itch	łom.1 nom.3 hɨt.7
4.855	blister	hau.3; mi:k.8
4.856	boil (noun)	thui.1 ʔa:u.1
4.857	pus	łom.2
4.858	scar	ʔeń.3
4.86	cure, heal	cheń.9
4.87	physician	ka.2; δia:ŋ.33 na:i.31
4.88	medicine, drug	chet́.9
4.89	poison	chok.7
4.91	tired, weary	fou.3
4.912	rest	cho:m.1 zoŋ.3
4.92	lazy	kha:i.2
4.93	bald	chau.3 ra:i.3
4.94	lame	hja:n.3
4.95	deaf	re:ŋ.1 hja:n.3
4.96	mute	ʔun.1
4.97	blind	ʔun.1; khom.1
4.98	intoxicated	fu:t.7
4.99	naked, bare	ne:ŋ.1
5.11	eat	gwiu.3
5.12	food	re:ŋ.1 hja:n.3
5.121	cooked	łeń.1
5.122	raw	ʔi.2 te.2; chai.3 be.2
5.123	ripe	za.1
5.124	green, unripe	za.1 pui.1
5.125	rotten	phɨ:ŋ.3 za.1 pui.1
5.13	drink	bok.8
5.14	hunger	chɨ:k.7
5.141	famine	la:n.3
5.15	thirst	ła:ŋ.3 łu:k.7
5.16	suck	hje:ŋ.2
5.18	chew	ło:k.7 zai.1
5.181	swallow	ŋom.1
5.19	choke	pla:u.1 cha.1
5.21	cook	pui.1
5.22	boil (vb)	ła:ŋ.3 no:ŋ.1
5.23	roast, fry	la.2
5.24	bake	khan.1 la.2
5.25	oven	fui.1
5.26	pot, cooking vessel	vi:p.7
5.27	kettle	tɨ:k.7
5.28	pan	khi:u.1
5.31	dish	thui.1
5.32	plate	hja:u.1
5.33	bowl	chok.7 ran.1
5.34	pitcher, jug	chok.7 ran.1
5.35	cup, drinking vessel	da:u.1 thi:u.1
5.36	saucer	ru:t́.7
5.37	spoon	ńom.3
5.38	knife	ʔjo:m.2
5.39	fork	ŋo:n.1 thi:u.1
5.391	tongs	ro:ŋ.2
5.41	meal (a)	ro:ŋ.2
5.42	breakfast	ke:ŋ.1
5.43	lunch	gɨm.3
5.44	dinner	lu.1
5.45	supper	thau.1
5.46	peel	thau.1 ke:ŋ.1
5.47	sieve, strain	ʔwa:u.1 lai.2
5.48	scrape	ʔwa:u.1
5.49	stir, mix	ci:ŋ.3; kok.7
5.51	bread	ka.3
5.53	dough	cɨ.2 chi:p.7
5.54	knead	tha.2
5.55	meal, flour	tha.2 ka:u.3 dom.1
5.56	crush, grind	tha.2 pai.3 hwan.1
5.57	mill	kɨ.3 fan.1, tha.2 kɨ.3 fan.1
5.58	mortar	łi:t.7
5.59	pestle	rau.1
5.61	meat	rɨt́.9
5.63	sausage	gun.2
5.64	soup, broth	mi.2 ba:u.2
5.65	vegetables	che:k.7
5.66	bean	ka:n.2
5.7	potato	fɨn.2
5.71	fruit	ka:n.2
5.712	bunch	rau.1
5.75	fig	ʔa:k.7
5.76	grape	nom.3 ʔa:k.7
5.77	nut	beɨ.1 chai.1
5.78	olive	tu:n.3 tha:u.2
5.79	oil	za.1 get́.7
5.791	grease, fat	cɨ.2 keɨ.1
5.81	salt	khɨ:ŋ.1
5.82	pepper	ʔui.3 ku:i.2
5.821	chili pepper	cɨ.2 tho:k.2
5.84	honey	man.1
5.85	sugar	cho:m.1 chai.1
5.86	milk (noun)	ku:t́.7
5.87	milk (vb)	phu.3 tha:u.3
5.88	cheese	cɨ.2 fai.2
5.89	butter	gwei.3
5.9	beverage, drink	gwei.3
5.91	mead	gwei.3
5.92	wine	loi.3
5.93	beer	ńa:u.3
5.94	fermented drink	hu.3 ci:u.2
5.97	egg	nom.3 ko:i.1
5.971	egg yolk	nom.3 tha:ŋ.3; nom.3 ma:i.3
6.11	put on (clothes)	nom.3 cei.1
6.12	clothing, clothes	bi:ŋ.2 nom.3 ko:i.1
6.13	tailor	bi:ŋ.2 phu.3 tha:u.3
6.21	cloth	vit.7 ŋa:u.2
6.22	wool	zɨ:m.1
6.23	linen, flax	zɨ:m.1 de:ŋ.3; ve:k.7 de:ŋ.3
6.24	cotton	chat.7
6.25	silk	ve:ŋ.3
6.27	felt	ńop.7
6.28	fur	dop.7
6.29	leather	hun.1
6.31	spin	bu:i.3
6.32	spindle	diu.3
6.33	weave	gui.1
6.34	loom	no:ŋ.1 ve:ŋ.3
6.35	sew	cɨ.2 ko:m.3 no:ŋ.1
6.36	needle	hwei.1
6.37	awl	fɨ:k.7
6.38	thread	cɨ.2 khut́.7
6.39	dye	ńop.7
