entry_id	trans_english	Qau_Kelao_Phonemic
9.71	potter	zau.31 kuŋ.35
9.72	mold (clay etc)	chən.35 ləŋ.31 na.42
9.73	clay	chən.35 ləŋ.31 zau.13
9.74	glass	luŋ.35
9.75	weave, plait	pi.35 ta.31
9.76	basket	vu.42 luŋ.35
9.77	mat	ta.35
9.771	rug	təu.13
9.78	netbag	tin.42
9.79	fan (noun)	me.42
9.791	fan (vb)	pu.42
9.81	carve	pi.13 (bi.13)
9.82	sculptor	tai.42 mu.35
9.83	statue	tai.42 vu.35
9.84	chisel	tau.42 kau.42 kuŋ.35
9.88	paint (noun)	kho.42 chI.35
9.89	paint (vb)	nau.42 ńo.35
10.11	move	zau.31
10.12	turn over	kau.42 kuŋ.35
10.13	turn around	kau.42 kuŋ.35
10.14	wind, wrap	chau.35
10.15	roll	ńe.31 ćhi.42 chI.35
10.16	drop (vb)	ŋa.13 ńe.31
10.17	twist	ta.31 to.31 li.31
10.21	rise	ta.31 to.31 tjaŋ.35 tjaŋ.35
10.22	raise, lift	pha.35 cI.42
10.23	fall	pi.13 tai.13 to.42
10.24	drip	to.31 pha.35 cI.42
10.25	throw	caŋ.13
10.252	catch (ball)	luŋ.42 ta.13
10.26	shake	pəi.13
10.32	flow	mai.42; ta.35
10.33	sink	khjau.13 paŋ.13; me.13 paŋ.13
10.34	float	me.13
10.35	swim	to.13
10.351	dive	te.42
10.352	splash	kraɨŋ.
10.36	sail (vb)	ta.35
10.37	fly (vb)	saŋ.42
10.38	blow	vaŋ.13
10.41	creep, crawl	taŋ.35 vaŋ.13
10.412	kneel	tau.33 həu.35
10.413	crouch	tau.42 həi.35
10.42	slide, slip	həŋ.35
10.43	jump, leap	həŋ.35 pe.42
10.431	kick	me.35 ɣəu.42
10.44	dance	zo.31 vu.13
10.45	walk	piŋ.13
10.451	limp	piŋ.13 ńe.35
10.46	run	pəi.13 piŋ.13
10.47	go	pu.42 tau.31 ńo.35
10.471	go up	śiau.42 ćhi.13
10.472	climb	ca.31
10.473	go down	ca.31
10.474	go out	cha.35 mu.31
10.48	come	cha.35 piŋ.13 mu.31
10.481	come back	saŋ.42
10.49	go away, depart	luŋ.35
10.491	disappear	ljəu.13 ləi.31
10.51	flee	vu.13 həŋ.35 piŋ.13
10.52	follow	səi.35
10.53	pursue	fai.35
10.55	reach, arrive	vai.31 ći.13 (ʒ́i.31)
10.56	approach	so.42 tau.31 səi.35
10.57	enter	ʒ́i.13
10.61	carry (bear)	tha.31 fai.35 pai.35
10.612	carry-in-hand	fai.35 ʔa.42 na.42
10.613	carry-on-shoulder	ko.42
10.614	carry-on-head	ki.31 paŋ.42
10.615	carry-underarm	pəi.42 na.35 həŋ.35
10.62	bring	ći.31 (ʒ́i.31)
10.63	send	to.13 ći.31 na.42 ći.31 na.42
10.64	lead (vb)	na.42 piŋ.13 mu.31 chai.42
10.65	drive	na.42 ti.42 ta.31 mu.31 chai.42
10.66	ride	ləi.31 to.31
10.67	push, shove	na.42 te.13 he.35 kuŋ.35
10.71	road	na.35 mu.31 chai.42 kuŋ.35
10.72	path	na.35 mu.31 chai.42 zau.13
10.74	bridge	na.35 mu.31 chai.42 ćiŋ.35
10.75	carriage, wagon, cart	na.35 mu.31 chai.42 to.31
10.76	wheel	tha.42 mu.31 chai.42
10.77	axle	kho.13
10.78	yoke	co.33
10.81	ship	tu.13 ćiŋ.13
10.83	boat	caŋ.13
10.831	canoe	tu.42 ki.35
10.832	outrigger	həŋ.35 sI.31 kəu.42
10.84	raft	ći.13
10.85	oar	kho.13
10.851	paddle (noun)	pjəu.35
10.852	row (vb)	məi.42 ćuŋ.13
10.86	rudder	məi.35 ta.42
10.87	mast	məi.35 təi.42
10.88	sail (noun)	məi.42 ćo.13 sa.35 m.42
10.89	anchor	məi.13 ho.35
10.91	harbor, port	ho.35 ta.31 to.35
10.92	land (vb)	taŋ.35; taŋ.35 pu.13
11.11	have	taŋ.35 ta.31 to.35
11.12	own, possess	məi.35 tuŋ.42
11.13	take	məi.33 caŋ.35
11.14	seize, grasp	vəi.35 cha.35
11.15	hold	kjau.42 kəi.35
11.16	get, obtain	pha.31 to.13
11.17	keep, retain	pha.31 ćiŋ.13
11.18	thing	kəi.42 tju.35 tju.35
11.21	give	sI.31 ku.35
11.22	give back	ta.3 ta.13
11.24	preserve, look after	ləi.42; sa.35 ləi.42
11.25	save, rescue	taŋ.35 tu.42 lu.42
11.27	destroy	ma.35 mu.31 chai.42 taŋ.35 tu.42 lu.42
11.28	harm, injure, damage	pi.35 ce.31
11.31	seek, look for	pi.35 li.42 fəi.42
11.32	find	vu.35 lju.35; lai.31
11.33	lose	ta.42 ji.13 chu.42
11.34	release, let go	ji.13 taŋ.42
11.43	money	pəŋ.42 vu.35 tau.42
11.44	coin	te.13
11.51	rich	sI.35 ha.42
11.52	poor	li.35 paŋ.42
11.53	beggar	tjaŋ.35 tjaŋ.35
11.54	avaricious, stingy	ve.42 ca.35
11.61	lend	vei.35 cha.35
11.62	borrow	ńe.35 ńəu.35
11.63	owe	ti.13 li.31
11.64	debt	tei.42 tiu.35
11.65	pay (vb)	nuŋ.31 ni.35
11.66	account, reckoning	ni.42
11.69	tax, tribute	tju.31 tju.13
11.77	hire	ljaŋ.42
11.78	wages	tjaŋ.35 tiu.35
11.79	earn	piŋ.35
11.81	buy	ce.35 ćiu.13
11.82	sell	le.35
11.83	trade, barter	te.31 kua.35 kəu.42
11.84	merchant	kau.42 kau.35
11.85	market (place)	ta.13 ki.35 ta.31
11.86	store, shop	pu.35 lei.42 pi.35 he.42
11.87	price	tei.31 lu.35 laŋ.42
11.88	dear (costly, expensive)	zau.31 zau.31
11.89	cheap	ćhiaŋ.42 mu.31 chai.42
11.91	share (distribute)	pjan.42
11.92	weigh	to.31 lo.35 laŋ.42
12.1	after	sI.42 laŋ.42
12.11	behind	sa.35 laŋ.42
12.2	beside	tau.35 laŋ.42
12.3	down, below	pu.35 laŋ.42
12.4	before	mei.31 laŋ.31
12.41	front	ńaŋ.31 laŋ.31
12.5	inside, in	cau.35 laŋ.31
12.6	outside	zau.31 laŋ.31
12.7	under	so.42 laŋ.35
12.8	up, above	sI.42 pe.42 laŋ.35
12.11	place	sI.42 pe.42 sI.42
12.12	put	sI.42 pe.42 sa.35
12.13	sit	sI.42 pe.42 mei.31
12.14	lie down	sa.35 pe.42 laŋ.35
12.15	stand	sI.42 ce.42 laŋ.35
12.16	remain, stay	sI.42 ke.42 pi.35
12.17	remains, left overs	ti.42
12.21	collect, gather	ćhian.31 pu.13
12.212	pick up	ʔai.42
12.213	pile up	ʔai.42 la.35 ʔai.42
12.22	join, unite	kəi.35 kəi.35
12.23	separate	ńa.31 lju.31
12.232	divide	ti.42
12.24	open	sai.42
12.25	shut, close	khuŋ.42
12.26	cover	pəi.42 kəi.35
12.27	hide, conceal	kaŋ.35 to.42
12.31	high	səi.42 luŋ.35
12.32	low	ća.35 sI.42 səŋ.42
12.33	top	li.42 piŋ.35
12.34	bottom	to.13 sa.35 ʔəŋ.35
12.35	end	sI.42 kaŋ.42
12.352	pointed	ti.42 sa.35 ti.42
12.353	edge	to.13 tau.35
12.36	side	tau.35 ti.42
12.37	middle, center	pi.35 mu.31 chai.42
12.41	right (side)	lu.35 lu.42
12.42	left (side)	sI.42 lo.35
12.43	near (adv)	kau.42 ko.42
12.44	far (adv)	co.35 ńa.35
12.45	east	ʔu.35 chəi.35
12.46	west	kuŋ.35
12.47	north	təi.42 nei.35
12.48	south	sa.35 səi.42
12.53	grow	khuai.13 taŋ.13
12.54	measure	ʔa.31 ni.35 me.42
12.541	span, fathom	pəi.35 kəi.42; khuai.13 taŋ.42
12.55	large, big	taŋ.33 ko.35
12.56	small, little	mu.42 kuŋ.35
12.57	long	taŋ.35 ńa.13
12.58	tall	sa.31 ko.31
12.59	short	sa.31 ko.31
12.61	wide, broad	caŋ.13
12.62	narrow	tau.35 ʔo.35
12.63	thick (in dimension)	pəi.13 sI.35 həu.42
12.65	thin (in dimension)	na.35 kuŋ.35 ći.31 pəi.13
12.67	deep	pu.42 fe.35
12.68	shallow	fəi.35 tu.31
12.71	flat	ni.42 śuŋ.42
12.73	straight	ći.31 ki.42
12.74	crooked	pi.35 kjaŋ.42; ma.42 kjaŋ.31 tu.31
12.75	hook	fəi.35 tu.31
12.76	corner	ha.35 nai.42
12.77	cross	su.42 nu.35
12.78	square	sa.35 nai.35
12.81	round	te.13 he.35
12.82	circle	te.31 pe.35 he.35
12.83	sphere, ball	sI.42 laŋ.42 mu.42 ći.31
12.84	line	śin.33 ći.33 sI.42 fe.35
12.85	hole	śin.33 ći.33 sa.42 fe.35
12.92	like, similar	śin.33 ći.33 tau.42 fe.35
12.93	change	śin.33 ći.33 pu.42 fe.35
13.0	zero, nothing	śin.33 ći.33 məi.31
13.1	one	śin.33 ći.33 ńaŋ.31
13.2	two	sI.42 ta.35
13.3	three	sI.42 pi.31
13.4	four	khəu.35 ćiŋ.13
13.5	five	khəu.35 cau.35
13.6	six	fə.35 mən.31
13.7	seven	fe.35 ći.31 ći.42
13.8	eight	mau.31
13.9	nine	mau.42
13.10	ten	mau.42
13.101	eleven	mau.42 haŋ.35
13.102	twelve	mau.42
13.103	fifteen	mau.42 mu.31 chai.42
13.104	twenty	su.35 ʔu.35
13.105	hundred	təŋ.35
13.106	thousand	sI.42 kəi.35
13.107	count	kaŋ.35 cI.35
13.14	every, all	pja.35 hi.42
13.15	much, many	ʔo.42 ha.35 ʔɛ.13
13.16	more	caŋ.13
13.17	little (quantity), few	ńi.42
13.18	enough	tau.31 ho.35
13.181	some	tau.31 ho.35 li.42 paŋ.31
13.19	multitude, crowd	ʔo.35 pje.42
13.21	full	ko.35
13.22	empty	vaŋ.13
13.23	part, piece	tai.35 ʔəŋ.31 vaŋ.13
13.24	half	səu.42
13.33	alone, only	ko.35 pe.33
13.34	first	so.42 ʔuŋ.35
13.35	last	jan.31 se.31 pju.31 pju.31
13.36	second	ljaŋ.42
13.37	pair	ʔu.42 chəi.35
13.38	two times	laŋ.42 li.35
13.42	third	pja.42 śi.35
13.44	three times	su.42 luŋ.42
14.11	time	kjaŋ.42 ki.42
14.12	age	phəi.42 ći.3
14.13	new	la.31 han.35
14.14	young	sau.35
14.15	old	la.31
14.16	early	ko.42 khi.42
14.17	late	pi.42 ne.35
14.18	now	ho.35 zuan.42
14.19	immediately	chu.33 cha.33
14.21	swift, fast, quick	chi.35 pje.42
14.22	slow	pi.35
14.23	hasten, hurry	pi.35 ʔɛ.42
14.24	retard, delay	səi.42 taŋ.31
14.25	begin, beginning	su.35 śəu.35
14.252	last, endure	śi.42 pjau.35
14.26	end (temporal)	so.42 ca.35; mu.35 so.42 ca.35
14.27	finish	so.42 ca.35
14.28	cease, stop	cau.35
14.29	ready	njaŋ.31 kuai.13
14.31	always	ćiŋ.35
14.32	often	ʔjuŋ.35
14.33	sometimes	lo.42
14.331	soon	ŋəi.42
14.332	long-time (for a)	jin.13 ćhi.13 ʔo.35
14.34	never	jin.13 ćhi.13 ʔo.35 ʔɛ.42
14.35	again	khəi.35
14.41	day	səu.35
14.42	night	min.42 səu.35
14.43	dawn	tjuŋ.31
14.44	morning	cau.13
14.45	noon, midday	maŋ.42
14.451	afternoon	me.42
14.46	evening	pjuŋ.35
14.47	today	saŋ.35 śin.33
14.48	tomorrow	tan.33 śin.33
14.481	day-after-tomorrow	hui.42
14.49	yesterday	cau.35 ńe.42
14.491	day-before-yesterday	ńe.42
14.51	hour	ŋ.42 cau.35
14.53	clock, timepiece	te.35 ʔe.42
14.61	week	ko.35 pe.42 ʔɛ.42
14.62	Sunday	ki.35
14.63	Monday	kau.35 ńe.42 vəi.13 cha.35
14.64	Tuesday	kan.35
14.65	Wednesday	co.35 li.31 tu.42 śəu.35
14.66	Thursday	mu.42 vai.13
14.67	Friday	ljo.13
14.68	Saturday	wəi.31 śian.42
14.71	month	che.42
14.73	year	məi.31 ŋo.42
14.74	winter	pai.35 vi.42
14.75	spring	tɛh.
14.76	summer	vɛʔ.
14.77	autumn	ʔo.35
14.78	season	həi.35
15.21	smell (vb intrans)	məi.31 ŋo.42
15.212	sniff	pja.35
15.22	smell (vb trans)	pəi.42 pja.35 pja.35
15.25	fragrant, good smelling	pja.35 mo.4 ńa.42
15.26	stinking, bad smelling	kuai.13 həŋ.35 sI.31 pəi.13
15.31	taste	mo.42 həŋ.42 ʔo.35
15.35	sweet	phjau.42 ljaŋ.42
15.36	salty	mjau.42 məi.35
15.37	bitter	lu.42 li.13
15.38	acid, sour	kəi.35
15.39	brackish	lu.35 lu.42
15.41	hear	śiaŋ.42
15.42	listen	caŋ.13
15.44	sound, noise	kjau.42
15.45	loud	kjau.42
15.46	quiet, silence	ʔa.35 kei.35 ćau.42
15.51	see	ti.35 pa.31
15.52	look, look at	məu.35 səu.42 ni.42 ʔo.35
15.55	show	ha.35 ta.42
15.56	shine	phəŋ.35
15.57	bright	na.42 śo.42
15.61	color	suŋ.35 sI.31 to.35
15.62	light (in color)	su.31 ti.13 to.35
15.63	dark (in color)	pu.42 fe.42
15.64	white	ta.31 ti.31 to.35
15.65	black	ći.13 ʔo.42
15.66	red	ńi.13 pe.13 ʔɛ.42
15.67	blue	ćau.31
15.68	green	la.31 təi.42 ći.42
15.69	yellow	mai.42 ŋa.35 ćau.42 ʔɛ.42
15.71	touch	no.35 mu.31 caŋ.13
15.712	pinch	no.42 mu.31 chai.42
15.72	feel	huai.31 ńi.31
15.74	hard	huai.31 ńi.31
15.75	soft	ma.42 mai.42
15.76	rough	juŋ.31 ji.13
15.77	smooth	sI.42 pe.42; cau.35 ne.42
15.78	sharp	sI.13
15.79	blunt, dull	ta.35 mu.31 chau.42 mu.35 tau.31
15.81	heavy	chu.35
15.82	light (in weight)	məi.31 ŋo.42; pəi.13
15.83	wet, damp	pəi.35 ʔɛ.42; məi.31 ŋo.35 ʔɛ.42
15.84	dry	śi.35 mu.31 chai.42 ta.35 na.42
15.85	hot	sa.35 ʔai.42
15.851	warm	sa.35 ʔai.42
15.86	cold	śi.35 mu.31 chai.42
15.87	clean	na.35 ći.31 na.42
15.88	dirty, soiled	tha.31 na.13
15.89	wrinkled	na.42
16.11	soul, spirit	həŋ.35 na.42
16.15	surprised, astonished	tau.31 śi.35 mu.31 chai.42
16.18	good fortune, luck	sI. 42 nai.42
16.19	misfortune, bad luck	tha.42 nai.35
16.23	joyful, glad, happy	tha.35 vu.35
16.25	laugh	zau.31 na.42
16.251	smile	zu.13
16.26	play	tau.31
16.27	love	ɣəi.42
16.29	kiss	laŋ.42 laŋ.35 no.42
16.3	embrace	laŋ.42 laŋ.35 no.42 pai.42 pəi.13 həŋ.42 na.35 ńi.35 ʔɛ.42
16.31	pain	ha.42 śi.35 śi.35
16.32	grief, sorrow, sadness	taŋ.42 ći.31 naŋ.35 sI.42 ku.35
16.33	anxiety, worry	kəi.42
16.34	regret, be sorry	no.42
16.35	pity	kle.
16.37	cry, weep	no.42
16.38	tear (noun)	pai.35 pəi.42
16.39	groan	no.42 ʔo.35 ta.42 ćhi.35 caŋ.31
16.41	hate	muŋ.42 ka.35 ce.31
16.42	anger	ći.31 śi.35 mu.31 cai.42
16.44	envy, jealousy	sI.42 to.35
16.45	shame (noun)	ŋ́e.31
16.48	proud	sai.42 mu.31 chai.42
16.51	dare	no.35 mu.31 chai.42
16.52	brave	ʔi.42 no.35 mu.31
16.53	fear, fright	ća.35 ʔɛ.42
16.54	danger	ćhui.35 mu.31
16.62	desire, want	taŋ.35 ći.31
16.622	choose	ʔi.42 caŋ.42 mu.31 ʔɛ.42
16.63	hope	ʔi.42 mai.35 mu.31 ca.35 ʔɛ.42
16.65	faithful	pəi.42 mi.42 mai.35 mu.31
16.66	true	no.35 mu.31 mu.35 ki.35 nai.35
16.67	lie, tell lies	kəi.35 tau.31 mu.31 chai.42
16.68	deceit	no.42 ʔo.35 ta.42 ćhi.35
16.69	forgive	śi.42 həŋ.42
16.71	good	cau.35
16.72	bad	ti.33
16.73	right, correct	sI.42 to.35
16.74	wrong	pi.13 mi.31
16.76	fault	sI.42 to.35
16.77	mistake, error	ta.31 tu.31 ha.42
16.78	blame	ta.31 luŋ.31
16.79	praise	mo.42 pjo.35
16.81	beautiful	ka.13 ʔa.42 tau.31 ho.35
16.82	ugly	ʔa.35 vəi.31
16.83	greedy	ʔa.35 vəi.13 ʔi.13 tau.35 zau.31 luŋ.31; zau.31 ći.13
16.84	clever	zau.31 luŋ.13
17.11	mind	che.35 ce.13 na.42
17.13	think (= reflect)	həŋ.35 ʔai.42
17.14	think (= be of the opinion)	həŋ.35 tau.35 mu.42 ńa.42
17.15	believe	mo.42 tai.42 tau.31 tjau.13
17.16	understand	pu.42 vəi.31 lau.31
17.17	know	zau.31 ki.35 pu.42 vəi.31 lau.31
17.171	guess	həu.35 tu.31 vəi.31 lau.31
17.172	imitate	kuŋ.33 ki.35
17.18	seem	so.42 tau.31 ta.31 kuŋ.35
17.19	idea, notion	səu.42 paŋ.42 həŋ.35
17.21	wise	so.42 ca.31 həi.35
17.22	foolish, stupid	no.35 mu.31 tau.31 mu.31 chai.42 mu.31 tau.31 mu.31 chai.42
17.23	insane, crazy	ma.13 caŋ.13 no.42
17.24	learn	phuŋ.35 jəu.42
17.242	study	chI.31 to.42 te.13
17.25	teach	zau.31 luŋ.13
17.26	pupil	həŋ.35 te.13
17.27	teacher	həŋ.35 khi.42
17.28	school	kuŋ.33 ki.35
17.31	remember	so.42 paŋ.42 həŋ.35
17.32	forget	me.31 mu.31 ka.13 ha.35
17.34	clear, plain	khəi.35 tau.31 mu.31 chai.42
17.35	obscure	khe.31 śe.42
17.36	secret	hui.42
17.37	sure, certain	ka.42
17.38	explain	ka.42 he.35
17.41	intention, purpose	ho.42 he.42
17.42	cause	sI.42 kau.35
17.43	doubt	sI.42 kau.35
17.44	suspect	sI.42 pai.35
17.441	betray	mu.42 tai.42
17.45	need, necessity	li.42 tho.35
17.46	easy	sI.42 pai.35
17.47	difficult	tjau.35 pau.42
17.48	try, attempt	tha.31
17.49	way, manner	pe.42 cuan.35 piŋ.35
17.51	and	sI.42 ka.42 pe.35 ʔɛ.42
17.52	because	vu.13 ka.13 so.42 pu.42 te.13
17.53	if	pu.13 pja.33
17.54	or	cuan.42 piŋ.13
17.55	yes, affirmative	lo.13
17.56	no, negative	pəi.42 me.13 ɣa.42
17.61	how?	ka.42 he.42 te.42 ke.35 pai.35
17.62	how many?	caŋ.35 ʔo.42
17.63	how much?	so.42 ka.42 mo.42 pjo.42 həŋ.35
17.64	what?	ka.42 mo.42 pjo.42
17.65	when?	pe.42 tjau.42 mo.42 pjo.42
17.66	where?	ce.31 tjau.42 mo.42 pjo.42
17.67	which?	waŋ.42 ka.42 mo.42 pjo.42
17.68	who?	tu.42 nən.31 cau.31
17.69	why?	so.42 chən.35 ləŋ.31 cau.31
18.11	voice	ka.42. sI.42 pai.35
18.12	sing	pi.35
18.13	shout, cry out	ka.42 le.42
18.15	whisper	fa.31 li.31
18.16	mumble	tha.42 le.31 həŋ.35
18.17	whistle	no.42 mi.42 ləi.35
18.18	shriek, screech	sa.42 mi.42 ləi.35
18.19	howl	so.42 tau.31 vəi.13
18.21	speak, talk	pəi.42 kja.35
18.211	stutter, stammer	ha.31 pəi.42 kja.35 ʔɛ.42
18.22	say	fa.42 ʔəŋ.42
18.221	tell story	fa.31 piŋ.13
18.222	speech (make a)	naŋ.31 ki.35 ko.35
18.23	silent (be)	zən.31 kəi.42
18.24	language	nən.31 ŋəi.31
18.26	word	ći.31 ŋəi.31
18.28	name	co.31 pai.35
18.31	ask (question, inquire)	ći.31 məi.31 ŋo.42 ʔɛ.42
18.32	answer	pu.42 te.13
18.33	admit, confess	so.42 pe.42 həŋ.35
18.34	deny	pu.45 te.13
18.35	ask, request	so.42 tau.31 me.31
18.36	promise	tha.42 tau.31 me.31
18.37	refuse	pai.35
18.38	forbid	ćiu.35 mi.42
18.39	rebuke, scold	tau.31 mi.13
18.41	call (=summon)	vəi.13 həŋ.35 na.42 tau.31 mi.13
18.42	call (=name)	ʔji.42 sa.35 mu.31 tu.35; ći.42
18.43	announce	me.31
18.44	threaten	ćiu.35 li.42 hai.35
18.45	boast	pu.42 tau.31 me.31
18.51	write	me.31
18.52	read	jin.13 ćhi.13 ʔo.35 ʔɛ.42
18.56	paper
18.57	pen
18.61	book
18.67	poet
18.71	flute
18.72	drum
18.73	horn, trumpet
18.74	rattle
19.11	country
19.12	one's native country
19.15	city, town
19.16	village
19.17	boundary
19.21	people (populace)
19.23	tribe, clan
19.24	chief, chieftain
19.25	staff, walking stick
19.31	rule, govern
19.32	king, ruler
19.33	queen
19.36	noble, nobleman
19.37	citizen, subject
19.41	master
19.42	slave
19.43	servant
19.44	freeman
19.45	command, order
19.46	obey
19.47	let, permit
19.51	friend, companion
19.52	enemy
19.54	neighbor
19.55	stranger
19.56	guest
19.57	host
19.58	help, aid
19.59	hinder, prevent
19.61	custom
19.62	strife, quarrel
19.63	conspiracy, plot
19.65	meet
19.72	prostitute
20.11	fight (vb)
20.13	war, battle
20.14	peace
20.15	army
20.17	soldier
20.21	weapons, arms
20.22	club
20.222	battle-ax
20.23	sling
20.24	bow
20.25	arrow
20.26	spear
20.27	sword
20.28	gun, cannon
20.31	armor (defensive)
20.33	helmet
20.34	shield
20.35	fortress
20.36	tower
20.41	victory
20.42	defeat
20.43	attack
20.44	defend
20.45	retreat
20.46	surrender
20.47	captive, prisoner
20.471	guard, sentinel
20.48	booty, spoils
20.49	ambush
20.51	fisherman
20.52	fishhook
20.53	fishing line
20.54	fishnet
20.55	fish trap
20.56	bait
20.61	hunt
20.62	shoot
20.63	miss (target)
20.64	trap (noun)
20.65	trap (vb)
21.11	law
21.15	court
21.16	judge (vb)
21.17	judgment
21.18	judge (noun)
21.21	plaintiff
21.22	defendant
21.23	witness
21.24	swear
21.25	oath
21.31	accuse
21.32	condemn
21.33	convict (vb)
21.34	acquit
21.35	guilty
21.36	innocent
21.37	penalty, punishment
21.38	fine
21.39	prison, jail
21.42	murder
21.43	adultery
21.44	rape
21.46	arson
21.47	perjury
21.51	steal
21.52	thief
22.11	religion
22.12	God
22.13	temple, church
22.14	altar
22.15	sacrifice, offering
22.16	worship
22.17	pray
22.18	priest
22.19	holy, sacred
22.22	preach
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
