entry_id	trans_english	Maonan_Phonemic
10.412	kneel	tɔʔ.7
10.413	crouch	sɔŋ.5 laŋ.6
10.42	slide, slip	phja:u.5; ńan.2
10.43	jump, leap	mɛ.2 zjen.2; ʔda:i.2 ŋa:u.6
10.431	kick	hɛ.3
10.44	dance	cəm.6 wa.6
10.45	walk	mai.5
10.451	limp	jeŋ.1 pa:i.1
10.46	run	jeŋ.1 ma.1; jeŋ.1
10.47	go	ćhem.5
10.471	go up	ca:i.4
10.472	climb	ʔna:k.7 phja:u.5
10.473	go down	suan.4 ca:ŋ.4
10.474	go out	su:i.5
10.48	come	jɔŋ.5 vɛ.4 kɔŋ.1
10.481	come back	phja:u.5 kɔŋ.1
10.49	go away, depart	ʔńim.1 (phja:u.5)
10.491	disappear	ne.3
10.51	flee	pje.1
10.52	follow	vɛ.4 saŋ.1 i.5
10.53	pursue	ai.1 vɛ.4 saŋ.1 i.5
10.55	reach, arrive	ja:u.3 hɨ.1
10.56	approach	ta:u.1 pje.1 hɔ.5
10.57	enter	cia.4 kə.1
10.61	carry (bear)	məŋ.1
10.612	carry-in-hand	zjen.6
10.613	carry-on-shoulder	fan.1
10.614	carry-on-head	naŋ.5
10.615	carry-underarm	lən.5 pa:i.1
10.62	bring	lən.2
10.63	send	jen.1
10.64	lead (vb)	kha.3
10.65	drive	kun.5
10.66	ride	na.3
10.67	push, shove	ja:u.3
10.71	road	ʔnuʔ.7
10.72	path	kha.3
10.74	bridge	ʔju.4
10.75	carriage, wagon, cart	ti.6 foŋ.1
10.76	wheel	sɔŋ.5
10.77	axle	zu:i.6
10.78	yoke	la:ŋ.4
10.81	ship	cən.2
10.83	boat	ńa:u.6
10.831	canoe	ka.3
10.832	outrigger	śiŋ.5
10.84	raft	śu.1
10.85	oar	cəp.7
10.851	paddle (noun)	tap.7
10.852	row (vb)	śep.7
10.86	rudder	fan.1
10.87	mast	khai.1
10.88	sail (noun)	khai.1 na.1
10.89	anchor	kwa:n.1; ŋap.8
10.91	harbor, port	ŋap.8
10.92	land (vb)	kəp.8
11.11	have	ʔjɔ.1
11.12	own, possess	voŋ.1
11.13	take	ʔdjam.6
11.14	seize, grasp	hɛ.1 niŋ.1
11.15	hold	kha.3 te.3
11.16	get, obtain	lən.2 lɛu.6
11.17	keep, retain	sam.1 siŋ.5
11.18	thing	pjen.1
11.21	give	poŋ.6
11.22	give back	tu.5 ta.5
11.24	preserve, look after	fa.1
11.25	save, rescue	ze.4
11.27	destroy	phjai.5; ći.1
11.28	harm, injure, damage	toŋ.5
11.31	seek, look for	si.5
11.32	find	pə.2
11.33	lose	na:n.2
11.34	release, let go	ʔboʔ.8
11.43	money	ʔda:ŋ.4
11.44	coin	sa:p.7
11.51	rich	la:u.4
11.52	poor	ʔni.5
11.53	beggar	ʔja:i.3
11.54	avaricious, stingy	voŋ.1
11.61	lend	ʔdin.4
11.62	borrow	ʔba.6
11.63	owe	ja:p.7
11.64	debt	na.1
11.65	pay (vb)	tuŋ.5
11.66	account, reckoning	ʔba:ŋ.1
11.69	tax, tribute	ʔjam.1
11.77	hire	ʔdjai.6
11.78	wages	peŋ.2
11.79	earn	zjaŋ.2
11.81	buy	kuŋ.5 ka:ŋ.5
11.82	sell	ŋau.1
11.83	trade, barter	kəm.2 ka.5
11.84	merchant	ti.5 siu.1
11.85	market (place)	si.5 pjaʔ.7
11.86	store, shop	ʔdon.2
11.87	price	ka.0 ʔdon.2
11.88	dear (costly, expensive)	ćau.2
11.89	cheap	tjeu.2 sien.5
11.91	share (distribute)	cəm.2
11.92	weigh	ʔda:u.4
12.1	after	pjen.5
12.11	behind	li:ŋ.1
12.2	beside	tɔ.2
12.3	down, below	ja.2
12.4	before	sa:m.1
12.41	front	si.5
12.5	inside, in	ŋɔ.4
12.6	outside	ljɔʔ.8
12.7	under	śit.7
12.8	up, above	pja:t.7
12.11	place	ću.3
12.12	put	zəp.8
12.13	sit	zəp.8 ʔjit.7
12.14	lie down	zəp.8 ńi.6
12.15	stand	zəp.8 ŋɔ.4
12.16	remain, stay	ńi.6 zəp.8
12.17	remains, left overs	pɛk.7
12.21	collect, gather	chjen.1
12.212	pick up	ńai.5
12.213	pile up	ju:n.3
12.22	join, unite	ćoŋ.2
12.23	separate	kən.5 tɔ.1
12.232	divide	śeu.8
12.24	open	khau.5
12.25	shut, close	ńun.1
12.26	cover	pa.1 ai.1 ćoŋ.2
12.27	hide, conceal	tiʔ.7
12.31	high	tjaŋ.5
12.32	low	khɔŋ.1
12.33	top	ćhon.1
12.34	bottom	zi.6
12.35	end	ti.6 ʔjit.7
12.352	pointed	cu:i.4 lən.2
12.353	edge	ti.6 ńi.6
12.36	side	cau.6; sɔŋ.1
12.37	middle, center	ja.2 pai.4
12.41	right (side)	ti.6 sa:m.1
12.42	left (side)	sa:m.1 pai.4
12.43	near (adv)	sI.2 cian.5
12.44	far (adv)	ńen.6 ći.3
12.45	east	mai.5
12.46	west	nɔ:m.3
12.47	north	ka:u.5
12.48	south	će.5
12.53	grow	poʔ.8
12.54	measure	sam.1
12.541	span, fathom	lən.2
12.55	large, big	po.6 na:i.6
12.56	small, little	ma.6 sa:ŋ.1
12.57	long	lju.5
12.58	tall	ŋa:n.1
12.59	short	mɔŋ.1 min.2
12.61	wide, broad	ta:n.5 u.4
12.62	narrow	ʔda.2 taŋ.1
12.63	thick (in dimension)	poŋ.6 lən.2
12.65	thin (in dimension)	vɛ.4 ćim.1
12.67	deep	tiŋ.2
12.68	shallow	kə.4
12.71	flat	ciŋ.6 jon.4
12.73	straight	paʔ.7 ća:u.2
12.74	crooked	ńo.5 lat.7
12.75	hook	tjaŋ.1 tiŋ.5
12.76	corner	ju.4
12.77	cross	ta.5 van.1
12.78	square	ta.5 ʔńam.5
12.81	round	sam.1 si.1
12.82	circle	ji:t.7 sam.1
12.83	sphere, ball	na.4 ńe.1
12.84	line	ta.5 van.1; hai.1 lap.7
12.85	hole	ta.5 ʔńam.5
12.92	like, similar	van.1 na:i.6
12.93	change	van.1 ʔmu.3
13.0	zero, nothing	van.1 ʔna.3
13.1	one	van.1 ʔńuŋ.1
13.2	two	van.1 ku:n.5
13.3	three	tjem.3
13.4	four	cɔŋ.1
13.5	five	cau.5
13.6	six	siŋ.5 khi.2 thian.5
13.7	seven	siŋ.5 khi.2 ji.2
13.8	eight	siŋ.5 khi.2 ə.4
13.9	nine	siŋ.5 khi.2 sa:m.5
13.10	ten	siŋ.5 khi.2 sI.4
13.101	eleven	siŋ.5 khi.2 u.5
13.102	twelve	siŋ.5 khi.2 lu.2
13.103	fifteen	njen.2
13.104	twenty	mɛ.1
13.105	hundred	njen.2 ja:m.5
13.106	thousand	njen.2 chun.2
13.107	count	njen.2 tun.1
13.14	every, all	njen.2 chju.1
13.15	much, many	ma:u.4 ka:n.1 ka:u.1
13.16	more	ma:u.4 fin.1
13.17	little (quantity), few	ma:u.4
13.18	enough	ʔńin.1
13.181	some	nən.4
13.19	multitude, crowd	nən.4
13.21	full	na:ŋ.1
13.22	empty	ʔńin.1
13.23	part, piece	wi.5 ta:u.5
13.24	half	cit.7
13.33	alone, only	fa:n.1
13.34	first	njaŋ.5
13.35	last	kam.1
13.36	second	səm.3
13.37	pair	cap.8 pa:i.2 na.4
13.38	two times	ʔdai.4 hai.5
13.42	third	ʔni.3
13.44	three times	ʔŋɔ.1
14.11	time	ʔŋɔ.1 la:u.4
14.12	age	cam.1 pəʔ.7
14.13	new	ʔdai.4 ʔdu.6
14.14	young	kau.5
14.15	old	jaŋ.4
14.16	early	ca:u.5
14.17	late	lja:ŋ.5
14.18	now	saʔ.7
14.19	immediately	kam.2 kan.5
14.21	swift, fast, quick	kam.5
14.22	slow	poʔ.8
14.23	hasten, hurry	nam.1
14.24	retard, delay	la:n.3
14.25	begin, beginning	pha.1
14.252	last, endure	ju.1
14.26	end (temporal)	ma:n.3
14.27	finish	kwɛ.6
14.28	cease, stop	pan.1
14.29	ready	lwa.5
14.31	always	ća.3
14.32	often	ʔma.3
14.33	sometimes	la:u.4; ńa:p.7
14.331	soon	lau.1
14.332	long-time (for a)	ja:i.5
14.34	never	ńɔ.3
14.35	again	zan.1
14.41	day	khu.1
14.42	night	ʔjaʔ.7
14.43	dawn	sɔ.3; ka:n.1
14.44	morning	č̣́hi:u.5
14.45	noon, midday	tu:n.1
14.451	afternoon	ʔdo.4
14.46	evening	ja:m.5
14.47	today	sa:k.7
14.48	tomorrow	ʔwa.5
14.481	day-after-tomorrow	ńap.7
14.49	yesterday	kwan.1
14.491	day-before-yesterday	ńa.1
14.51	hour	khi.5 huŋ.5
14.53	clock, timepiece	ta:u.4 nam.1
14.61	week	ʔda:i.2 maŋ.4
14.62	Sunday	ću.1
14.63	Monday	ʔjaŋ.1 ću.1
14.64	Tuesday	ka:u.2
14.65	Wednesday	ŋai.1
14.66	Thursday	śut.7
14.67	Friday	tu.3 ŋu:m.3
14.68	Saturday	ći:t.7
14.71	month	si:ŋ.1 sam.1
14.73	year	mɔŋ.2
14.74	winter	tɔk.7 lən.2
14.75	spring	ʔda:i.2 ńa:m.1
14.76	summer	ńe.3
14.77	autumn	nam.3 na.1
14.78	season	ʔja:ŋ.1
15.21	smell (vb intrans)	ńa:n.5
15.212	sniff	ʔda:i.2 ńa:n.5
15.22	smell (vb trans)	na.1 la:n.3
15.25	fragrant, good smelling	wa:i.5 ui.1
15.26	stinking, bad smelling	kja:u.5 ŋa:u.4
15.31	taste	kɔ:m.3
15.35	sweet	na.3 ʔba:ŋ.1
15.36	salty	ʔdo.6 la:u.4
15.37	bitter	ćhu.1
15.38	acid, sour	ʔda:i.2 ći.6 ćhu.3
15.39	brackish	la:i.6 śwen.2
15.41	hear	śi.5 wa:ŋ.4
15.42	listen	Kɨ̄.2 Wɨ̄T.7
15.44	sound, noise	cin.1
15.45	loud	vɛ.4 wit.7
15.46	quiet, silence	lan.4
15.51	see	juan.2 lia:ŋ.4
15.52	look, look at	ʔda:i.2
15.55	show	khə.3
15.56	shine	ʔda:u.4
15.57	bright	lɔŋ.1
15.61	color	lɔŋ.1
15.62	light (in color)	lɔŋ.1
15.63	dark (in color)	kwa:i.5
15.64	white	jan.5
15.65	black	ća:p.6
15.66	red	ńa:m.1 kau.5
15.67	blue	ŋɔm.6
15.68	green	chɔŋ.1 miŋ.2
15.69	yellow	mai.6
15.71	touch	mai.6
15.712	pinch	śin.5
15.72	feel	wo.3
15.74	hard	wo.3
15.75	soft	ton.5
15.76	rough	njem.1 vɛ.4
15.77	smooth	ləm.3
15.78	sharp	wai.4 ja:i.5 nai.4
15.79	blunt, dull	kwa:i.1
15.81	heavy	ʔŋa:ŋ.5
15.82	light (in weight)	ʔŋa:ŋ.5
15.83	wet, damp	ha:ʔ.8
15.84	dry	ha:ʔ.8
15.85	hot	son.1
15.851	warm	la:ʔ.8 ha:ʔ.8
15.86	cold	ći.6 sɛŋ.1
15.87	clean	ja:u.3 ha:ʔ.8
15.88	dirty, soiled	ki.5
15.89	wrinkled	la:m.2
16.11	soul, spirit	sɛu.5
16.15	surprised, astonished	hɔ.3 wo.3
16.18	good fortune, luck	ʔjam.1
16.19	misfortune, bad luck	khən.3 tiŋ.4
16.23	joyful, glad, happy	liʔ.7
16.25	laugh	mu.2 ti.2
16.251	smile	juan.2 jin.5
16.26	play	hua:i.7 ńi.2
16.27	love	cəŋ.1 a:u.1
16.29	kiss	ui.1 wa:ŋ.5
16.3	embrace	hɔ.3; hɔ.3
16.31	pain	a:u.5
16.32	grief, sorrow, sadness	fa:ŋ.5 fa.2
16.33	anxiety, worry	tɔ.5
16.34	regret, be sorry	jin.5 wai.4
16.35	pity	ću.6
16.37	cry, weep	ciŋ.5
16.38	tear (noun)	kam.3 ciŋ.5
16.39	groan	vɛ.4 jau.1
16.41	hate	tu.6 nau.1
16.42	anger	tu.6 nau.1
16.44	envy, jealousy	ni.4 nam.2
16.45	shame (noun)	po.6 nau.1
16.48	proud	ći.6 nau.2 (1)
16.51	dare	ʔdat.7 nau.1
16.52	brave	ai.1 nau.1
16.53	fear, fright	jau.1 ci.2 a:i.2
16.54	danger	ja:i.6
16.62	desire, want	ća:i.6
16.622	choose	ća.5
16.63	hope	ći.6 ka.5
16.65	faithful	ʔŋɔ.1
16.66	true	chi:ŋ.5
16.67	lie, tell lies	kɔ.5
16.68	deceit	hi:t.7
16.69	forgive	sip.7 sip.7
16.71	good	hip.8 kwi.5
16.72	bad	hi:t.7 han.5
16.73	right, correct	ća:ŋ.3
16.74	wrong	śɔt.7
16.76	fault	ća:ŋ.3 ku.3 zi.2
16.77	mistake, error	sam.1
16.78	blame	wa.6
16.79	praise	lɛ.1
16.81	beautiful	ʔda:n.2
16.82	ugly	sa:i.3
16.83	greedy	jen.1
16.84	clever	ńin.6
17.11	mind	ćü.2
17.13	think (= reflect)	jen.1
17.14	think (= be of the opinion)	kəp.7 səŋ.3
17.15	believe	a:p.7
17.16	understand	śɔt.7
17.17	know	ću.5
17.171	guess	ću.5 vɛ.4
17.172	imitate	wi.2 jan.5
17.18	seem	śa.3
17.19	idea, notion	tɔʔ.8
17.21	wise	ci.3
17.22	foolish, stupid	pit.7
17.23	insane, crazy	lɛ.1
17.24	learn	ai.1 vɛ.4 si.1
17.242	study	teʔ.8
17.25	teach	kuŋ.1
17.26	pupil	puŋ.6 pi.3
17.27	teacher	ʔŋɔ.1 kwɛ.1
17.28	school	ko.6 ća.5
17.31	remember	jɔn.6; cən.4
17.32	forget	ʔba:n.4
17.34	clear, plain	lə.0 min.2
17.35	obscure	ai.1 tau.2
17.36	secret	tjoŋ.4
17.37	sure, certain	ku:n.3
17.38	explain	hwa:ŋ.6 ti.4
17.41	intention, purpose	hwa:ŋ.6 hau.4
17.42	cause	ai.1 cü.3
17.43	doubt	ai.1 vɛ.4 pu.3
17.44	suspect	min.4 lin.4
17.441	betray	naʔ.7
17.45	need, necessity	phuŋ.6 jin.4; ai.1 ham.6
17.46	easy	ti.2 jin.2
17.47	difficult	ja:n.1 jen.1
17.48	try, attempt	ai.1 ta:ŋ.5
17.49	way, manner	ai.1 hɛk.7
17.51	and	ai.1 cü.3
17.52	because	pa:ŋ.1; poŋ.1
17.53	if	la:n.2
17.54	or	vɛ.4 kwa:n.5
17.55	yes, affirmative	vɛ.4 hɔŋ.3
17.56	no, negative	jin.5 mau.2
17.61	how?	tu.2 ʔdu.6
17.62	how many?	hiʔ.7
17.63	how much?	tu.6 ćhan.4
17.64	what?	ta.3 ca:ŋ.4
17.65	when?	cün.5 təi.4
17.66	where?	peŋ.1
17.67	which?	mai.4 kun.5
17.68	who?	ta:n.2 kuŋ.5
17.69	why?	ćɔŋ.1
18.11	voice	na.5
18.12	sing	cen.4
18.13	shout, cry out	cuŋ.5; pha:u.5
18.15	whisper	tha.6
18.16	mumble	hiŋ.2
18.17	whistle	śü.1
18.18	shriek, screech	naŋ.1 taŋ.1
18.19	howl	su.3
18.21	speak, talk	thɔi.5
18.211	stutter, stammer	thau.2 ja:ŋ.2
18.22	say	ai.1 śü.1
18.221	tell story	tjɔ.3 mjai.3
18.222	speech (make a)	si:p.7; ŋau.1 mjai.3
18.23	silent (be)	sien.5 mjai.3
18.24	language	wa:ŋ.3 mjai.3
18.26	word	pin.5 mjai.3
18.28	name	wa.3 tɔ.3 mjai.3
18.31	ask (question, inquire)	təʔ.7 a:m.5
18.32	answer	ai.1 təʔ.7 a:m.5
18.33	admit, confess	pɛŋ.5
18.34	deny	ńu.4
18.35	ask, request	koi.2
18.36	promise	cəm.2
18.37	refuse	fa.2 juan.4
18.38	forbid	phon.4
18.39	rebuke, scold	paʔ.7 zui.4
18.41	call (=summon)	kam.3 mɛ.2 zui.4
18.42	call (=name)	wa:t.8
18.43	announce	pjaʔ.7 la:u.2
18.44	threaten	ha.1
18.45	boast	ta:u.1 vi.1
18.51	write	ljaʔ.7
18.52	read	chja:ŋ.3
18.56	paper	ai.1 ljaʔ.7
18.57	pen	ju.3 ljɛŋ.5 wa.1
18.61	book	tɔŋ.1 sai.1 ju.3 ljɛŋ.5 wa.1
18.67	poet	pa:i.5
18.71	flute	pa:i.5
18.72	drum	pa:u.3 jau.4
18.73	horn, trumpet	pa:i.5
18.74	rattle	zi.6
19.11	country	ma:ŋ.1
19.12	one's native country	mu.1
19.15	city, town	ai.1 mu.1
19.16	village	ai.1 śen.1
19.17	boundary	ma:ŋ.1 śen.1
19.21	people (populace)	ki.2 za:u.5
19.23	tribe, clan
19.24	chief, chieftain
19.25	staff, walking stick
19.31	rule, govern
19.32	king, ruler
19.33	queen
19.36	noble, nobleman
19.37	citizen, subject
19.41	master
19.42	slave
19.43	servant
19.44	freeman
19.45	command, order
19.46	obey
19.47	let, permit
19.51	friend, companion
19.52	enemy
19.54	neighbor
19.55	stranger
19.56	guest
19.57	host
19.58	help, aid
19.59	hinder, prevent
19.61	custom
19.62	strife, quarrel
19.63	conspiracy, plot
19.65	meet
19.72	prostitute
20.11	fight (vb)
20.13	war, battle
20.14	peace
20.15	army
20.17	soldier
20.21	weapons, arms
20.22	club
20.222	battle-ax
20.23	sling
20.24	bow
20.25	arrow
20.26	spear
20.27	sword
20.28	gun, cannon
20.31	armor (defensive)
20.33	helmet
20.34	shield
20.35	fortress
20.36	tower
20.41	victory
20.42	defeat
20.43	attack
20.44	defend
20.45	retreat
20.46	surrender
20.47	captive, prisoner
20.471	guard, sentinel
20.48	booty, spoils
20.49	ambush
20.51	fisherman
20.52	fishhook
20.53	fishing line
20.54	fishnet
20.55	fish trap
20.56	bait
20.61	hunt
20.62	shoot
20.63	miss (target)
20.64	trap (noun)
20.65	trap (vb)
21.11	law
21.15	court
21.16	judge (vb)
21.17	judgment
21.18	judge (noun)
21.21	plaintiff
21.22	defendant
21.23	witness
21.24	swear
21.25	oath
21.31	accuse
21.32	condemn
21.33	convict (vb)
21.34	acquit
21.35	guilty
21.36	innocent
21.37	penalty, punishment
21.38	fine
21.39	prison, jail
21.42	murder
21.43	adultery
21.44	rape
21.46	arson
21.47	perjury
21.51	steal
21.52	thief
22.11	religion
22.12	God
22.13	temple, church
22.14	altar
22.15	sacrifice, offering
22.16	worship
22.17	pray
22.18	priest
22.19	holy, sacred
22.22	preach
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
