entry_id	trans_english	Serbo-Croatian_Phonemic
7.57	board	daska
7.58	arch	luk
7.61	mason	zidar
7.62	brick	cigla
7.63	mortar	malter/ žbuka
7.64	adobe	ćerpič
8.11	farmer	zemljoradnik; poljoprivrednik; ratar; seljak
8.12	field (for cultivation)	njiva, oranica
8.13	garden	bašta/ vrt
8.15	cultivate, till	obraditi
8.16	fence	ograda
8.17	ditch	rov, jarak
8.21	plow	orati; plug, ralo, ralica
8.212	furrow	brazda
8.22	dig	kopati; riti
8.23	spade	ašov; lopata
8.24	shovel	lopata
8.25	hoe	motika
8.26	fork	vile
8.27	rake	grablje
8.31	sow	sejati/ sijati
8.311	seed	s(j)eme
8.32	mow, reap	kositi; žeti
8.33	sickle, scythe	srp, kosa
8.34	thresh	mlatiti; vrći/ vrijeći
8.35	threshing-floor	gumno
8.41	crop, harvest	žetva; rod; prirod
8.42	grain (barley, oats etc)	žito, žitarica
8.43	wheat	pšenica
8.44	barley	ječam
8.45	rye	raž
8.46	oats	zob, ovas
8.47	maize, corn	kukuruz
8.48	rice	pirinač/ riža
8.51	grass	trava
8.52	hay	s(ij)eno
8.53	plant (noun)	biljka
8.531	plant (vb)	saditi
8.54	root	kor(ij)en
8.55	branch	grana
8.56	leaf	list
8.57	flower	cv(ij)et
8.6	tree	drvo
8.61	oak	hrast, dub
8.62	beech	bukva
8.63	birch	breza
8.64	pine	bor
8.65	fir	jela
8.66	acorn	žir
8.67	vine	loza
8.68	tobacco	duvan/ duhan
8.69	smoke (tobacco)	pušiti
8.691	pipe	lula
8.72	tree stump	panj
8.73	tree trunk	stablo, deblo; balvan
8.74	forked branch	račvasta grana
8.75	bark	kora
8.76	sap	smola
8.81	palm tree	palma
8.82	coconut	kokos
8.83	citrus fruit	--
8.84	banana tree	
8.85	banyan	[banjan], indijska smokva
8.91	sweet potato	indijski krompir/ indijski krumpir
8.912	yam	[jam]
8.92	tapioca, manioc, cassava	[tapioka; maniok]
8.93	gourd	tikva
8.931	pumpkin, squash	bundeva; tikva
8.94	bamboo	[bambus]
8.941	sugar cane	šećerna trska
8.96	fish poison (root)	riblja trava (riblji otrov)
8.97	nettle	kopriva
8.98	mushroom	pečurka; gljiva
9.11	do, make	raditi, činiti; praviti
9.12	work	raditi
9.14	bend	saviti; sagnuti; poviti; pognuti
9.15	fold	saviti, presaviti
9.16	tie, bind	vezati
9.161	untie	odvezati
9.18	chain	lanac, veriga ~ verige
9.19	rope, cord	konopac, uže
9.192	knot (noun)	čvor, uzao
9.21	strike (hit, beat)	udariti, biti, lupiti; tući
9.211	pound with fist	udarati pesnicom, tući pesnicom
9.22	cut	rezati, s(j)eći
9.221	cut down	s(j)eći, oboriti
9.222	chop, hew	s(j)eći
9.223	stab	bosti
9.23	knife	nož
9.24	scissors, shears	makaze, nožice/ škare
9.25	ax	s(j)ekira
9.251	adze	bradva, tesla
9.26	break	lomiti, razbiti
9.261	broken	slomljen, razbijen
9.27	split	c(ij)epati
9.28	tear	kidati; trgati; c(ij)epati
9.29	flay, skin	derati, guliti
9.31	rub, wipe	trljati, ribati; brisati
9.32	stretch	rastegnuti; pružiti
9.33	pull	vući
9.34	spread out	raširiti (se); prostr(ij)eti (se)
9.341	hang up	(o)kačiti, v(j)ešati ~ ob(j)esiti
9.342	press	pritiskati
9.343	squeeze, wring	gnječiti, c(ij)editi
9.35	pour	liti; sipati
9.36	wash	prati; miti
9.37	sweep	mesti
9.38	broom	metla
9.422	tool	alat' orudje
9.43	carpenter	tesar, drvod(j)elja
9.44	build	graditi, zidati, praviti
9.46	bore	bušiti; vrt(j)eti; probiti
9.461	hollow out	izdupsti, izdubiti
9.48	saw	pila, testera
9.49	hammer	čekić
9.5	nail	ekser/ čavao
9.56	glue	lepilo/ ljepilo, l(ij)epak/ ljepak
9.6	smith, blacksmith	kovač
9.61	forge	kovati
9.62	anvil	nakovanj
9.63	cast (metals)	liti
9.64	gold	zlato
9.65	silver	srebro
9.66	copper, bronze	bakar; m(j)ed; bronza/ bronca; mesing; žuta m(j)ed
9.67	iron	gvoždje, železo/ željezo
9.68	lead (noun)	olovo
9.69	tin, tinplate	kalaj, kositer, (cin); kalajni list, b(ij)eli lim
9.71	potter	lončar
9.72	mold (clay etc)	kalup
9.73	clay	glina, ilovača
9.74	glass	staklo
9.75	weave, plait	plesti
9.76	basket	koš, kotarica, korpa
9.77	mat	rogozina; prostirač
9.771	rug	tepih, ćilim
9.78	netbag	mreža
9.79	fan (noun)	lepeza
9.791	fan (vb)	(duvati/ duhati)
9.81	carve	(iz)rezati, (u)rezati, rezbariti, (i)s(j)eći, gravirati; vajati
9.82	sculptor	kipar, vajar
9.83	statue	kip; statua
9.84	chisel	dl(ij)eto
9.88	paint (noun)	boja, farba
9.89	paint (vb)	bojiti, bojadisati, farbati
10.11	move	micati (se), kretati (se)
10.12	turn over	prevrnuti, okrenuti ~ okretati
10.13	turn around	okrenuti ~ okretati; vrt(j)eti
10.14	wind, wrap	motati, viti
10.15	roll	kotrljati, valjati
10.16	drop (vb)	pustiti
10.17	twist	zavrnuti ~ zavrtati
10.21	rise	dići se
10.22	raise, lift	dići ~ dizati
10.23	fall	pasti ~ padati
10.24	drip	kapati; curiti
10.25	throw	baciti ~ bacati
10.252	catch (ball)	hvatati, uhvatiti
10.26	shake	tresti, drmati
10.32	flow	teći
10.33	sink	potopiti; (po)tonuti
10.34	float	ploviti, plivati
10.35	swim	plivati; kupati se
10.351	dive	roniti
10.352	splash	prskati
10.36	sail (vb)	ploviti; jedriti
10.37	fly (vb)	let(j)eti
10.38	blow	duvati/ puhati
