entry_id	trans_english	Panare_Phonemic
5.19	choke	-uhtuku-
5.21	cook	-əʔməh-ka-n
5.22	boil (vb)	-əʔməh-ka-
5.23	roast, fry	-ɨputuurə-; -ayi-
5.24	bake	-ayi-
5.25	oven	č-erema-n-toʔ yawato
5.26	pot, cooking vessel	maraʔ
5.27	kettle	eɲə
5.28	pan	maraʔ
5.31	dish	pɨčaara
5.32	plate	pɨčaara
5.33	bowl	maraʔ; maraʔ-kin
5.34	pitcher, jug	kɨwɨkɨ
5.35	cup, drinking vessel	maraʔ-kin
5.36	saucer	pɨčaara nkin
5.37	spoon	[kučara]
5.38	knife	parae
5.39	fork	č-erema-n-toʔ y-an-toʔ
5.391	tongs	č-erema-n-toʔ y-an-toʔ
5.41	meal (a)	č-erema-n-toʔ
5.42	breakfast	--
5.43	lunch	--
5.44	dinner	--
5.45	supper	--
5.46	peel	-ihka-
5.47	sieve, strain	-asuuka-
5.48	scrape	-ihka-
5.49	stir, mix	-aʔkowa-
5.51	bread	[pan]
5.53	dough	[pan] maanə-to
5.54	knead	--
5.55	meal, flour	[pan] maanə-toʔ
5.56	crush, grind	-apo-
5.57	mill	y-apo-toʔ
5.58	mortar	ako
5.59	pestle	ako yan
5.61	meat	tyo
5.63	sausage	--
5.64	soup, broth	... -pon
5.65	vegetables	-yun
5.66	bean	ehčipen
5.7	potato	wanka kaik mən
5.71	fruit	-yempan
5.712	bunch	tyɨpuhpə
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	karapa
5.791	grease, fat	karapa; ...-kaʔ
5.81	salt	paamə
5.82	pepper	--
5.821	chili pepper	pimi
5.84	honey	wənə
5.85	sugar	[asuuka]
5.86	milk (noun)	[paʔka] matɨ-n
5.87	milk (vb)	yipiʔ(-ku)
5.88	cheese	[paʔka] matɨ-n
5.89	butter	--
5.9	beverage, drink	yu-kun
5.91	mead	--
5.92	wine	--
5.93	beer	ok
5.94	fermented drink	katah-pa mɨnkae
5.97	egg	... moe
5.971	egg yolk	
6.11	put on (clothes)	-ɨnapontə-
6.12	clothing, clothes	-po; [kamiča]
6.13	tailor	--
6.21	cloth	
6.22	wool	--
6.23	linen, flax	--
6.24	cotton	tokətə
6.25	silk	--
6.27	felt	--
6.28	fur	nəʔna iʔ-pok
6.29	leather	nəna pi-hpə
6.31	spin	-areʔma-
6.32	spindle	punwa
6.33	weave	-ɨkaʔ-(pɨ)(pi); yɨkaʔɲe
6.34	loom	tokətə ka-toʔ
6.35	sew	-ɨpɨtɨpə-
6.36	needle	[kuča]
6.37	awl	
6.38	thread	tokətə
6.39	dye	waače; ankuk
6.41	cloak	--
6.411	poncho	
6.42	woman's dress	
6.43	coat	--
6.44	shirt	
6.45	collar	
6.46	skirt	sɨkɨwi
6.461	grass-skirt	--
6.48	trousers	-peh-po
6.49	stocking, sock	pata ye
6.51	shoe	pata ye
6.52	boot	--
6.54	shoemaker, cobbler	--
6.55	hat, cap	-yoroko-e
